" -F4174,S4175+F364,S365"," -F4174,S4175+F366,S367"," -F4174,S4175+F376,S377"," -F4174,S4175+F379,S380"," -F374,S373+F386,S387"," -F374,S373+F382,S381"," -F371,S372+F383,S384"," -F395,S394+F392,S393"," -F4177,S4178+F368,S369"
[145.80],[14.45],[232.14],[240.66],[328.81],[118.39],[1.28],[286.53],[12.11]
0.01,15.46,120.85,131.42,429.88,156.42,1.70,382.75,12.50
0.01,14.47,110.74,120.23,395.68,144.51,1.65,350.13,11.21
0.01,14.47,109.51,119.44,395.42,145.15,1.56,351.02,11.14
0.10,13.99,109.38,118.87,387.29,142.93,1.55,343.24,10.73
0.01,13.86,108.57,118.01,385.37,142.35,1.63,340.39,10.84
0.65,13.96,104.26,113.16,371.55,135.17,1.56,330.13,11.21
2.95,13.85,104.87,113.86,368.45,134.09,1.54,328.17,10.77
2.57,12.40,106.55,116.27,384.83,142.20,1.53,342.09,8.98
0.11,14.39,104.49,113.37,371.57,134.30,1.57,334.04,11.34
0.01,13.80,100.10,108.61,354.61,128.10,1.46,315.82,10.94
0.13,14.19,101.58,110.20,358.16,130.00,1.39,320.04,11.25
0.59,13.81,101.42,109.65,352.74,126.69,1.42,316.56,11.01
0.03,13.52,98.90,107.58,347.24,125.27,1.56,313.01,10.93
0.01,13.85,103.51,112.53,362.99,133.48,1.50,321.39,11.04
0.01,13.90,104.86,113.84,367.60,135.26,1.48,325.62,10.96
0.01,14.53,102.70,111.31,362.43,132.07,1.57,322.69,11.37
5.92,14.24,94.04,101.72,321.86,118.23,1.31,280.74,12.02
5.85,13.55,95.88,103.67,327.89,122.25,1.29,281.23,11.34
5.87,13.46,93.44,101.25,319.27,118.85,1.24,274.94,10.69
5.06,13.09,89.37,96.55,305.52,112.24,1.25,266.57,11.24
5.10,13.31,90.33,97.81,309.83,112.99,1.37,268.83,11.33
5.36,13.57,90.56,97.85,311.72,115.19,1.25,270.03,11.33
5.41,13.21,89.62,97.16,309.71,113.56,1.28,267.75,11.04
5.55,13.80,93.70,101.47,325.46,118.78,1.34,283.42,11.23
5.67,13.62,96.32,104.38,337.21,125.96,1.31,290.73,11.25
5.34,13.19,91.88,99.85,323.29,119.19,1.20,279.64,11.07
5.51,13.35,92.83,100.73,323.92,119.52,1.23,279.80,10.81
5.26,13.10,97.13,105.13,342.74,125.02,1.26,289.59,10.54
1.30,1219.50,94.15,104.41,344.92,125.16,1.35,288.82,10.28
5.60,13.93,98.47,106.75,348.51,127.98,1.23,296.46,11.03
5.14,13.91,100.54,109.05,350.58,129.76,1.32,301.13,11.33
5.27,15.61,112.28,121.79,387.64,143.53,1.53,335.04,12.78
7.29,14.76,111.34,120.46,377.81,140.42,1.45,322.19,12.21
5.71,13.22,96.73,104.70,340.40,124.07,1.27,284.45,11.24
5.51,13.39,93.76,101.83,326.91,121.33,1.10,279.66,10.90
5.68,12.38,92.05,99.74,318.89,119.26,1.17,271.22,10.38
6.47,12.32,94.36,102.27,319.51,119.55,1.30,271.38,10.13
5.17,12.33,87.67,95.41,306.02,113.01,1.27,262.66,10.08
5.21,12.48,87.46,94.89,306.97,112.97,1.13,264.25,10.33
5.25,13.07,90.50,98.15,318.10,118.97,1.18,272.37,10.51
5.74,13.06,89.06,96.22,306.70,112.18,1.33,265.75,10.81
5.06,12.41,85.19,92.30,292.64,107.41,1.10,251.22,10.41
4.84,12.52,85.90,92.96,296.16,109.27,1.15,254.19,10.18
5.22,12.91,86.06,93.17,293.11,106.59,1.16,254.02,10.61
1.46,12.21,85.60,92.56,291.56,106.93,1.17,252.00,10.23
5.10,12.48,88.89,96.20,303.58,113.51,1.19,259.18,10.35
4.13,12.51,90.90,98.38,314.73,117.30,1.22,267.42,10.74
5.21,13.53,91.13,98.10,311.70,115.24,1.25,267.99,11.29
4.21,13.49,89.56,96.83,310.57,114.55,1.16,266.65,11.05
4.52,12.49,91.15,98.46,312.47,117.05,1.12,265.37,10.69
4.31,12.52,87.13,94.36,301.39,112.24,1.12,256.55,10.29
6.62,12.42,86.21,93.45,289.58,106.48,1.15,249.79,10.22
5.41,12.03,85.52,92.47,289.91,106.26,1.12,249.23,10.27
8.47,12.25,88.66,95.49,292.99,108.71,1.11,249.97,10.25
7.13,12.47,86.38,93.15,288.58,106.44,1.15,247.46,10.28
8.47,13.13,89.51,96.55,299.01,109.55,1.22,257.97,10.80
14.15,12.60,97.80,105.21,312.89,117.36,1.04,266.52,10.40
2209.60,9.60,2290.70,2293.00,301.37,111.36,1.22,257.05,5.55
5282.00,9.85,5369.10,5370.80,302.06,112.25,1.20,258.81,6.52
1494.30,9.63,1586.80,1590.90,314.70,118.49,1.19,268.55,6.10
6094.70,9.92,6168.30,6164.20,314.43,118.44,1.21,267.37,6.35
150.28,12.91,237.55,245.16,321.78,119.80,1.18,274.12,10.66
5.84,13.09,96.16,103.94,330.31,123.34,1.29,280.69,23.26
7863.20,12.07,7991.30,8009.00,372.97,139.18,1.48,318.39,8.02
3.42,14.36,107.97,116.83,373.44,139.60,1.36,318.83,11.48
3.37,12.53,94.02,101.64,329.49,123.34,1.19,279.84,10.15
3.39,12.34,91.29,98.93,322.41,120.27,1.14,275.05,10.18
3.45,11.91,89.20,96.49,314.89,119.07,1.20,267.39,9.81
3.48,11.79,90.66,97.91,317.23,119.42,1.11,270.19,9.46
3.55,11.78,86.13,93.15,303.98,113.12,1.11,260.56,9.66
3.45,11.44,85.20,92.24,301.89,111.83,1.06,258.50,9.24
3.42,12.00,87.86,95.09,314.36,118.35,1.16,266.58,9.61
3.53,12.58,85.52,92.30,299.97,110.12,1.17,259.01,10.13
3.53,11.66,83.84,90.87,291.61,107.86,1.18,249.43,9.65
4.23,11.90,85.24,92.00,294.60,109.30,1.19,251.51,9.65
2.78,11.53,84.95,91.60,292.28,107.44,1.13,251.03,9.33
3.40,11.69,83.36,90.51,292.07,107.20,1.17,251.40,9.59
3.40,11.87,86.78,93.90,301.61,112.72,1.10,257.02,9.65
3.35,12.17,91.70,98.79,315.95,118.49,1.18,267.84,9.80
3.61,13.00,89.66,96.77,312.72,115.40,1.26,269.56,10.51
5.31,14.35,91.62,98.77,316.02,116.79,1.22,272.11,11.64
5.29,13.28,93.98,101.62,322.03,120.29,1.17,273.95,10.91
5.15,13.08,89.24,96.18,308.57,115.55,1.14,262.27,10.86
5.21,12.79,85.27,92.10,296.49,109.05,1.15,254.14,10.69
5.63,12.87,85.99,93.07,298.05,108.75,1.10,255.45,10.81
5.51,13.21,86.17,93.01,298.64,110.45,1.15,255.65,10.94
5.34,13.11,86.74,93.08,297.12,109.61,1.09,254.21,10.93
5.58,13.51,87.78,94.61,304.61,111.74,1.18,262.35,10.94
5.82,13.21,90.47,97.65,317.84,119.61,1.12,271.03,10.66
5.33,13.07,87.17,94.32,307.49,113.30,1.16,263.70,10.87
5.30,13.21,88.23,94.94,308.52,114.64,1.07,264.51,10.78
5.59,12.93,93.03,100.53,322.10,120.49,1.09,274.77,10.65
5.49,13.33,91.07,98.22,318.90,119.35,1.14,270.45,10.66
5.93,13.48,93.76,101.48,335.36,121.81,1.17,278.45,10.88
5.96,13.82,96.51,104.29,333.35,124.59,1.26,283.75,10.93
5.55,15.56,109.46,118.28,375.14,139.82,1.38,321.17,12.58
7.58,15.84,112.97,121.78,384.38,142.90,1.36,328.01,12.43
6.69,14.43,99.33,107.07,343.52,127.53,1.24,292.09,11.76
6.00,14.16,96.75,104.78,338.74,126.04,1.23,288.36,11.24
6.07,13.53,95.21,102.64,330.76,123.92,1.18,280.98,10.73
6.10,13.28,96.20,103.63,333.69,125.28,1.19,283.54,10.66
7.65,13.39,93.66,100.97,319.56,119.33,1.14,272.34,10.76
7.16,13.53,92.17,99.70,317.53,117.13,1.12,271.34,11.17
11.10,13.90,99.48,107.23,332.17,124.77,1.18,281.91,11.06
6.36,14.20,93.14,100.09,318.76,117.25,1.22,273.19,11.25
5.96,13.36,89.83,96.59,307.53,113.41,1.18,263.06,10.99
5.35,13.45,89.98,97.30,312.81,116.13,1.21,266.04,11.31
10.69,13.55,95.11,102.15,310.41,113.34,1.18,266.11,11.09
5.79,13.57,89.80,96.68,308.13,112.81,1.16,265.51,11.16
5.24,13.59,93.95,101.29,322.31,120.64,1.13,273.50,11.04
5.62,14.00,98.12,106.10,337.41,126.16,1.18,285.53,10.99
5.67,14.55,94.94,102.18,329.29,121.87,1.23,282.20,12.08
8.13,15.26,104.04,112.34,355.01,132.02,1.23,303.32,12.16
139.34,14.66,238.72,247.27,364.04,136.57,1.26,306.58,11.93
8.68,14.79,104.59,112.60,348.01,130.60,1.26,292.88,12.20
6.40,14.72,96.93,104.73,334.56,122.80,1.21,286.54,12.01
5.64,14.38,97.86,105.74,336.82,123.28,1.28,288.32,11.72
5.73,14.59,98.59,106.57,341.64,127.01,1.20,288.25,11.66
5.95,14.40,97.00,104.67,332.70,123.40,1.22,283.30,11.79
7.40,15.31,102.02,109.85,347.38,127.78,1.27,297.10,12.13
9.41,15.19,105.39,113.34,359.65,135.40,1.17,304.06,12.05
6.01,14.41,97.78,105.43,343.95,127.06,1.22,292.35,14.77
6.41,14.08,99.96,107.82,345.05,129.16,1.19,292.91,15.44
5.92,14.12,102.97,111.05,355.34,133.02,1.29,302.05,11.42
5.93,17.23,100.67,108.46,352.71,131.01,1.23,300.21,11.83
1.45,14.80,102.19,112.35,365.04,136.19,1.28,309.65,36.43
5.51,14.81,104.52,113.19,366.08,136.05,1.35,310.72,17.52
4.26,16.19,114.20,123.63,400.78,148.45,1.44,341.30,12.95
