" -F4279,S4280+F859,S860"," -F4279,S4280+F861,S862"," -F4279,S4280+F871,S872"," -F4279,S4280+F874,S875"," -F869,S868+F881,S882"," -F869,S868+F877,S876"," -F866,S867+F878,S879"," -F890,S889+F887,S888"," -F4282,S4283+F863,S864"
[319.70],[14.43],[404.95],[413.30],[324.17],[116.89],[1.26],[281.73],[12.81]
1910.70,12.26,2019.30,2025.00,381.25,138.47,1.66,334.30,7.64
6743.20,12.75,6862.40,6870.80,360.05,131.83,1.64,316.22,8.35
7.78,15.00,104.27,113.85,362.46,132.73,1.49,315.02,11.59
21.93,15.22,120.41,130.28,369.09,137.09,1.49,320.00,11.99
5544.00,11.60,5609.00,5602.40,348.55,126.53,1.44,305.99,7.76
7.63,14.40,102.13,111.49,345.75,126.30,1.33,303.61,11.41
3.73,14.52,98.93,108.48,354.42,130.26,1.47,308.36,11.25
49.10,15.09,150.40,160.04,375.60,138.43,1.49,327.46,12.38
3.79,14.77,96.68,105.37,338.48,123.32,1.40,296.91,11.66
4.33,14.05,97.74,106.90,343.82,127.55,1.42,299.39,11.55
4.04,14.39,97.36,106.86,340.84,125.30,1.40,298.71,11.56
4.73,14.11,93.45,101.93,324.83,118.07,1.33,286.38,11.08
4.04,14.11,93.82,102.40,325.41,119.29,1.37,284.63,11.54
5.18,14.13,95.78,104.31,332.30,119.66,1.36,293.86,11.92
3.92,14.43,99.68,109.03,341.14,125.47,1.48,299.95,11.54
4.17,16.32,107.30,116.67,374.08,136.26,1.60,328.87,12.80
1944.30,13.11,2042.20,2048.20,356.35,129.74,1.61,311.46,8.54
5.41,13.66,95.10,103.43,319.96,118.55,1.24,276.46,11.79
5.77,13.28,89.51,97.51,307.98,111.77,1.21,268.57,11.47
4.98,12.91,86.92,94.95,298.75,110.21,1.25,258.49,10.93
4.76,13.18,87.12,94.70,298.14,109.02,1.23,259.70,10.91
4.82,13.55,90.29,98.61,312.12,115.67,1.30,268.86,11.71
4.31,13.45,90.92,99.37,315.51,117.74,1.16,270.29,11.35
4.37,13.69,88.72,96.54,309.34,113.13,1.22,267.97,16.37
4.78,14.02,97.44,106.18,339.82,126.16,1.39,293.96,11.83
4.35,13.09,92.09,100.28,323.72,119.60,1.23,277.52,11.26
3.17,12.40,90.99,99.37,315.79,115.79,1.18,275.98,9.08
6.40,13.66,93.52,101.97,320.20,117.49,1.26,277.27,11.32
1.22,13.52,93.01,103.51,337.10,126.25,1.37,289.31,158.71
1.63,498.90,91.25,101.53,331.05,122.13,1.25,284.13,572.42
0.70,461.78,94.70,104.29,332.23,122.64,1.42,287.17,34.84
1.63,72.85,99.49,109.85,353.45,130.09,1.38,305.01,10.88
4.52,14.06,98.67,107.52,342.45,126.51,1.38,294.83,11.51
4.80,13.27,93.28,101.65,319.86,118.39,1.21,275.49,11.05
4.49,13.09,89.88,98.00,317.90,117.73,1.19,271.45,10.46
4.29,13.08,91.61,100.00,325.73,122.60,1.22,276.93,10.54
4.52,12.73,87.84,95.95,307.93,113.29,1.18,264.81,10.36
4.04,13.03,87.60,95.51,304.59,111.94,1.10,261.22,10.73
4.15,13.07,88.51,96.56,310.89,115.10,1.22,265.11,10.72
4.49,13.25,92.61,100.78,322.99,120.10,1.29,277.92,11.09
4.12,13.19,85.57,92.73,294.75,108.03,1.29,254.82,11.07
4.33,13.19,87.07,95.25,303.24,113.30,1.12,259.27,10.45
4.01,13.33,86.84,94.45,302.57,112.25,1.20,258.88,10.95
4.57,14.83,83.70,91.01,289.45,106.51,1.19,249.39,10.72
0.63,12.51,84.69,91.84,,,1.22,248.74,9.34
4.17,12.99,85.82,93.34,300.23,109.92,1.20,258.45,10.95
3.95,13.27,92.06,99.73,311.07,115.73,1.17,266.97,11.42
4.41,15.57,101.28,109.76,349.92,127.51,1.52,305.62,13.43
4.17,15.53,102.06,110.60,352.42,129.27,1.40,306.91,13.13
4.15,13.09,91.97,99.83,309.92,115.29,1.16,265.00,11.03
3.96,12.62,86.17,93.61,300.16,109.86,1.17,256.73,10.73
4.32,12.68,84.42,91.66,288.25,106.33,1.08,247.09,10.61
4.01,12.43,83.01,90.41,287.40,105.30,1.10,247.98,10.53
4.25,13.09,86.18,93.71,299.39,111.45,1.12,255.96,10.56
4.28,12.66,86.92,94.58,299.39,111.77,1.15,254.80,10.47
3.96,12.90,85.23,91.29,293.10,107.63,1.15,251.26,10.62
4.94,13.55,91.07,99.27,315.16,117.40,1.14,269.23,11.15
4.29,12.85,87.27,94.99,306.76,113.46,1.11,261.50,10.58
13.61,12.76,96.55,104.37,301.10,111.28,1.15,257.92,10.46
6.04,12.51,88.84,96.75,305.48,112.28,1.14,261.72,10.35
5.08,12.91,91.24,99.67,321.22,120.32,1.16,272.63,10.58
8.55,13.36,93.28,101.36,314.38,116.18,1.14,266.94,10.55
58.38,13.52,145.99,154.04,316.05,116.58,1.21,271.58,10.99
5.25,13.77,98.51,106.79,339.51,125.25,1.30,290.56,11.20
13.37,13.94,107.04,115.38,337.17,124.67,1.31,289.60,11.61
1.24,13.18,91.81,100.98,316.45,116.71,1.25,272.28,74.64
5.14,13.22,90.75,99.03,315.52,116.74,1.21,288.75,10.54
4354.00,194.88,4444.20,4449.60,322.91,121.46,1.25,275.76,6.83
186.87,12.84,269.95,277.78,307.14,112.83,1.15,263.55,10.50
6.28,12.67,90.33,98.27,303.30,111.88,1.15,259.88,10.38
9.17,12.40,92.77,100.82,308.80,114.77,1.16,261.69,10.48
17.09,13.57,103.71,112.06,316.91,118.17,1.24,270.26,11.15
1380.20,10.19,1462.00,1466.20,294.19,107.92,1.27,252.33,5.77
7.13,12.69,90.63,98.32,301.23,112.78,1.17,256.14,10.47
5.52,12.57,88.28,96.36,301.19,111.73,1.11,257.24,10.65
39.86,12.69,118.87,126.36,289.74,106.12,1.18,249.31,10.50
715.31,10.38,799.62,803.97,289.46,106.73,1.15,248.42,6.22
5.06,12.81,87.54,95.05,301.26,109.90,1.12,258.02,10.85
3.33,13.41,91.93,100.09,313.75,116.92,1.23,268.11,11.33
3.29,15.35,100.68,109.67,353.61,129.09,1.46,307.48,13.03
2.52,14.57,102.14,111.10,361.56,131.71,1.52,315.20,12.37
2.61,13.06,92.61,100.43,319.77,118.52,1.21,273.19,10.83
2.07,12.25,86.72,93.22,309.13,112.87,1.11,264.71,10.45
2.31,12.31,85.10,92.64,295.66,109.03,1.09,253.38,9.87
2.55,12.26,83.73,91.00,296.56,108.83,1.17,254.84,9.83
2.20,12.66,87.98,95.75,308.44,114.46,1.13,263.54,10.31
2.28,12.52,88.19,95.74,308.16,115.04,1.11,262.52,10.40
2.24,12.83,85.89,93.62,302.52,111.27,1.15,259.04,10.31
2.95,13.03,92.44,100.45,323.22,121.46,1.12,275.02,10.58
2.41,12.59,88.22,96.14,315.55,116.95,1.07,267.43,10.19
2.37,12.42,87.59,95.38,309.10,113.60,1.15,264.95,10.21
2.39,12.62,87.58,95.25,312.72,114.52,1.18,268.50,10.17
2.37,12.76,91.14,99.57,330.02,124.01,1.19,280.82,10.37
2.49,13.01,88.72,97.06,320.76,118.08,1.17,272.70,10.52
1.51,12.91,91.30,99.53,322.37,118.71,1.23,276.92,10.21
2.25,13.24,97.15,105.74,342.54,125.91,1.29,292.96,10.87
4.65,14.80,100.03,108.43,352.62,129.27,1.43,301.46,12.22
5.00,14.48,95.54,103.83,334.66,122.94,1.21,287.52,11.85
5.04,14.34,94.27,102.62,336.34,123.81,1.14,285.36,11.26
4.16,13.95,95.67,104.13,343.84,128.91,1.20,292.00,11.24
4.72,13.88,92.06,99.97,324.98,119.24,1.16,278.32,11.44
4.49,14.33,92.13,100.01,323.09,118.43,1.12,276.34,11.62
4.40,14.03,93.13,101.06,328.96,121.91,1.21,278.58,11.56
4.35,14.67,99.00,106.95,344.88,129.56,1.24,291.63,11.82
0.76,14.01,91.29,99.13,316.30,116.32,1.31,268.77,11.01
4.20,14.09,93.46,101.40,324.80,121.95,1.18,274.87,11.70
4.48,14.21,92.97,101.01,324.55,120.83,1.19,276.11,11.67
4.27,13.90,89.01,96.67,310.92,114.32,1.18,265.92,11.26
4.41,13.80,89.84,97.67,309.38,114.38,1.16,264.76,11.50
4.53,13.89,91.58,99.56,326.91,119.54,1.21,278.36,11.75
4.31,14.80,96.83,105.01,332.58,123.43,1.20,284.35,12.18
4.88,16.53,106.44,115.15,374.63,137.60,1.49,325.15,14.19
