" -F4111,S4112+F67,S68"," -F4111,S4112+F69,S70"," -F4111,S4112+F79,S80"," -F4111,S4112+F82,S83"," -F77,S76+F89,S90"," -F77,S76+F85,S84"," -F74,S75+F86,S87"," -F98,S97+F95,S96"," -F4114,S4115+F71,S72"
[233.58],[15.02],[318.82],[327.18],[325.21],[117.11],[1.26],[282.61],[11.88]
2.68,17.07,126.27,137.01,421.51,153.21,1.90,368.79,13.39
5860.00,12.22,5950.80,5947.90,376.47,137.07,1.53,329.00,7.84
1.37,14.61,105.10,114.38,367.93,136.01,1.59,319.09,11.76
10.02,14.52,112.99,121.98,362.91,134.31,1.46,316.93,11.29
2792.00,11.63,2891.80,2897.10,367.50,136.08,1.45,318.12,7.45
6094.50,11.42,6187.40,6192.00,350.47,126.71,1.50,303.74,7.38
1.50,13.61,100.04,108.72,346.14,126.68,1.53,301.71,11.12
1.10,13.72,100.36,108.92,349.37,127.86,1.51,306.33,11.12
51.90,15.47,160.14,169.14,361.26,132.78,1.56,314.88,12.50
0.01,13.85,96.83,104.95,337.02,122.72,1.50,296.11,11.42
2.46,13.65,101.17,109.56,341.41,126.81,1.43,296.90,11.12
3845.90,10.93,3937.20,3942.50,335.69,123.28,1.35,292.60,7.05
1.37,13.49,95.10,103.18,327.65,117.94,1.50,290.45,11.00
10.80,14.28,103.50,111.98,335.23,122.43,1.44,293.65,11.80
0.50,13.95,98.75,107.07,341.87,125.48,1.52,298.08,11.30
0.01,14.00,100.52,108.69,347.39,126.90,1.46,305.31,11.44
5.89,13.44,95.25,102.86,324.85,119.07,1.34,281.89,11.70
5.69,13.54,91.58,98.91,316.59,116.81,1.18,273.29,11.29
5.73,13.17,89.44,96.86,307.56,113.86,1.29,266.02,11.48
5.10,12.66,87.14,94.55,300.27,109.40,1.24,262.66,10.89
5.26,12.98,90.27,97.43,306.20,113.45,1.31,263.90,11.44
5.34,13.26,91.14,98.71,312.14,116.41,1.26,268.07,11.23
5.23,13.35,89.07,96.68,308.81,113.52,1.30,267.81,11.55
5.33,14.01,96.84,105.10,325.05,118.78,1.39,282.15,11.78
5.32,13.31,91.62,99.39,320.06,118.18,1.37,275.41,11.52
4.84,13.31,90.89,98.73,316.37,116.69,1.30,272.37,11.34
4.02,94.99,87.94,97.84,318.48,116.64,1.26,273.53,10.40
5.00,208.52,93.71,104.10,333.80,123.72,1.33,285.33,11.04
5.17,13.14,94.53,102.74,332.43,123.42,1.38,284.23,11.01
3.82,344.15,94.18,104.75,338.24,125.42,1.40,288.84,10.71
3.46,76.96,97.14,107.55,349.38,127.91,1.45,301.05,10.95
4.25,1631.50,118.32,130.78,407.74,148.68,1.71,351.82,13.46
4.66,16.50,119.28,129.25,401.33,147.69,1.64,344.67,13.35
5.37,13.62,97.59,105.51,338.08,124.01,1.39,290.35,11.28
5.53,13.10,93.29,101.22,332.18,122.25,1.24,279.03,10.85
3.28,5201.60,88.70,98.72,319.53,118.98,1.16,271.32,9.99
3.83,168.91,90.64,100.48,322.67,120.39,1.17,274.20,9.97
4.92,12.86,86.60,93.61,305.31,112.78,1.26,261.44,10.53
5.02,12.43,87.42,94.21,303.78,111.95,1.19,260.56,10.39
5.07,12.81,88.24,95.85,308.14,113.45,1.22,263.32,10.85
5.14,13.07,91.76,99.47,310.09,113.70,1.27,266.33,10.99
5.22,12.97,85.85,92.86,295.32,108.75,1.14,255.19,10.74
4.98,12.82,87.94,95.05,300.64,112.76,1.25,256.08,11.02
4.77,12.76,86.80,93.81,294.90,109.01,1.26,253.88,10.89
5.36,12.61,84.21,91.17,290.98,106.69,1.23,252.58,10.91
5.31,12.67,86.18,93.34,296.08,109.57,1.23,254.67,10.74
5.37,12.96,88.87,96.20,306.96,114.39,1.28,262.07,10.98
5.20,13.48,92.86,100.00,315.89,116.22,1.27,274.08,11.38
4.86,13.13,92.16,99.48,314.57,115.94,1.27,270.77,10.80
5.33,12.84,88.99,96.39,306.35,114.13,1.20,260.98,10.91
5.51,12.63,86.15,92.98,295.80,109.72,1.25,253.36,10.53
5.00,12.55,83.60,90.35,289.24,105.60,1.24,250.64,10.60
5.28,12.41,86.82,94.03,293.23,108.62,1.16,251.72,10.64
5.26,12.26,87.52,94.90,298.68,112.02,1.22,253.27,10.12
5.18,12.61,85.71,92.62,293.57,108.25,1.21,252.71,10.40
5.86,13.92,89.33,96.46,299.29,109.69,1.23,256.31,11.30
5.33,12.71,87.31,94.70,303.85,112.07,1.25,259.35,10.34
7.57,12.12,89.49,96.86,300.57,110.65,1.26,257.30,10.41
6.42,12.01,86.90,94.35,303.03,111.77,1.23,258.09,10.30
4.93,12.46,91.90,99.77,319.46,119.61,1.23,270.99,10.45
10.26,12.48,95.89,103.58,315.40,117.54,1.17,268.27,10.44
8105.00,10.18,8188.90,8196.20,324.77,121.17,1.27,274.66,6.61
44.79,13.65,135.86,143.87,333.89,122.24,1.35,284.82,11.00
7.53,16.37,121.74,131.86,400.20,147.51,1.72,342.51,13.24
4.61,16.77,120.12,129.81,401.77,147.68,1.59,343.94,20.55
4.96,13.81,96.18,104.18,334.33,123.12,1.27,286.40,26.94
77.58,13.18,165.08,173.02,324.01,121.06,1.26,275.99,10.94
8998.90,10.78,9091.40,9109.60,317.33,117.87,1.15,269.12,6.83
16.55,12.62,103.99,111.96,322.66,120.71,1.22,273.17,10.89
5.27,12.94,86.59,94.07,305.43,113.04,1.19,260.25,10.93
8.49,12.40,90.99,97.99,303.12,112.09,1.17,258.59,10.73
8.07,12.54,90.76,97.96,305.64,112.90,1.17,260.84,10.48
9.31,13.97,93.55,101.10,301.86,110.87,1.21,258.33,11.28
7.17,12.71,88.46,95.85,295.54,109.08,1.20,253.83,10.67
8.67,12.26,91.69,99.09,301.03,113.23,1.20,254.80,10.54
5.60,12.45,87.54,94.71,296.28,110.04,1.15,253.26,10.58
44.45,12.59,123.25,130.76,291.78,106.35,1.22,252.48,10.65
4.11,12.59,85.22,92.28,297.43,109.95,1.09,255.35,10.44
6504.20,10.27,6536.90,6503.60,311.07,115.17,1.13,264.17,5.90
7.82,12.67,95.66,103.09,317.12,116.88,1.32,272.90,10.94
3.26,12.80,92.80,100.27,322.21,118.43,1.31,277.99,10.52
3.49,12.85,89.73,97.26,315.98,116.99,1.21,270.13,10.36
3.03,12.25,86.91,94.02,306.74,113.93,1.18,260.91,10.05
3.18,12.12,84.21,91.07,296.01,107.60,1.22,256.69,10.00
3.50,12.00,87.32,94.43,302.18,111.96,1.19,259.75,10.13
3.16,12.01,88.11,95.43,347.67,115.56,1.26,261.39,9.91
3.26,12.70,86.82,94.10,305.04,112.90,1.25,261.82,10.41
3.39,13.26,89.72,97.03,305.63,112.90,1.26,260.58,10.50
3.34,12.34,87.98,94.98,311.93,115.03,1.25,265.62,9.96
3.20,12.18,87.32,94.42,309.09,113.96,1.20,264.30,10.00
3.35,12.39,86.86,93.98,311.50,114.73,1.26,266.06,10.03
3.17,12.40,92.42,100.27,328.96,122.39,1.17,278.50,9.88
3.23,12.48,90.91,98.08,322.57,119.98,1.23,272.92,10.02
3.28,12.58,92.00,99.92,330.26,123.25,1.26,281.09,10.31
3.35,13.28,96.16,104.15,338.20,124.18,1.40,290.28,10.90
3.37,16.23,120.32,129.93,404.73,147.86,1.66,348.25,12.96
5.95,17.56,121.65,131.45,410.08,149.36,1.71,354.21,14.28
5.81,14.66,99.91,108.01,349.59,128.06,1.36,298.79,11.95
6.67,13.91,97.70,105.58,344.16,127.79,1.30,292.58,11.53
6.22,13.83,96.42,104.11,336.07,124.86,1.20,285.50,11.02
5.32,13.68,97.10,105.46,343.13,128.23,1.29,290.72,11.56
5.53,13.68,91.66,99.00,324.43,119.34,1.23,276.11,11.57
4.99,13.68,91.84,99.24,322.22,118.48,1.25,274.20,11.46
5.49,14.02,92.93,100.32,327.27,120.87,1.16,277.31,11.22
5.31,14.83,97.46,105.11,327.88,121.98,1.32,278.07,11.54
5.02,13.93,91.89,99.05,318.51,117.72,1.21,272.55,11.52
5.09,13.85,94.19,101.70,324.84,122.46,1.25,274.49,11.35
4.94,13.70,92.53,99.97,317.24,117.81,1.22,269.61,11.46
5.35,13.25,89.36,96.40,311.80,113.22,1.29,268.96,11.33
5.44,13.79,92.02,99.56,319.15,118.23,1.23,272.22,11.45
5.44,14.36,95.91,103.50,334.80,124.40,1.28,283.59,11.80
5.38,14.26,97.43,105.02,335.30,123.17,1.36,288.82,11.97
5.37,15.32,107.40,115.55,372.91,138.30,1.35,317.03,12.94
5.87,15.49,105.49,113.94,370.46,138.21,1.32,311.98,12.86
10.73,15.28,106.90,115.01,354.43,131.54,1.35,300.55,12.54
7.36,15.09,100.59,108.59,344.50,125.55,1.30,296.64,12.66
8.70,15.07,105.67,113.73,351.90,131.20,1.45,298.91,12.63
5.89,15.12,104.54,112.94,361.60,137.17,1.33,302.43,12.36
5.52,15.16,101.30,109.41,350.43,129.61,1.37,300.26,12.41
9.85,16.86,116.19,124.87,370.87,138.40,1.48,312.93,13.43
6893.40,12.74,6989.50,6983.80,362.01,133.71,1.34,304.32,7.45
5.70,14.82,101.82,109.75,354.20,130.70,1.31,299.67,12.07
6.66,15.20,102.69,110.68,358.96,132.86,1.35,303.37,11.88
12.59,14.83,112.45,120.65,370.75,138.77,1.40,314.81,12.02
6.90,15.23,105.71,114.06,367.63,136.98,1.31,311.31,12.12
6.62,15.40,106.39,114.74,376.96,140.27,1.42,319.43,12.42
6.46,15.55,107.74,116.38,376.73,137.82,1.49,319.41,12.80
6.11,18.12,124.61,134.48,425.14,154.63,1.73,364.90,14.43
