" -F4230,S4231+F628,S629"," -F4230,S4231+F630,S631"," -F4230,S4231+F640,S641"," -F4230,S4231+F643,S644"," -F638,S637+F650,S651"," -F638,S637+F646,S645"," -F635,S636+F647,S648"," -F659,S658+F656,S657"," -F4233,S4234+F632,S633"
[196.55],[14.65],[282.87],[291.29],[327.20],[117.89],[1.29],[285.07],[11.40]
2.39,13.81,116.31,126.74,419.77,151.24,1.78,372.78,9.89
0.01,14.26,108.80,118.48,392.48,143.52,1.63,347.30,11.19
2.94,12.21,108.08,118.11,385.45,141.28,1.63,341.77,9.05
2.64,12.21,105.09,114.45,380.76,137.92,1.58,339.01,8.71
2.54,12.29,104.05,113.62,374.99,135.28,1.61,333.42,8.79
0.01,13.98,104.47,113.69,373.60,135.18,1.61,330.44,10.60
2.66,11.97,106.15,115.95,383.76,139.98,1.55,340.44,8.57
2.62,12.61,111.06,121.09,391.92,144.06,1.63,346.48,9.17
2.86,12.46,102.00,110.84,366.01,131.84,1.54,326.12,9.27
2.63,12.24,101.42,110.62,365.08,132.16,1.63,324.85,9.00
0.01,13.54,101.60,110.81,363.30,132.00,1.62,323.13,10.99
2.81,12.07,98.79,107.47,347.37,124.98,1.49,310.19,8.90
2.77,12.19,98.34,107.38,350.93,126.51,1.59,314.63,9.01
2.45,12.05,102.82,111.85,361.88,132.94,1.48,321.50,8.76
2.47,12.09,104.14,113.06,367.82,133.74,1.57,327.01,8.85
2.69,12.85,106.83,115.94,383.09,136.77,1.81,343.18,10.13
4.35,14.80,98.76,107.00,345.09,125.03,1.45,298.94,12.59
4.48,13.67,95.75,103.73,331.64,122.65,1.36,283.48,11.46
4.39,13.58,93.34,100.78,318.70,119.19,1.26,273.79,11.38
5.26,13.42,90.05,97.51,308.30,113.11,1.19,267.58,11.32
4.34,13.56,88.47,96.31,306.91,111.82,1.24,263.96,11.30
4.27,13.63,91.18,99.31,316.61,116.83,1.27,272.10,11.26
4.19,13.22,91.13,99.21,319.25,117.25,1.29,275.25,10.98
4.18,13.52,91.21,99.21,319.81,116.08,1.32,278.49,11.18
4.42,14.00,99.52,108.43,342.09,127.69,1.34,292.40,11.56
3.99,13.33,94.53,102.97,335.33,123.31,1.29,288.17,11.32
4.32,13.50,92.89,101.00,324.98,119.13,1.23,281.68,11.27
0.71,104.05,91.80,102.05,328.30,120.17,1.42,283.07,9.55
5.00,13.17,92.54,102.42,353.42,121.48,1.44,285.20,7986.40
4.59,13.33,96.18,104.82,334.71,124.03,1.38,288.18,11.01
5.27,24.73,99.79,108.51,357.38,128.54,1.33,297.23,11.74
4.32,15.06,107.38,116.83,374.74,137.42,1.46,322.62,12.29
4.66,14.10,103.98,112.89,362.56,133.81,1.41,307.88,11.47
4.93,13.17,95.59,104.21,330.35,122.55,1.29,282.28,11.07
5.89,12.90,92.81,100.51,316.07,116.75,1.19,270.12,10.86
4.97,12.22,89.25,96.96,314.21,115.49,1.19,269.02,10.25
4.45,12.18,89.17,96.56,310.43,113.17,1.24,266.79,10.08
4.21,12.41,88.26,95.75,307.27,112.95,1.24,263.73,10.32
3.97,12.28,90.17,98.28,317.33,117.40,1.21,270.77,10.37
3.89,12.83,94.11,102.32,322.51,120.18,1.20,274.18,10.65
3.03,12.90,85.90,92.88,300.93,109.21,1.26,259.42,10.88
4.21,12.52,86.68,94.02,301.86,111.04,1.25,259.12,10.22
4.17,12.53,86.80,94.17,299.64,111.16,1.15,255.33,10.49
3.75,12.25,84.37,91.62,291.02,106.08,1.19,249.95,10.38
4.61,12.53,85.85,93.16,293.04,107.63,1.18,252.64,10.87
4.33,12.24,89.40,97.03,303.01,113.40,1.26,257.66,10.66
4.25,12.65,91.64,99.21,315.25,116.73,1.34,269.15,10.70
4.31,13.92,96.15,103.79,333.95,121.17,1.47,288.20,12.05
3.31,13.77,94.99,102.65,331.83,120.36,1.46,286.24,11.59
5.08,12.54,92.82,100.31,314.41,116.72,1.21,267.16,10.59
5.88,12.39,89.88,97.35,300.93,112.78,1.12,255.65,10.47
10.04,12.54,90.71,98.30,291.97,107.47,1.11,250.87,10.45
5.10,12.11,84.57,91.54,288.44,105.42,1.10,246.23,10.44
4.84,12.17,86.88,94.29,298.05,110.25,1.17,252.57,10.07
4.86,12.39,86.50,93.81,297.48,109.94,1.13,253.89,10.47
8.25,12.53,89.31,96.34,295.28,107.59,1.19,254.72,10.67
6.41,12.71,94.45,102.33,314.94,117.43,1.18,267.33,10.55
57.77,12.15,142.39,150.13,310.78,115.17,1.15,263.95,10.08
6.13,12.40,89.19,96.32,303.68,112.06,1.13,259.41,10.29
106.00,12.09,189.70,196.83,305.40,112.13,1.18,261.75,10.14
5.82,12.34,89.60,97.15,310.71,114.83,1.19,265.17,10.44
36.94,13.15,123.11,130.89,311.03,115.47,1.15,267.94,11.02
43.31,13.11,133.69,141.74,326.73,121.82,1.25,278.51,10.93
3104.40,11.39,3207.20,3211.70,357.02,132.14,1.38,303.74,7.21
2.71,13.62,102.00,110.74,357.02,132.76,1.40,302.28,10.86
2.36,12.32,92.58,100.29,324.88,121.32,1.25,277.47,9.96
2.52,12.19,88.48,96.34,312.61,116.05,1.20,267.22,10.02
