" -F4244,S4245+F694,S695"," -F4244,S4245+F696,S697"," -F4244,S4245+F706,S707"," -F4244,S4245+F709,S710"," -F704,S703+F716,S717"," -F704,S703+F712,S711"," -F701,S702+F713,S714"," -F725,S724+F722,S723"," -F4247,S4248+F698,S699"
[251.33],[14.02],[275.62],[284.02],[321.49],[116.04],[1.27],[278.93],[13.25]
4.78,14.83,107.39,116.66,373.05,137.00,1.47,322.53,12.09
4.42,14.21,101.01,109.72,350.69,129.17,1.45,303.34,11.77
5.24,20.83,98.57,107.24,346.62,126.58,1.35,298.41,11.58
5.06,14.11,98.26,107.08,349.93,128.72,1.46,302.91,11.25
4.71,13.40,96.42,104.94,335.25,122.07,1.33,290.75,11.16
4.39,13.65,95.65,104.18,337.62,123.93,1.38,293.06,11.18
4.22,13.67,99.12,108.07,339.38,125.98,1.33,290.48,11.14
5.26,14.60,101.30,110.32,356.68,131.06,1.38,309.45,11.80
5.03,14.04,94.46,102.54,328.41,119.16,1.32,286.27,11.47
4.88,13.71,95.38,103.89,348.64,122.53,1.35,285.94,11.05
4.70,13.75,94.06,102.40,328.48,120.21,1.35,283.02,11.41
4.37,13.83,89.66,97.47,309.67,112.81,1.29,269.44,11.02
4.98,13.90,92.21,100.05,315.51,115.51,1.37,274.43,11.43
4.72,13.82,94.90,102.60,317.61,117.41,1.29,274.21,11.35
4.70,13.83,98.57,107.04,337.28,124.97,1.41,290.73,11.37
4.42,15.40,103.20,112.20,354.43,129.26,1.60,309.53,12.72
2.99,13.85,98.68,107.20,342.61,125.59,1.53,296.69,11.31
2.76,12.45,92.69,100.81,320.96,118.68,1.37,276.38,10.10
2.83,12.06,88.23,95.79,300.78,111.53,1.32,258.18,10.04
2.81,12.14,85.15,92.50,296.83,109.10,1.21,256.96,9.72
2.78,11.79,83.79,91.13,292.97,107.66,1.23,252.47,9.82
2.85,12.11,87.31,94.75,308.16,113.59,1.25,264.76,9.96
3.77,12.28,89.84,97.78,313.80,116.71,1.24,268.40,9.98
2.83,12.51,86.59,93.99,306.51,111.67,1.27,266.06,10.33
2.60,12.61,93.10,101.62,334.62,123.75,1.28,286.63,10.19
3.52,11.98,93.25,101.58,318.46,118.49,1.20,270.69,9.99
2.80,12.00,88.99,96.71,315.98,116.45,1.28,273.67,10.00
32.66,12.35,119.96,127.88,314.50,115.41,1.27,271.34,10.08
1.56,12.38,89.94,98.31,326.74,120.25,1.33,280.38,9.82
1.64,12.34,90.68,98.67,324.78,119.70,1.32,277.65,10.20
2.60,12.46,94.50,102.62,332.33,123.27,1.38,284.18,10.34
3.00,13.09,101.13,109.93,355.49,131.82,1.40,305.03,10.68
4.88,14.14,100.16,108.71,349.23,129.50,1.36,297.06,11.55
5.16,13.07,93.49,101.18,323.56,120.15,1.24,276.68,10.59
5.01,12.88,89.71,97.43,315.00,116.26,1.19,268.32,10.61
1.67,12.72,87.13,96.52,317.66,117.76,1.18,271.58,8166.40
1.65,9987.10,85.96,94.90,304.40,111.93,1.27,261.37,10.05
4.63,13.05,87.02,94.61,307.05,113.08,1.20,264.59,10.57
4.96,12.46,90.96,98.91,307.93,114.94,1.21,261.71,10.51
4.83,13.48,90.56,98.44,319.59,118.53,1.24,274.42,10.80
1.38,147.68,84.11,92.42,296.30,107.84,1.30,256.45,9.99
3.43,106.80,85.54,94.33,303.36,112.70,1.48,258.53,10.55
5.01,13.06,86.26,93.65,300.47,110.66,1.14,258.37,10.84
4.96,12.49,83.44,90.39,286.04,105.23,1.17,246.42,10.45
4.77,12.61,84.40,91.34,291.02,106.90,1.16,251.22,10.69
4.67,12.79,87.45,94.93,294.52,109.75,1.19,251.22,10.85
4.94,12.97,92.41,99.85,315.05,117.07,1.21,270.09,10.89
5.14,14.55,98.21,106.35,337.45,123.45,1.44,292.54,12.25
4.86,14.95,99.48,107.23,340.72,125.06,1.49,294.48,12.39
4.71,13.27,92.93,100.52,316.07,117.86,1.26,270.03,11.08
4.60,12.99,87.76,95.22,297.30,110.95,1.28,252.80,10.43
4.96,12.76,85.03,91.85,292.15,107.09,1.06,251.27,10.21
4.73,12.90,82.65,89.64,287.26,105.22,1.12,246.77,10.50
4.10,13.10,85.74,93.09,299.24,110.56,1.17,256.07,10.79
4.23,12.68,87.02,94.51,301.67,112.63,1.16,256.45,10.59
4.65,12.84,85.22,92.20,296.03,108.11,1.22,254.80,10.44
4.80,13.22,90.02,97.55,317.29,117.99,1.19,270.31,10.94
4.67,12.85,90.40,98.08,306.44,114.21,1.18,259.11,10.51
4.74,12.85,86.99,94.49,308.66,114.37,1.20,264.49,10.36
4.44,12.69,86.96,94.38,304.05,111.53,1.24,260.10,10.04
5.76,12.71,89.10,97.10,317.87,117.65,1.17,271.04,10.20
5.03,12.90,89.49,96.94,312.35,115.46,1.20,265.54,10.34
5.55,13.26,92.83,100.63,321.85,118.64,1.28,274.59,11.08
4.92,14.52,99.84,108.08,346.67,127.94,1.36,295.31,11.40
3.46,13.93,101.35,109.96,344.30,127.51,1.42,292.88,10.89
8.96,13.60,97.01,104.70,323.31,119.46,1.26,274.93,11.03
6.52,12.89,91.25,98.88,315.17,116.12,1.17,266.69,10.54
4.70,12.85,89.84,97.60,321.48,119.07,1.20,273.11,10.39
5.79,12.90,89.22,96.71,307.94,113.16,1.19,262.38,9.95
5.48,12.81,88.92,96.51,311.03,114.96,1.21,265.41,10.37
5.55,13.15,92.56,100.55,309.99,116.03,1.15,260.66,10.33
5.63,13.38,91.81,99.43,320.40,119.21,1.22,271.43,11.03
4.58,12.87,86.15,93.29,298.05,108.98,1.17,256.45,10.54
4.98,12.67,88.06,95.37,305.06,113.54,1.19,257.94,10.21
4.76,12.85,86.71,94.26,302.20,111.79,1.18,258.05,10.56
4.90,13.07,83.52,90.57,289.79,106.01,1.14,248.06,10.49
4.88,12.96,85.47,92.76,293.45,107.90,1.08,251.55,10.60
4.74,12.93,88.61,96.12,298.79,111.30,1.20,253.09,10.45
4.64,12.99,94.50,102.22,319.95,119.66,1.26,271.26,10.62
4.38,14.96,99.52,107.83,341.39,125.34,1.41,295.12,12.32
94.46,14.97,191.56,200.11,348.99,128.07,1.41,302.17,12.30
713.90,11.64,810.70,815.83,328.34,122.47,1.28,278.49,8.26
5.68,13.24,92.15,99.64,306.22,113.98,1.27,260.19,10.90
5.59,13.36,89.19,96.60,302.15,111.05,1.19,258.79,11.01
3.76,13.24,85.26,92.37,298.26,109.39,1.17,255.23,10.88
4.98,13.40,89.52,97.16,310.42,114.79,1.23,266.86,10.82
5.12,13.14,90.97,98.63,313.74,116.86,1.18,266.48,10.93
4.72,13.68,89.01,96.62,307.66,113.08,1.21,264.50,11.24
5.83,14.14,95.09,103.05,328.92,122.97,1.24,279.06,11.38
4.76,13.21,93.51,101.42,317.81,118.42,1.20,268.67,10.83
4.56,13.04,90.02,97.74,316.24,116.69,1.16,271.12,10.65
5.60,14.56,90.93,98.56,313.10,115.02,1.24,268.24,10.86
3.61,13.41,90.65,98.34,328.92,121.55,1.23,281.53,10.93
3.47,31.19,90.10,97.87,321.51,118.45,1.21,273.12,11.17
0.56,341.39,91.48,100.78,328.96,121.70,1.28,280.73,10.49
3.55,14.73,100.85,109.23,351.23,130.57,1.42,298.14,11.56
2.60,14.32,103.00,111.56,364.70,134.54,1.40,309.06,11.11
2.91,13.53,96.52,104.41,344.02,126.85,1.29,291.95,10.56
2.70,13.21,94.30,102.41,340.13,125.44,1.25,288.01,10.68
2.56,13.31,94.05,102.34,344.89,127.33,1.22,294.30,10.31
2.56,13.12,92.97,100.60,330.87,121.45,1.23,282.00,10.39
2.94,13.32,92.93,100.86,334.53,123.97,1.18,285.07,10.43
2.74,13.35,96.44,104.58,334.73,125.04,1.21,281.97,10.52
2.83,13.75,97.92,106.11,350.78,131.48,1.28,296.90,10.86
2.85,13.48,92.21,99.87,327.09,120.19,1.24,280.14,10.72
2.68,13.46,94.29,102.06,332.76,124.57,1.20,281.03,10.64
2.80,13.16,93.40,101.46,329.00,121.98,1.15,281.87,10.33
2.80,13.14,89.60,96.94,316.07,116.00,1.21,269.80,10.27
2.80,13.20,91.03,98.75,318.75,117.60,1.24,272.68,10.45
2.56,13.07,94.20,102.16,325.18,121.61,1.23,275.55,10.51
2.70,13.68,99.98,108.39,345.33,128.93,1.26,291.85,11.00
2.83,15.00,103.94,112.83,365.68,134.64,1.50,315.89,11.89
5.07,17.66,115.23,124.22,402.36,149.56,1.53,342.00,13.97
5.79,16.50,114.97,124.17,391.91,147.31,1.40,327.65,13.12
5.35,15.97,108.85,117.59,369.58,138.15,1.39,309.36,12.51
5.65,16.14,105.78,114.46,364.69,135.10,1.35,307.67,12.62
5.52,15.41,102.53,110.46,356.33,131.27,1.32,301.93,12.51
5.39,16.22,107.22,116.07,374.61,139.12,1.43,318.43,12.95
4.96,16.50,109.07,117.50,379.58,142.65,1.38,316.57,12.86
5.06,16.06,105.36,114.09,371.25,136.22,1.36,315.32,12.86
5.37,16.56,112.81,122.25,398.42,148.70,1.42,336.26,13.19
5.14,15.65,110.91,119.91,378.45,141.76,1.41,317.87,12.67
4.89,16.16,106.32,115.17,375.30,139.37,1.39,318.35,13.22
5.18,19.51,107.31,116.06,375.29,138.19,1.43,317.22,12.55
6.84,28.54,108.51,116.91,381.93,140.46,1.41,325.91,12.51
5.52,15.59,108.06,116.70,384.29,141.66,1.45,323.35,12.40
5.65,15.95,109.93,118.92,385.01,142.51,1.51,324.79,13.00
5.10,17.13,113.13,122.63,397.96,146.50,1.46,336.71,13.33
