" -F4300,S4301+F958,S959"," -F4300,S4301+F960,S961"," -F4300,S4301+F970,S971"," -F4300,S4301+F973,S974"," -F968,S967+F980,S981"," -F968,S967+F976,S975"," -F965,S966+F977,S978"," -F989,S988+F986,S987"," -F4303,S4304+F962,S963"
[166.69],[14.43],[252.37],[260.90],[320.83],[116.13],[1.26],[278.42],[11.36]
23.13,15.02,123.03,132.51,377.95,133.68,1.56,317.92,12.07
1.49,14.53,98.18,108.82,351.43,129.41,1.42,305.04,87.26
4.56,13.97,98.98,108.00,348.09,129.13,1.45,300.73,11.53
5.30,13.76,101.23,110.54,357.84,132.83,1.40,308.45,11.21
4.47,13.57,94.71,103.03,327.64,119.91,1.34,284.89,10.73
4.30,13.61,94.48,103.02,333.39,121.63,1.38,288.64,10.91
4.21,13.73,95.89,104.63,334.41,122.98,1.42,288.95,11.37
4.38,14.70,104.32,113.29,371.43,135.47,1.61,326.24,12.08
4.21,13.86,92.58,100.97,324.00,117.85,1.45,283.65,11.24
4.26,13.69,94.78,103.45,328.79,122.76,1.41,283.09,10.91
4.47,14.10,94.85,103.19,324.66,120.21,1.43,280.08,11.37
3.96,13.60,90.05,98.06,308.64,111.82,1.36,270.75,11.08
4.31,13.60,91.23,99.17,317.63,116.10,1.44,276.66,11.19
4.67,13.94,93.43,101.92,323.71,119.39,1.36,281.59,11.19
4.44,13.83,97.54,105.82,331.11,121.65,1.39,287.70,11.38
4.32,16.47,109.11,118.31,385.65,139.44,1.80,342.37,13.72
2.16,15.04,105.37,114.49,377.90,136.85,1.81,332.74,12.23
1.71,12.12,91.55,99.63,317.29,116.51,1.36,273.90,9.79
2.13,12.67,87.71,95.40,307.03,113.69,1.34,265.49,10.05
2.27,12.13,84.68,92.42,299.55,110.26,1.28,258.85,9.82
1.52,11.57,83.92,91.26,292.14,106.60,1.24,253.65,9.42
2.21,12.17,87.78,95.69,305.01,113.41,1.28,262.90,9.95
1.38,11.98,88.48,96.16,309.02,116.05,1.26,265.25,9.52
2.13,12.62,85.50,93.09,303.14,109.96,1.28,265.30,10.20
2.07,12.72,95.21,103.95,340.57,125.26,1.40,294.83,10.19
2.29,12.07,88.77,96.90,313.46,115.75,1.27,270.62,9.85
2.13,12.32,88.02,95.73,312.60,114.72,1.16,269.04,9.59
7.82,12.54,94.01,101.78,308.18,113.43,1.26,265.90,9.89
1.97,12.26,93.17,101.89,334.31,124.56,1.31,286.56,9.76
1.38,12.57,91.39,99.79,327.14,122.17,1.32,278.78,9.90
1.90,12.77,91.90,101.03,331.74,122.52,1.36,285.74,9.84
1.96,13.00,98.44,106.85,346.48,127.21,1.41,298.38,10.32
3.95,13.96,96.09,104.36,337.26,123.51,1.37,288.95,11.07
40.94,20.93,127.88,136.04,322.13,119.72,1.33,276.89,10.67
3.95,13.07,89.58,97.52,316.25,117.95,1.18,269.23,15.46
1.41,12.94,90.20,99.84,324.85,121.43,1.22,276.75,31.20
3.62,13.04,86.09,93.68,298.24,110.13,1.19,257.15,10.37
4.10,12.89,86.09,93.48,303.13,110.95,1.19,260.66,10.66
3.18,11.83,87.20,94.96,303.96,112.60,1.20,261.07,9.12
3.97,13.65,91.88,99.81,325.19,119.31,1.30,280.94,10.95
4.01,13.04,83.76,91.01,295.01,107.38,1.21,256.07,10.60
3.88,12.88,86.52,94.38,300.31,112.61,1.16,256.01,10.55
4.27,12.94,86.75,94.20,297.46,110.67,1.24,255.88,10.41
3.67,12.52,82.99,90.26,285.39,104.85,1.27,247.05,10.25
4.01,12.74,83.49,90.77,292.63,107.81,1.24,252.43,10.24
3.86,13.42,87.40,94.81,300.62,111.80,1.29,258.71,10.89
3.85,13.31,91.66,99.02,311.33,114.81,1.25,268.12,11.09
5.97,15.78,107.94,116.71,376.28,136.98,1.68,332.02,13.41
4.64,16.52,107.35,116.37,378.07,137.46,1.71,333.55,13.74
3.39,11.85,91.09,98.72,311.64,114.77,1.24,268.40,8.40
3.94,13.41,87.41,94.80,302.00,111.90,1.22,259.73,10.58
3.95,12.95,83.75,91.21,293.70,108.04,1.13,252.51,10.32
3.95,20.05,83.10,90.22,286.07,104.23,1.18,247.21,10.27
3.86,12.99,86.21,93.68,298.81,111.35,1.18,256.39,10.43
3.91,12.77,86.40,94.35,300.34,112.84,1.23,255.50,10.14
3.96,13.26,83.79,91.01,293.80,107.37,1.27,254.54,10.37
3.91,13.54,90.26,97.91,318.66,117.68,1.35,273.06,10.78
3.76,13.07,86.91,94.41,303.42,112.77,1.19,258.75,10.27
3.70,12.89,86.01,93.37,302.40,111.13,1.21,259.97,10.31
3.81,12.88,86.11,93.78,307.35,110.69,1.24,255.07,10.07
3.96,12.89,91.54,99.52,325.32,121.96,1.16,275.68,9.92
4.19,13.18,89.64,97.62,317.59,118.49,1.21,269.04,10.07
4.04,13.53,90.82,98.83,320.22,118.33,1.26,276.30,10.60
4.13,14.32,96.38,104.65,336.05,122.97,1.31,287.44,11.22
4.53,14.19,97.34,105.61,336.51,123.32,1.37,287.67,11.06
7.51,13.68,94.27,102.54,323.04,119.30,1.35,276.96,10.74
4.80,13.28,91.05,98.87,318.58,118.11,1.20,269.79,10.31
2.96,86.69,92.97,102.15,327.94,122.72,1.12,278.89,9.46
5.40,12.93,88.44,95.78,301.89,111.46,1.19,257.79,9.96
5.49,12.67,88.47,95.85,305.01,112.12,1.14,260.32,10.09
9.22,12.75,92.89,100.68,305.18,113.16,1.19,259.56,10.11
4.02,13.79,90.84,98.62,319.99,118.09,1.34,273.24,11.24
4.94,13.01,86.24,93.33,297.81,109.19,1.21,257.13,10.30
4.01,12.94,88.18,95.73,302.93,113.91,1.16,257.09,10.20
4.12,13.06,87.85,95.56,302.58,112.67,1.14,257.96,10.35
3.52,12.84,82.52,90.26,288.34,105.17,1.17,247.95,10.28
4.36,12.90,84.83,92.06,296.05,109.08,1.20,252.21,10.62
4.21,13.24,88.38,95.87,304.29,112.61,1.17,260.22,10.51
3.77,13.30,92.11,99.56,313.51,115.90,1.37,268.81,10.83
4.15,16.12,107.64,116.59,380.86,137.98,1.79,335.17,13.62
7.62,16.39,113.56,122.96,389.01,140.64,1.58,343.01,13.55
5.56,13.59,95.82,103.78,321.56,118.20,1.31,275.24,11.26
4.60,13.75,92.08,99.86,314.27,116.72,1.28,268.66,10.76
4.84,13.37,87.19,94.77,304.33,111.59,1.29,261.33,10.83
3.83,12.98,85.83,93.19,296.63,108.37,1.12,255.62,10.52
12.98,13.15,98.98,106.94,311.25,116.38,1.27,264.36,10.61
4.21,13.09,91.00,98.53,311.85,117.05,1.21,265.31,10.34
2.77,13.57,86.71,93.90,305.88,111.87,1.11,265.40,10.91
2.64,13.98,94.07,101.81,331.68,123.45,1.31,282.76,11.19
5.37,13.42,91.90,99.65,313.96,116.80,1.25,267.29,10.14
2.38,13.16,87.71,95.39,312.52,114.96,1.23,267.12,10.40
4.43,15.72,89.07,97.36,309.43,114.40,1.32,264.79,10.44
4.11,14.72,95.01,103.07,337.50,126.33,1.27,286.86,10.96
2.55,13.80,90.64,98.93,326.37,121.02,1.23,277.84,10.51
0.03,13.40,90.44,100.09,331.05,123.00,1.22,282.68,132.99
2.94,15.07,97.03,104.98,342.35,125.43,1.35,293.09,11.38
2.09,14.02,99.48,107.49,355.41,130.09,1.36,303.46,10.61
2.19,13.84,94.42,103.57,346.51,127.52,1.34,295.74,10.29
2.10,13.59,94.75,103.05,343.37,127.43,1.18,291.68,10.08
1.93,13.40,97.37,105.70,354.84,132.40,1.22,300.69,10.22
1.85,13.25,91.89,99.89,325.09,120.20,1.26,277.72,10.24
1.73,13.38,91.74,99.58,331.18,121.95,1.22,281.41,10.02
2.02,13.30,93.47,101.35,331.29,122.97,1.25,281.12,10.36
1.83,14.04,99.86,107.98,356.49,133.66,1.37,302.00,10.78
2.11,13.95,90.03,98.55,324.32,119.10,1.27,279.31,10.80
2.16,13.39,94.28,102.32,332.11,125.84,1.18,280.46,10.43
1.89,12.79,94.03,102.10,329.01,122.75,1.23,279.69,10.03
2.04,12.92,89.29,96.91,314.11,115.08,1.26,269.20,10.04
1.97,13.34,90.13,98.04,321.40,118.26,1.24,274.10,10.33
2.26,13.63,94.87,102.80,334.03,124.21,1.26,286.14,10.77
2.31,13.83,96.61,104.67,337.42,124.24,1.38,289.56,10.79
2.32,16.11,112.02,121.71,409.02,149.36,1.75,358.54,13.00
4.82,18.61,121.46,131.54,440.30,161.23,1.61,382.76,14.70
