" -F4216,S4217+F562,S563"," -F4216,S4217+F564,S565"," -F4216,S4217+F574,S575"," -F4216,S4217+F577,S578"," -F572,S571+F584,S585"," -F572,S571+F580,S579"," -F569,S570+F581,S582"," -F593,S592+F590,S591"," -F4219,S4220+F566,S567"
[437.50],[13.45],[458.56],[466.92],[321.47],[116.10],[1.26],[278.76],[11.06]
4.96,15.04,109.25,119.83,384.35,140.57,1.50,331.33,12.15
196.36,14.41,292.12,302.32,360.77,131.13,1.45,305.27,11.43
4.86,14.07,98.28,107.96,343.03,126.47,1.40,297.45,11.66
4.82,13.34,96.28,105.33,339.93,124.78,1.41,296.28,11.18
5.28,13.18,96.24,105.10,335.96,122.25,1.42,292.48,11.05
4.49,13.23,95.26,104.18,334.48,122.68,1.32,290.84,11.00
4.92,13.49,96.75,106.22,344.94,126.72,1.37,296.81,11.29
4.64,13.97,101.38,111.16,351.51,130.06,1.34,303.11,11.57
4.60,13.79,93.95,102.54,328.94,118.92,1.42,286.83,11.52
4.70,13.34,93.33,102.29,328.42,120.84,1.35,283.24,10.88
4.37,13.57,92.82,101.86,325.82,119.99,1.29,279.48,11.12
4.48,13.46,90.49,98.83,314.71,114.16,1.37,271.64,11.21
5.36,13.79,92.30,100.82,316.09,115.52,1.32,275.96,11.37
3.87,44.61,93.54,103.54,326.96,122.04,1.61,281.02,10.50
4.78,13.75,97.30,106.07,336.49,124.19,1.42,289.71,11.65
4.53,14.82,100.13,109.28,349.85,126.45,1.49,304.13,12.57
2.87,13.06,94.98,103.81,336.18,121.41,1.46,291.27,11.07
2.83,12.35,91.01,99.32,320.03,118.21,1.33,274.69,10.16
2.87,11.95,88.68,97.07,307.95,114.86,1.27,263.26,9.86
2.91,12.00,85.10,93.05,297.66,109.22,1.21,257.42,9.87
2.59,11.79,84.66,92.46,296.70,108.66,1.23,255.08,9.80
2.72,12.04,86.68,94.98,305.24,113.03,1.21,261.38,10.04
2.79,12.33,87.12,95.30,309.26,114.01,1.26,265.92,10.04
2.72,12.35,86.38,94.73,307.33,111.83,1.27,266.94,10.33
3.52,12.42,95.14,104.21,330.23,123.12,1.30,281.63,10.25
1.78,11.70,90.49,99.21,325.11,120.49,1.28,277.76,9.73
2.92,11.89,88.51,96.86,314.49,115.92,1.26,270.81,9.96
2.75,12.13,89.11,97.62,316.25,115.41,1.30,272.98,9.97
1.62,11.88,88.48,97.10,318.70,116.92,1.29,278.79,9.82
2.64,12.13,91.30,100.00,322.66,119.28,1.25,276.37,10.18
2.71,12.51,94.73,104.03,337.43,125.95,1.36,287.47,10.27
2.81,13.29,103.79,113.69,366.42,135.55,1.38,313.13,10.86
1.71,62.04,101.09,111.80,359.56,132.46,1.39,305.46,10.53
5.09,13.25,93.34,102.05,326.64,121.99,1.26,279.01,13.41
3.44,58.83,88.71,97.98,313.36,116.37,1.52,266.04,9.58
5.04,28.17,86.63,95.85,310.49,114.68,1.14,265.94,50.15
1.95,232.28,85.77,94.82,305.82,112.61,1.23,262.67,9.91
4.66,13.01,86.47,94.57,303.96,112.14,1.25,261.14,10.97
4.51,12.58,88.34,96.87,314.45,116.52,1.22,268.04,10.55
4.49,12.99,91.44,100.36,316.73,118.14,1.20,270.41,10.82
4.27,13.14,84.62,92.48,297.96,108.70,1.24,256.90,10.80
4.77,12.94,85.39,93.25,299.18,110.28,1.24,256.27,10.72
4.80,12.92,85.39,93.54,298.78,110.61,1.16,254.57,10.66
4.73,12.49,83.56,91.21,289.07,105.58,1.19,248.48,10.31
5.05,12.64,84.30,92.24,291.25,107.00,1.17,250.61,10.60
4.82,12.47,87.82,95.82,301.43,113.35,1.19,256.31,10.65
5.86,12.80,92.04,99.77,314.22,116.58,1.26,269.19,10.82
5.50,14.05,95.35,103.89,331.38,120.31,1.53,287.23,11.91
4.70,14.36,95.43,103.70,333.99,120.80,1.35,288.76,11.99
4.98,13.06,91.68,99.45,316.28,117.71,1.28,269.63,10.79
4.89,12.66,87.86,95.79,302.74,113.29,1.21,258.37,10.49
4.66,12.93,84.21,92.08,292.52,107.32,1.19,252.65,10.58
4.41,12.89,82.94,90.29,289.16,105.38,1.21,248.09,10.44
4.65,12.87,85.63,93.53,297.47,110.22,1.21,253.49,10.62
4.52,12.81,85.33,92.89,299.18,110.81,1.10,254.90,10.51
4.90,12.95,85.11,92.60,296.03,108.15,1.24,254.05,9.72
4.90,13.04,91.86,100.29,315.57,117.71,1.18,268.73,10.91
4.65,12.79,87.78,96.46,312.03,115.47,1.16,265.56,10.38
4.61,13.05,86.63,94.61,308.22,112.19,1.22,260.00,10.63
4.72,12.51,86.64,94.59,303.82,111.35,1.21,260.98,10.19
5.28,12.56,88.15,96.11,310.58,114.96,1.21,265.07,10.40
4.92,12.56,90.00,98.30,326.78,115.53,1.20,264.79,10.48
2604.90,11.46,2692.90,2699.20,331.62,120.79,1.30,276.90,8.39
4.72,14.55,102.22,111.80,362.37,131.07,1.39,302.34,11.61
5.26,14.54,103.18,112.77,356.24,131.71,1.39,301.79,11.67
5.89,13.36,94.66,103.35,326.93,121.44,1.29,276.97,11.03
21.81,12.98,107.10,115.56,313.04,115.57,1.22,267.26,10.85
541.80,12.48,625.12,633.27,313.09,115.67,1.20,267.57,10.66
5.34,12.32,87.52,95.53,307.11,112.74,1.12,261.46,10.16
18.19,12.50,100.64,108.63,307.51,113.23,1.17,262.06,10.66
7.53,12.55,92.22,100.45,315.23,116.78,1.19,268.76,10.36
