" -F4265,S4266+F793,S794"," -F4265,S4266+F795,S796"," -F4265,S4266+F805,S806"," -F4265,S4266+F808,S809"," -F803,S802+F815,S816"," -F803,S802+F811,S810"," -F800,S801+F812,S813"," -F824,S823+F821,S822"," -F4268,S4269+F797,S798"
[544.17],[14.36],[627.59],[635.06],[322.04],[116.24],[1.24],[278.20],[11.53]
2.81,14.60,99.92,109.22,352.63,128.70,1.50,306.60,12.44
2.80,12.82,91.34,99.89,313.77,115.91,1.25,269.06,10.60
2.76,12.31,85.23,93.41,301.92,110.06,1.27,260.66,10.56
6.80,12.43,87.86,95.78,292.20,107.81,1.16,251.53,10.40
8.58,12.24,88.71,96.73,291.50,106.73,1.23,252.08,9.86
6.41,12.52,89.88,98.49,304.95,113.08,1.12,261.41,10.13
7.90,12.54,92.67,101.14,308.35,115.19,1.25,262.51,10.20
5.60,12.65,87.94,96.25,299.86,109.31,1.14,258.77,10.51
10.70,12.98,100.90,109.93,329.52,121.92,1.25,284.47,10.67
4.58,12.43,89.80,98.43,315.89,117.05,1.15,268.96,10.17
5.50,12.14,90.41,98.80,308.86,113.27,1.20,266.09,9.99
1361.20,10.87,1445.50,1452.80,311.54,114.29,1.23,269.65,7.88
5.18,12.81,93.28,102.36,328.32,122.99,1.22,280.64,10.43
13.08,13.33,99.97,108.84,321.96,118.83,1.26,276.07,10.64
2834.40,11.70,2924.80,2931.40,324.30,120.23,1.24,279.09,8.24
53.34,13.19,149.22,158.57,348.04,128.90,1.34,301.93,10.86
1.74,12.59,96.31,105.39,340.81,126.07,1.26,291.76,10.27
1.72,12.12,90.12,98.35,317.31,117.98,1.27,272.80,9.62
1.59,12.00,86.85,95.59,315.10,117.05,1.17,268.91,9.60
1.76,11.84,88.76,97.13,321.41,120.91,1.08,273.61,9.48
1.95,11.57,84.96,93.15,304.79,112.22,1.15,262.46,9.31
1.79,11.59,85.12,93.28,301.87,111.43,1.11,259.33,9.44
1.79,11.48,85.28,93.44,306.99,113.81,1.21,261.87,9.20
1.74,12.09,88.63,97.40,318.10,118.13,1.23,273.23,9.58
3.00,11.77,84.30,92.22,292.85,107.38,1.06,252.75,9.59
2.21,11.48,85.10,93.31,301.12,112.53,1.15,256.92,9.50
2.35,11.67,85.42,93.57,299.68,111.82,1.16,256.34,9.24
1.82,11.28,80.82,88.79,287.81,105.59,1.12,247.81,9.13
2.84,11.47,83.29,91.05,287.71,106.08,1.16,247.86,9.49
1.70,11.46,83.72,91.74,299.23,109.40,1.16,257.06,9.41
1.92,11.78,89.99,98.25,310.37,115.30,1.22,266.42,9.61
1.94,13.50,99.10,108.37,351.65,128.82,1.44,305.57,11.40
4.23,14.86,101.19,110.04,353.60,129.55,1.53,308.17,12.65
3.95,13.06,91.45,99.49,311.44,115.79,1.11,267.91,10.68
4.09,12.51,85.42,93.20,301.46,110.29,1.15,259.64,10.52
3.93,12.58,83.03,90.78,287.58,105.70,1.11,248.73,10.33
3.44,12.45,82.20,89.88,288.37,105.72,1.13,248.66,10.16
3.85,12.55,85.79,93.60,299.90,111.58,1.18,257.03,10.48
3.85,13.02,86.40,94.47,299.85,112.11,1.07,256.12,10.41
3.61,13.20,84.35,92.16,293.43,108.09,1.18,252.15,10.57
3.71,13.40,89.59,97.93,316.90,118.25,1.18,271.12,10.76
3.23,12.56,86.48,94.34,307.05,114.26,1.14,262.21,10.41
3.71,30.70,86.27,94.24,302.09,111.15,1.09,259.29,10.47
3.08,12.91,85.18,93.20,304.71,112.23,1.19,262.20,10.33
2.08,12.64,88.95,98.25,321.10,121.08,1.21,273.21,322.44
3.52,12.98,87.97,96.60,314.67,117.08,1.20,267.70,10.17
3.89,58.64,89.59,99.04,316.33,117.07,1.22,271.90,10.21
4.01,13.65,96.81,105.55,337.77,124.84,1.30,289.15,12.13
11.44,13.84,104.20,112.88,339.41,125.04,1.26,289.81,11.25
8.83,13.44,96.39,104.91,319.24,117.68,1.18,273.66,10.82
3.65,13.03,88.15,96.33,316.77,116.93,1.17,269.82,10.04
5.08,12.87,92.08,100.45,326.48,122.52,1.18,277.53,10.18
3.47,12.80,86.48,94.34,309.38,113.70,1.10,264.99,10.01
3.57,12.90,86.74,94.74,305.57,112.38,1.11,261.68,10.24
3.71,12.87,87.49,95.70,310.30,114.68,1.12,264.19,10.34
3.67,13.23,90.54,98.91,317.94,118.78,1.15,272.46,11.00
3.47,12.98,85.52,92.99,297.75,109.52,1.17,255.71,10.71
3.55,12.85,87.20,95.01,304.18,113.49,1.16,259.51,10.46
3.45,12.78,86.27,94.39,303.72,112.53,1.16,261.09,10.38
4.03,12.62,83.29,91.02,291.47,106.67,1.10,250.94,10.31
2.77,12.69,83.53,91.13,291.36,107.36,0.99,249.96,10.07
3.63,12.92,85.79,93.68,303.64,110.78,1.18,261.48,10.49
3.63,13.49,92.59,100.82,315.64,117.14,1.14,270.53,10.93
3.36,15.24,101.12,109.99,356.15,130.17,1.38,311.33,12.73
4.47,15.68,104.54,113.68,367.20,133.89,1.46,318.68,13.00
9.56,13.33,100.80,109.46,324.87,119.98,1.26,277.27,10.54
175.18,13.07,259.93,268.33,316.14,115.58,1.16,270.82,10.87
375.71,13.16,459.18,467.23,302.26,111.81,1.14,258.73,10.88
34.58,13.38,117.16,125.29,302.91,111.08,1.14,260.41,10.50
6333.60,11.93,6373.90,6366.50,316.14,117.52,1.16,269.91,8.05
4.33,13.30,90.94,98.99,316.61,118.11,1.05,268.54,10.51
4.51,13.34,88.05,96.20,306.66,112.45,1.08,263.65,10.57
3.97,13.81,94.98,103.59,333.63,125.49,1.24,282.78,11.22
4.89,13.22,91.21,99.63,320.59,118.87,1.15,271.70,10.77
5.01,13.14,91.45,99.81,315.05,115.92,1.11,269.75,10.46
3.92,13.12,89.67,97.95,318.09,117.47,1.17,272.81,10.42
6.40,13.27,95.70,104.73,338.00,127.20,1.12,286.99,10.48
4.74,14.00,91.69,100.66,326.98,120.30,1.18,279.57,10.56
8.03,13.72,97.56,106.29,327.83,120.83,1.20,281.13,11.08
7.61,14.17,102.42,111.37,346.72,128.17,1.29,295.87,11.25
2.65,14.85,101.70,110.76,363.75,134.22,1.30,312.09,12.05
12.81,14.83,106.67,115.70,345.97,127.45,1.34,297.85,11.64
2.69,15.00,95.19,104.09,347.76,128.33,1.19,295.36,11.60
2.73,29.79,98.54,107.49,357.76,134.48,1.18,303.92,11.58
2.76,13.78,94.71,103.37,340.12,125.41,1.23,291.10,11.13
2.83,14.07,95.06,103.88,336.29,124.16,1.23,286.64,11.10
3.47,14.04,95.80,104.81,343.58,127.81,1.17,290.51,11.56
2.75,14.88,101.62,110.86,360.31,135.73,1.25,305.01,11.71
3.84,22.33,95.22,103.82,331.75,122.55,1.17,282.70,11.73
2.95,14.13,95.78,104.46,340.10,128.02,1.23,286.94,11.32
2.89,14.07,95.14,104.38,339.39,126.67,1.22,288.44,11.24
2.83,13.86,90.89,99.20,323.03,118.63,1.19,276.46,11.19
4.86,13.88,94.79,103.51,323.59,120.10,1.16,275.96,11.40
8.57,14.02,99.76,108.37,340.18,124.91,1.22,290.53,11.56
4.65,14.42,100.61,109.88,345.07,128.03,1.25,293.71,11.59
3.17,16.22,107.60,117.24,385.57,141.53,1.54,334.39,13.54
1.80,17.28,123.53,134.21,433.10,161.32,1.62,368.33,13.62
1.27,16.44,118.78,128.82,407.45,153.51,1.43,340.25,12.60
2.68,15.90,114.66,124.92,409.15,151.19,1.46,341.66,12.75
1.72,16.05,112.35,122.52,388.43,145.11,1.34,325.65,12.65
2.52,15.25,107.57,116.79,374.20,138.50,1.36,318.23,11.79
1.90,16.59,115.96,126.43,404.82,152.49,1.42,337.72,12.68
