" -F4188,S4189+F430,S431"," -F4188,S4189+F432,S433"," -F4188,S4189+F442,S443"," -F4188,S4189+F445,S446"," -F440,S439+F452,S453"," -F440,S439+F448,S447"," -F437,S438+F449,S450"," -F461,S460+F458,S459"," -F4191,S4192+F434,S435"
[256.25],[13.92],[340.53],[348.72],[322.58],[116.45],[1.28],[279.60],[11.05]
5.36,15.07,111.72,122.04,405.59,144.09,1.59,337.19,12.49
2.31,1202.20,100.24,110.54,356.52,131.71,1.46,308.78,11.12
4.91,14.06,100.41,109.79,351.65,130.07,1.45,302.36,11.57
7.14,13.43,100.01,108.93,346.51,125.62,1.35,293.34,11.10
5.01,13.51,99.15,108.08,339.46,126.39,1.43,290.75,11.14
4.56,13.32,93.70,102.12,332.00,120.49,1.39,290.11,11.06
4.57,14.03,95.78,104.73,339.42,125.03,1.39,291.40,10.83
4.75,13.98,99.16,108.45,352.64,131.12,1.36,305.49,11.56
5.13,13.93,95.71,104.11,333.68,120.84,1.38,293.73,11.55
4.77,13.56,92.49,101.05,325.32,119.06,1.34,280.52,11.01
4.45,13.20,91.64,100.00,321.85,117.78,1.38,278.53,11.04
4.27,13.60,91.93,99.97,317.09,115.45,1.33,275.30,11.32
4.76,13.70,90.59,98.76,313.62,114.00,1.34,274.74,11.25
4.87,13.44,95.25,103.89,326.00,121.83,1.34,281.15,11.33
4.81,13.36,97.18,105.82,335.15,123.89,1.44,287.59,11.09
4.30,14.81,97.19,105.30,336.11,122.42,1.49,293.20,11.96
2.86,13.06,91.92,99.99,321.40,117.56,1.36,279.09,10.77
2.60,12.30,91.46,99.85,319.29,118.42,1.36,272.44,10.12
2.60,11.63,88.91,97.06,308.16,115.63,1.20,264.22,9.80
2.66,11.73,84.38,92.06,295.42,108.01,1.27,257.67,9.63
2.70,11.63,85.41,93.30,300.00,109.73,1.25,258.97,9.60
2.56,12.01,85.57,93.59,302.59,111.43,1.25,260.82,9.86
2.56,12.22,86.01,93.94,306.27,112.52,1.24,263.43,9.93
1.32,12.18,87.92,95.42,312.95,113.24,1.32,274.84,10.08
2.60,12.23,91.94,100.35,332.89,124.82,1.29,283.31,10.02
1.88,11.58,89.99,98.23,320.53,118.43,1.27,272.69,9.64
1.45,12.23,87.08,95.07,311.95,114.05,1.27,270.75,9.88
2.51,12.05,92.01,100.28,320.29,120.18,1.31,272.00,9.84
2.36,12.00,89.79,97.86,318.79,118.68,1.30,272.47,9.87
2.62,12.42,92.78,101.16,328.27,122.09,1.27,280.28,9.77
2.70,12.70,94.66,103.33,339.38,126.88,1.34,289.61,10.34
2.54,13.68,106.18,115.72,378.03,139.67,1.45,320.55,11.06
4.70,23.68,105.27,114.63,368.62,136.19,1.47,313.04,11.94
3.65,52.46,92.09,101.60,329.35,122.89,1.52,280.28,10.20
4.35,18.67,91.46,99.60,318.41,118.93,1.27,269.93,12.96
2.54,4394.20,87.67,96.68,308.90,114.81,1.23,262.13,17.89
