" -F4237,S4238+F661,S662"," -F4237,S4238+F663,S664"," -F4237,S4238+F673,S674"," -F4237,S4238+F676,S677"," -F671,S670+F683,S684"," -F671,S670+F679,S678"," -F668,S669+F680,S681"," -F692,S691+F689,S690"," -F4240,S4241+F665,S666"
[218.18],[14.59],[303.23],[311.66],[321.26],[115.93],[1.26],[278.11],[11.59]
4.88,14.22,99.93,108.07,339.70,124.66,1.37,294.43,11.87
3.46,12.73,92.74,100.39,318.54,118.57,1.26,271.96,10.71
5.67,12.45,90.41,97.63,296.88,110.39,1.32,254.48,10.57
5.81,12.72,87.44,94.70,293.88,108.01,1.29,254.14,10.81
4.99,12.36,84.65,91.98,289.51,106.24,1.24,249.25,10.30
3.09,12.36,86.79,94.33,304.32,111.89,1.24,262.14,10.60
7.18,12.48,92.09,99.71,310.15,115.36,1.23,264.87,10.36
5.19,12.85,88.03,95.25,303.18,110.13,1.28,263.01,11.18
6.35,13.20,95.11,103.49,329.38,121.70,1.32,283.03,11.09
4.94,12.32,93.87,101.92,313.85,117.05,1.31,266.85,10.32
5.85,12.48,90.47,98.37,311.98,115.03,1.26,270.01,10.51
5.97,12.39,91.68,99.16,310.57,114.23,1.33,267.99,10.32
3127.80,10.66,3209.10,3212.50,322.81,119.12,1.25,278.35,7.19
6668.40,10.65,6766.40,6768.80,320.83,118.25,1.29,275.03,7.09
25.87,13.03,116.67,124.77,328.60,121.87,1.40,287.93,10.94
10.73,13.80,108.04,116.90,354.03,131.65,1.43,302.31,11.30
2.44,12.93,98.89,107.52,347.16,129.29,1.36,297.02,10.62
2.51,11.90,91.85,100.03,322.22,119.88,1.23,276.25,9.98
2.33,11.93,87.76,95.54,313.15,116.07,1.23,267.47,9.77
4.87,12.01,90.19,97.98,317.26,117.95,1.16,272.22,9.83
2.41,11.73,86.75,94.02,303.63,112.12,1.23,260.37,9.62
2.48,11.78,85.73,93.09,305.01,112.70,1.21,263.97,9.63
2.53,11.54,88.95,96.79,305.99,114.51,1.14,260.18,9.19
2.66,12.01,88.95,96.86,318.35,118.25,1.30,272.32,9.62
2.52,12.02,83.72,90.84,295.54,108.00,1.25,255.49,9.96
3.00,11.63,85.69,93.00,302.07,112.91,1.23,257.46,8.99
3.24,11.70,85.98,93.14,298.87,110.44,1.20,256.60,9.49
3.94,11.32,82.96,89.71,285.79,105.19,1.21,244.86,9.40
2.99,11.79,83.33,90.61,290.43,107.13,1.18,250.38,9.60
2.70,11.45,86.55,93.94,294.12,109.65,1.12,250.26,9.44
3.56,11.98,91.97,99.77,314.11,117.32,1.23,268.29,9.72
2.89,13.06,97.36,105.39,336.94,123.72,1.46,291.91,11.06
4.82,14.63,99.41,107.50,340.05,125.31,1.47,295.40,12.21
4.32,13.23,92.89,100.17,315.78,118.04,1.22,270.97,10.93
4.82,12.60,87.87,94.74,296.48,110.60,1.24,253.17,10.50
4.62,12.58,84.55,91.66,292.08,107.08,1.24,251.44,10.78
4.73,12.56,82.57,89.16,286.58,105.44,1.13,246.65,10.51
4.54,12.44,85.67,93.06,299.19,110.18,1.17,257.84,10.69
4.57,16.01,86.98,94.38,301.24,112.67,1.20,257.01,10.71
4.47,13.20,84.87,91.86,294.76,107.98,1.23,255.23,10.86
4.57,13.07,89.71,97.46,316.18,117.78,1.26,270.89,10.86
4.70,12.72,90.08,97.76,305.53,114.11,1.14,259.02,10.47
4.36,13.03,86.75,94.11,305.98,113.44,1.17,263.81,10.84
4.50,12.69,87.18,94.26,304.02,111.92,1.21,259.55,10.50
3.56,12.58,88.76,96.94,318.49,118.63,1.26,271.51,10.44
0.59,5787.60,87.30,96.36,313.46,116.14,1.23,266.18,9.95
0.77,62.92,90.52,99.65,320.74,119.00,1.30,274.91,9.46
4.31,14.17,99.84,108.11,344.24,127.31,1.38,294.72,11.53
5.12,14.41,100.15,108.67,346.72,128.59,1.34,295.03,11.19
4.70,13.36,93.02,100.94,322.56,119.55,1.31,276.03,10.86
4.34,12.89,89.33,96.62,315.07,116.84,1.20,267.90,10.79
4.86,12.99,89.60,97.22,321.45,119.05,1.17,274.74,10.63
4.40,12.78,88.15,95.38,307.82,113.07,1.18,263.70,10.55
4.62,13.05,88.10,95.59,309.02,113.93,1.23,266.11,10.75
4.21,13.04,91.25,98.96,310.20,115.67,1.20,263.08,10.55
4.58,13.19,91.18,98.64,320.33,119.31,1.19,273.55,10.94
4.35,13.23,86.52,93.58,299.98,110.37,1.18,257.91,10.85
4.46,12.99,88.39,95.38,306.04,114.37,1.17,260.43,10.56
4.32,13.10,87.08,94.30,302.50,111.63,1.15,260.71,10.82
4.45,12.92,83.38,90.32,290.19,106.37,1.17,249.47,10.73
4.29,12.39,85.42,92.46,294.28,108.06,1.18,253.18,10.41
4.46,12.90,88.00,95.25,298.85,111.10,1.15,254.59,10.41
3.83,13.23,94.09,101.68,320.22,119.75,1.31,272.57,11.14
4.51,15.00,99.20,107.18,341.68,125.34,1.48,297.16,12.70
5.79,15.01,103.35,111.62,351.94,129.08,1.50,304.42,12.24
2.81,13.20,100.76,108.59,330.94,123.76,1.24,281.18,9.74
5.28,13.42,92.72,100.03,310.63,115.90,1.23,262.99,10.93
5.11,13.65,89.79,97.12,305.68,112.57,1.19,263.03,10.86
5.82,13.34,88.11,94.98,301.02,110.75,1.19,258.17,10.79
49.00,13.27,134.35,142.29,313.91,116.61,1.16,268.75,10.80
5.30,13.29,92.02,99.80,316.37,118.17,1.16,267.47,11.02
4.50,13.50,89.77,,309.59,113.41,1.18,266.77,11.32
5.75,13.86,96.02,103.73,332.75,124.40,1.24,282.96,11.42
4.72,13.26,94.57,102.53,319.31,119.10,1.28,270.29,11.23
4.74,13.16,91.08,98.83,319.85,118.27,1.26,274.04,10.71
4.96,13.26,90.84,98.71,316.79,116.38,1.19,271.31,10.69
5.51,13.62,93.37,101.14,332.33,123.00,1.21,284.08,10.89
5.86,14.00,93.02,100.47,324.62,119.48,1.25,276.00,11.15
4.88,13.81,94.98,102.89,332.02,122.74,1.30,281.93,11.24
301.23,16.48,398.63,407.29,352.73,130.58,1.34,299.91,11.59
0.01,3821.20,103.00,113.38,369.10,137.08,1.44,313.82,11.41
3.35,14.80,98.49,106.62,349.14,129.04,1.37,297.94,11.93
3.14,14.55,96.75,104.77,346.43,127.22,1.19,294.75,12.02
39.37,14.45,132.30,140.68,352.35,130.20,1.34,301.47,11.72
6.54,14.02,97.92,106.15,338.51,124.47,1.27,289.39,11.40
3.59,14.02,95.98,103.79,342.64,127.32,1.32,292.22,11.45
3.32,14.51,99.25,107.70,341.44,127.75,1.21,287.73,11.26
4.96,15.01,102.58,110.82,360.64,135.46,1.28,304.31,12.06
3.83,14.77,94.74,102.53,335.56,123.57,1.28,286.93,11.92
4.86,14.31,98.03,105.98,340.67,128.00,1.21,287.44,11.43
3.44,13.85,95.63,103.55,336.37,125.51,1.24,287.11,11.28
4.14,13.98,92.54,100.08,322.52,118.28,1.28,275.12,11.07
3.57,13.98,93.22,100.98,327.54,121.06,1.26,279.92,11.48
5.16,14.32,98.65,106.58,333.27,124.63,1.22,280.99,11.64
5.80,14.60,105.30,113.61,352.68,132.30,1.36,296.86,11.96
4.55,15.92,106.86,115.71,371.56,137.20,1.44,319.80,13.14
2.74,17.27,122.77,132.27,424.69,159.10,1.57,358.48,13.55
2.59,16.43,121.92,131.81,416.02,157.15,1.49,346.24,12.91
2.36,16.06,116.22,125.70,396.67,149.09,1.51,330.90,12.51
2.66,16.48,113.61,123.05,391.32,146.60,1.54,328.46,12.63
2.70,15.43,108.93,117.61,376.26,139.55,1.52,317.91,12.20
2.60,16.52,115.14,124.50,402.64,151.06,1.51,339.50,12.71
2.83,16.20,117.51,126.56,405.70,154.16,1.51,336.35,12.61
2.11,16.61,111.58,121.77,394.76,146.24,1.52,334.12,12.72
2.56,16.51,120.26,130.20,427.87,161.44,1.59,357.20,12.90
2.55,15.87,118.71,128.21,402.54,151.92,1.49,336.03,12.53
2.73,15.90,115.24,124.46,401.95,149.96,1.58,337.67,12.67
2.83,15.63,115.51,124.82,403.65,149.80,1.57,338.70,12.22
2.47,15.71,112.53,121.17,409.75,148.23,1.56,344.16,12.32
2.55,16.00,115.58,124.42,410.98,151.80,1.53,344.24,12.61
2.31,15.79,117.67,126.92,484.15,152.37,1.52,346.29,12.38
2.37,16.42,120.14,129.81,421.79,155.75,1.62,356.49,13.01
