" -F4251,S4252+F727,S728"," -F4251,S4252+F729,S730"," -F4251,S4252+F739,S740"," -F4251,S4252+F742,S743"," -F737,S736+F749,S750"," -F737,S736+F745,S744"," -F734,S735+F746,S747"," -F758,S757+F755,S756"," -F4254,S4255+F731,S732"
[202.09],[14.27],[337.45],[345.71],[323.31],[116.58],[1.30],[281.64],[11.44]
2.63,14.61,111.34,121.34,385.94,141.58,1.63,336.69,11.30
4618.40,12.69,4716.10,4717.80,364.41,133.58,1.63,318.53,8.91
5287.00,12.98,5386.00,5390.60,359.18,131.61,1.47,313.34,9.29
192.13,14.52,291.99,301.43,365.01,134.15,1.51,319.07,10.97
905.02,12.56,1003.10,1009.90,346.82,126.41,1.38,304.59,8.82
3.21,13.88,101.32,110.53,350.85,128.76,1.52,308.54,10.70
1075.60,12.02,1173.90,1180.80,351.80,129.98,1.42,304.56,8.07
6144.30,13.26,6268.60,6284.90,372.00,136.93,1.52,324.87,9.72
5.97,14.25,102.30,110.97,340.78,123.71,1.47,301.26,11.29
3.16,13.74,100.36,109.52,345.53,127.51,1.32,301.16,10.54
4.80,13.82,100.60,109.99,340.80,124.35,1.43,297.87,10.82
0.23,13.81,91.94,100.57,321.12,116.85,1.40,283.06,10.56
1.85,13.96,95.63,104.22,326.84,119.18,1.35,288.03,10.81
0.62,13.89,96.92,105.70,329.20,121.28,1.41,288.23,11.02
0.58,13.66,100.84,109.92,347.62,128.63,1.52,301.60,10.74
0.46,15.40,104.91,114.05,365.34,133.53,1.62,320.46,11.90
5.40,14.90,101.21,109.77,343.74,126.22,1.51,299.02,12.25
4.51,13.43,95.27,103.47,324.41,120.61,1.32,278.78,10.90
4.87,12.86,91.01,98.59,303.66,112.53,1.34,261.69,10.84
4.46,13.07,86.80,94.95,301.13,110.71,1.33,261.11,10.46
4.50,12.90,86.31,93.97,296.37,108.57,1.22,257.76,10.70
4.24,13.46,89.64,97.80,312.76,115.11,1.29,269.23,11.05
4.22,13.32,90.95,99.11,317.19,117.79,1.20,271.49,10.66
4.11,13.60,88.76,96.59,311.47,113.40,1.41,271.29,11.00
4.14,13.41,95.45,104.18,338.39,125.64,1.32,290.69,11.02
3.77,12.71,94.93,103.74,322.98,120.48,1.28,275.22,10.59
4.15,13.42,91.40,99.57,320.95,118.30,1.30,279.39,14.12
2.92,183.13,91.36,100.82,319.45,117.36,1.35,275.75,10.12
3.99,13.11,92.54,101.00,331.56,122.69,1.33,285.31,12.20
4.28,12.98,91.07,100.93,327.45,120.41,1.35,281.36,36.50
4.90,13.46,97.07,105.79,334.99,123.72,1.33,288.47,11.02
2.33,236.29,101.96,112.38,360.20,133.36,1.36,309.67,21.73
3.85,14.01,100.76,109.55,349.25,129.26,1.37,298.12,11.27
6.30,13.00,95.71,103.86,324.56,120.84,1.25,277.90,10.57
