" -F4195,S4196+F463,S464"," -F4195,S4196+F465,S466"," -F4195,S4196+F475,S476"," -F4195,S4196+F478,S479"," -F473,S472+F485,S486"," -F473,S472+F481,S480"," -F470,S471+F482,S483"," -F494,S493+F491,S492"," -F4198,S4199+F467,S468"
[264.59],[14.77],[349.79],[358.16],[324.39],[117.08],[1.28],[281.59],[12.87]
5.87,15.57,118.75,129.16,404.19,147.73,1.66,349.60,12.30
9.55,14.95,112.66,122.24,375.93,136.68,1.57,322.44,11.57
2303.30,14.20,2402.80,2410.70,365.43,134.64,1.45,316.76,9.17
1.31,14.11,101.06,110.04,352.92,129.82,1.55,308.35,11.38
2.13,13.80,103.65,113.03,354.71,131.85,1.49,307.31,11.22
1.56,13.87,97.99,107.00,345.26,125.32,1.33,304.38,11.23
87.98,13.61,186.19,195.40,354.12,130.30,1.41,306.66,10.98
16.18,14.37,117.91,127.33,368.07,136.98,1.38,321.27,11.45
5.28,14.76,102.53,111.38,346.88,125.05,1.48,309.28,11.54
0.54,14.01,94.89,103.77,337.03,123.10,1.44,296.38,11.49
1.98,13.97,96.04,104.74,335.49,122.42,1.40,294.36,11.28
1.91,13.66,96.28,105.18,330.17,120.05,1.41,289.85,10.94
2.91,13.82,94.86,103.31,325.52,117.76,1.44,288.70,11.08
1.49,13.81,98.76,107.67,337.85,126.25,1.43,295.87,11.36
0.35,13.85,99.63,108.67,346.38,127.77,1.46,300.58,11.33
0.54,14.75,99.43,108.05,348.92,127.04,1.53,305.86,11.84
7.51,14.31,96.36,104.58,324.40,118.28,1.41,283.48,11.68
4.74,13.33,93.62,101.77,322.75,119.76,1.40,276.10,11.24
4.56,13.18,91.18,99.52,310.94,116.65,1.31,268.38,10.92
4.78,12.82,86.71,94.53,300.06,109.55,1.22,261.73,10.92
5.06,12.68,88.36,96.72,302.38,110.62,1.25,262.14,10.88
4.30,13.24,87.70,95.35,306.89,112.71,1.39,265.06,11.05
4.12,13.20,87.96,95.70,308.72,113.44,1.29,266.67,11.23
4.51,13.45,89.76,98.89,318.55,115.50,1.37,279.74,42.96
1.51,79.27,93.36,103.05,335.98,125.80,1.22,288.46,10.30
4.66,13.06,91.48,100.03,323.52,119.48,1.32,277.23,10.73
4.35,13.72,90.00,97.76,315.94,115.62,1.30,274.51,11.12
4.90,13.02,94.90,103.42,324.37,121.24,1.31,276.73,10.64
2.03,31.92,91.34,101.09,322.75,119.58,1.29,276.92,10769.00
5.48,13.64,96.35,104.89,333.20,123.80,1.35,285.21,11.06
4.48,327.04,95.81,106.15,342.47,127.43,1.38,293.30,142.65
4.48,14.86,107.92,117.36,380.21,139.85,1.58,323.45,26.75
4.27,14.49,106.07,115.50,369.71,135.85,1.45,315.65,11.63
4.33,13.24,93.85,102.09,329.37,122.42,1.32,281.18,10.77
