" -F4118,S4119+F100,S101"," -F4118,S4119+F102,S103"," -F4118,S4119+F112,S113"," -F4118,S4119+F115,S116"," -F110,S109+F122,S123"," -F110,S109+F118,S117"," -F107,S108+F119,S120"," -F131,S130+F128,S129"," -F4121,S4122+F104,S105"
[478.59],[14.65],[564.18],[572.23],[328.30],[118.04],[1.27],[287.36],[12.42]
4.24,16.82,125.66,136.87,440.03,158.35,1.80,393.03,13.35
2.19,14.85,110.97,121.22,399.43,144.17,1.60,356.63,12.08
3.88,14.63,107.70,118.27,392.22,144.06,1.51,348.24,11.65
8.25,14.01,112.19,122.39,390.18,143.43,1.40,344.67,11.56
1.98,14.11,108.92,119.42,392.50,144.46,1.53,346.56,11.45
4.13,14.08,103.03,112.22,369.76,133.83,1.44,328.79,11.31
4.07,13.91,102.66,112.09,369.70,134.39,1.48,328.39,11.38
5.25,13.80,104.89,114.61,375.96,137.22,1.48,334.49,11.47
4.16,15.21,111.87,121.78,382.38,139.66,1.58,337.45,12.36
3.80,14.34,100.88,109.69,360.54,130.07,1.48,323.94,11.67
3.92,13.74,103.19,112.72,365.91,134.34,1.46,323.49,11.57
2.56,14.23,101.78,110.81,358.62,130.76,1.57,319.17,11.30
4.16,13.54,97.79,106.19,348.89,124.69,1.46,315.88,11.58
0.01,14.02,99.28,108.31,356.60,129.60,1.47,318.71,11.31
3.93,14.05,101.33,110.70,363.13,131.94,1.50,323.37,11.17
3.79,14.19,104.17,113.33,367.40,133.46,1.58,330.04,11.91
5.48,13.97,95.40,103.48,328.41,120.37,1.32,285.26,11.66
5.89,13.78,92.72,100.77,322.48,119.11,1.24,277.81,11.19
5.42,13.32,90.30,98.09,311.91,115.09,1.20,270.21,11.10
5.45,12.99,88.39,96.04,306.00,111.31,1.22,268.09,10.96
5.25,13.56,91.07,98.78,311.78,115.39,1.21,269.67,11.33
3.32,110.52,90.14,99.87,319.13,119.27,1.29,273.79,9.84
5.34,13.37,90.94,99.12,314.76,115.81,1.23,273.43,11.10
5.81,14.28,99.47,108.05,336.10,122.98,1.35,290.91,11.80
5.26,13.44,92.46,100.85,327.41,120.35,1.14,281.71,11.18
5.46,13.32,91.92,100.29,322.81,118.81,1.19,278.24,11.09
2.03,215.68,88.84,98.54,323.52,118.78,1.19,279.23,10.06
1.72,345.04,95.75,106.67,341.49,127.03,1.22,292.03,10.44
3.39,5277.10,94.32,104.86,339.21,125.84,1.34,290.58,10.41
5.24,13.54,97.74,106.75,350.84,128.24,1.31,296.28,11.14
4.98,18.13,101.19,110.23,354.64,129.78,1.30,305.67,11.64
2.57,3716.80,119.12,131.21,,,1.54,354.70,13.09
6.37,16.52,119.87,130.25,401.64,147.40,1.54,344.99,13.11
5.48,13.60,96.49,105.05,337.23,123.59,1.28,289.34,11.04
5.37,13.07,93.54,102.18,327.37,121.97,1.25,279.05,11.00
5.62,12.61,92.03,100.27,325.31,119.40,1.20,273.94,10.55
5.92,12.67,93.78,102.07,324.71,121.24,1.11,276.02,10.31
5.61,12.79,86.61,94.55,307.12,112.83,1.14,262.84,10.06
5.16,12.33,87.38,95.24,304.87,112.00,1.13,261.79,10.22
5.05,12.71,87.57,95.14,309.15,113.19,1.20,264.92,10.34
5.57,13.28,92.38,100.77,311.44,113.71,1.29,268.14,11.00
5.30,12.64,85.79,93.47,297.47,109.17,1.08,256.47,10.55
4.36,12.27,86.13,93.76,301.68,112.75,1.08,257.60,10.33
5.32,12.54,86.37,93.92,295.66,109.33,1.19,254.22,10.43
3.09,11.80,83.69,91.42,292.22,106.52,1.19,253.21,9.81
5.22,12.83,86.00,93.36,297.40,109.62,1.05,255.34,10.70
5.28,12.55,88.26,96.12,308.16,114.00,1.17,262.81,10.49
5.13,12.95,92.24,100.00,317.37,117.22,1.15,273.47,11.02
5.66,12.54,92.00,99.60,315.38,116.43,1.17,269.99,10.96
4.39,12.83,87.20,94.74,306.57,114.03,1.08,260.52,10.56
6.50,12.41,86.27,93.60,295.89,109.66,1.13,253.07,10.49
10.31,12.21,87.89,95.17,289.16,105.85,1.16,249.88,10.44
6.80,12.30,87.25,94.61,293.73,108.99,1.18,250.50,10.35
6.29,12.19,87.65,94.98,298.95,111.97,1.13,252.69,10.30
7.11,12.48,86.51,94.21,293.32,107.88,1.10,253.04,10.39
5236.40,10.89,5317.70,5320.60,298.36,108.53,1.29,256.59,6.57
6.18,12.51,87.75,95.46,304.08,112.31,1.12,258.86,10.25
9.78,12.14,90.68,98.43,301.18,111.44,1.09,257.26,10.13
6709.10,9.54,6780.60,6781.40,303.50,111.90,1.19,258.79,5.80
6054.10,10.21,6132.70,6133.00,319.82,120.04,1.17,271.56,6.50
4397.00,9.68,4479.50,4486.30,316.96,117.68,1.24,270.04,6.04
10.06,12.90,97.90,106.29,323.46,121.51,1.19,274.68,10.69
11.76,13.52,102.23,110.84,334.38,123.23,1.26,285.60,11.07
6.96,16.26,120.67,130.97,398.83,147.48,1.62,341.89,13.10
3.67,15.82,117.74,127.86,400.15,148.01,1.47,343.16,12.64
3.69,12.92,94.61,102.58,333.33,122.96,1.23,285.33,10.51
3.33,12.25,90.22,98.46,323.79,121.10,1.11,276.15,9.83
1.84,12.08,88.95,96.68,316.56,118.55,1.03,269.58,9.59
3.53,12.21,90.25,98.03,321.34,120.44,1.15,272.59,9.88
3.63,12.03,84.57,91.98,304.54,112.74,1.15,260.25,9.75
3.59,11.38,85.02,92.43,301.69,111.58,1.12,258.01,9.42
3.59,11.90,85.26,92.83,304.83,112.88,1.08,259.34,9.53
3.53,13.35,87.59,95.14,301.24,110.94,1.20,258.19,10.67
