" -F4132,S4133+F166,S167"," -F4132,S4133+F168,S169"," -F4132,S4133+F178,S179"," -F4132,S4133+F181,S182"," -F176,S175+F188,S189"," -F176,S175+F184,S183"," -F173,S174+F185,S186"," -F197,S196+F194,S195"," -F4135,S4136+F170,S171"
[537.58],[13.76],[622.48],[630.85],[322.79],[116.37],[1.27],[280.01],[11.08]
5.32,16.06,115.91,126.54,402.40,146.22,1.60,349.43,12.79
4.73,14.35,102.87,112.62,363.70,133.32,1.45,314.85,11.54
6.32,14.07,101.25,110.86,378.25,130.81,1.38,307.40,11.82
4.69,13.67,98.78,108.26,348.80,130.08,1.29,300.16,11.53
5.13,13.28,100.27,109.85,362.92,131.54,1.37,301.74,10.84
4.61,13.25,93.68,102.63,334.29,120.78,1.34,287.83,11.05
4.53,13.22,93.94,103.11,335.37,122.99,1.32,285.65,10.94
4.64,13.71,95.54,104.46,337.60,124.26,1.33,293.34,11.34
4.68,14.50,96.39,105.63,339.92,122.40,1.38,295.77,11.77
4.55,13.37,92.64,101.27,323.04,118.45,1.35,279.55,11.10
4.64,13.34,92.85,101.49,322.08,118.53,1.35,277.85,10.95
4.37,13.67,92.32,100.66,318.96,116.05,1.32,276.71,11.01
4.45,18.76,90.70,99.07,314.73,113.88,1.31,276.14,11.35
5.06,13.42,93.54,102.47,327.34,120.57,1.36,281.97,11.35
4.61,13.69,95.46,104.52,338.28,124.17,1.26,292.53,11.40
4.81,14.40,95.27,104.01,327.05,119.77,1.32,284.17,11.71
2.73,12.79,90.01,98.03,313.32,114.85,1.30,268.95,10.43
2.76,12.01,89.43,97.79,322.83,118.59,1.20,276.29,9.91
3.99,11.88,88.44,96.89,308.92,114.05,1.20,264.19,9.77
1.72,11.80,84.04,92.16,297.44,108.22,1.14,257.88,9.66
2.81,11.75,85.74,93.76,301.80,110.33,1.15,260.05,9.69
4.33,11.70,87.86,95.59,303.37,112.32,1.18,260.24,9.62
2.64,12.04,85.52,93.81,301.51,110.63,1.28,260.26,9.84
