" -F4125,S4126+F133,S134"," -F4125,S4126+F135,S136"," -F4125,S4126+F145,S146"," -F4125,S4126+F148,S149"," -F143,S142+F155,S156"," -F143,S142+F151,S150"," -F140,S141+F152,S153"," -F164,S163+F161,S162"," -F4128,S4129+F137,S138"
[198.88],[16.16],[283.61],[291.78],[322.99],[116.49],[1.24],[279.74],[11.73]
3.87,13.13,90.45,98.02,309.19,113.57,1.27,265.72,11.31
5.92,12.85,91.92,100.04,317.79,117.68,1.19,272.49,10.77
3.79,12.83,87.83,95.53,305.38,112.96,1.10,261.69,10.79
1140.70,10.45,1222.10,1226.70,294.07,,1.26,254.07,7.82
4.11,12.55,86.19,93.70,296.72,108.21,1.18,256.95,10.63
8.23,12.27,90.76,97.98,299.37,110.71,1.08,256.96,10.39
5.24,12.64,87.56,94.81,298.25,109.47,1.18,256.68,10.74
7.04,13.45,91.34,99.15,312.70,112.12,1.19,272.49,11.16
1380.10,10.21,1465.60,1468.90,314.60,116.09,1.17,270.16,6.10
10.63,12.47,94.63,102.50,312.95,115.33,1.09,264.13,10.54
2264.40,10.69,2345.20,2349.10,307.89,113.28,1.21,266.60,7.49
6.70,12.90,95.74,104.06,326.41,122.10,1.22,278.46,10.54
677.70,10.57,763.41,769.15,322.57,121.16,1.22,275.76,7.10
3410.00,10.51,3503.70,3508.60,330.63,123.17,1.32,283.52,6.78
4750.60,10.65,4845.80,4849.80,339.51,125.93,1.23,291.20,7.41
5.87,15.70,113.77,123.81,387.80,143.21,1.55,334.09,12.68
3.06,14.72,110.61,120.21,381.66,140.73,1.43,329.97,12.09
2.80,12.52,94.39,102.65,332.78,123.24,1.26,284.61,10.34
4.88,12.26,92.54,100.60,323.12,120.37,1.23,277.81,9.99
2.93,12.15,88.52,96.71,314.94,118.47,1.11,268.72,9.91
3.01,11.87,90.29,98.30,320.64,120.31,1.21,273.03,9.79
3.89,11.53,86.34,93.61,302.28,111.44,1.12,259.97,9.65
3.79,11.47,85.94,93.55,304.73,112.88,1.12,257.02,9.61
3.14,11.65,85.97,93.58,306.24,113.24,1.08,262.92,9.57
