" -F4104,S4105+F34,S35"," -F4104,S4105+F36,S37"," -F4104,S4105+F46,S47"," -F4104,S4105+F49,S50"," -F44,S43+F56,S57"," -F44,S43+F52,S51"," -F41,S42+F53,S54"," -F65,S64+F62,S63"," -F4107,S4108+F38,S39"
[124.76],[14.20],[209.74],[218.07],[323.36],[116.50],[1.25],[280.58],[11.17]
4.23,17.22,122.83,133.57,464.09,150.64,1.65,359.23,13.22
3.78,14.29,103.61,113.18,363.94,132.34,1.41,315.23,11.56
3.57,14.00,99.56,108.97,363.05,131.31,1.37,304.19,11.46
3.69,13.38,98.85,108.07,349.13,129.53,1.29,300.49,11.11
4.33,13.64,101.23,110.27,351.43,130.09,1.38,302.04,10.89
3.54,13.31,93.63,102.18,339.95,121.93,1.29,288.25,10.68
3.29,13.26,94.76,103.27,332.00,121.44,1.24,286.08,10.66
3.54,13.53,95.07,103.72,337.05,123.40,1.37,290.79,10.86
3.83,15.02,103.50,112.85,347.42,127.12,1.40,299.97,11.80
3.95,13.46,93.50,101.85,324.09,118.31,1.36,282.34,10.72
3.95,13.32,94.84,103.29,327.90,121.76,1.36,281.13,10.55
3.81,13.35,93.89,102.18,321.69,118.48,1.36,277.84,10.74
3.55,13.38,90.85,98.51,315.38,113.64,1.35,276.35,10.83
3.30,13.48,92.38,100.47,320.72,117.74,1.21,278.14,10.40
3.81,13.43,94.63,102.85,329.42,121.17,1.31,285.01,10.82
3.45,13.86,97.94,106.17,335.30,122.62,1.33,291.26,11.33
2.88,12.48,92.47,100.66,321.85,118.05,1.28,278.22,10.32
2.72,12.14,88.29,96.06,313.24,115.77,1.11,268.96,10.10
2.54,11.92,85.88,93.76,303.18,111.74,1.10,261.00,9.93
2.70,11.83,84.36,92.11,297.68,108.56,1.14,258.32,9.83
3.92,11.78,88.28,96.14,301.93,111.70,1.23,260.16,9.68
2.72,11.79,88.48,96.13,308.49,115.27,1.09,263.45,9.78
2.59,12.16,85.90,93.82,302.26,110.66,1.21,262.71,9.92
3.64,12.63,94.40,102.61,319.72,117.10,1.24,275.64,10.26
2.54,11.96,88.57,96.38,315.68,116.50,1.22,270.74,9.98
1.33,11.42,88.40,96.27,312.77,115.41,1.15,268.64,9.55
2.56,12.14,87.43,95.20,312.41,114.90,1.24,269.51,9.72
1.34,12.16,93.05,101.50,329.11,122.71,1.16,282.51,9.94
2.51,12.19,92.00,100.24,327.57,122.23,1.22,279.61,9.84
2.41,12.33,93.03,101.60,332.98,124.16,1.20,284.69,10.00
2.54,12.81,97.14,105.72,344.19,126.69,1.30,295.84,10.32
2.62,15.62,118.66,128.83,403.58,148.27,1.52,348.70,12.61
5.02,16.74,119.47,129.69,401.92,147.95,1.63,343.23,13.13
5.03,13.66,96.04,104.44,335.03,123.17,1.20,288.48,11.16
4.83,27.53,92.20,100.28,324.43,121.76,1.21,275.89,10.50
4.37,13.59,90.41,98.23,316.28,118.27,1.19,269.30,10.52
4.23,25.58,91.15,99.43,319.67,119.70,1.07,271.91,10.51
3.42,225.28,83.88,92.71,303.72,112.05,1.17,260.40,9.95
4.74,12.43,85.73,93.18,301.77,111.38,1.13,258.95,10.70
4.33,12.55,86.95,94.50,306.22,113.28,1.18,261.53,10.46
3.93,90.07,88.29,97.48,305.43,111.42,1.15,263.22,10.11
4.81,13.09,85.11,92.54,294.43,108.36,1.24,254.19,10.69
4.36,12.62,86.50,94.18,299.65,112.16,1.15,254.86,10.53
4.93,12.62,86.13,93.64,294.37,109.30,1.09,253.01,10.52
4.88,12.56,83.19,90.60,289.75,106.00,1.12,251.48,10.52
4.52,12.56,84.97,92.45,296.16,109.64,1.12,254.14,10.55
6.20,12.95,89.84,97.07,306.49,113.87,1.17,261.65,10.75
4.94,12.92,91.64,99.24,314.64,116.06,1.18,272.31,11.12
