" -F4307,S4308+F991,S992"," -F4307,S4308+F993,S994"," -F4307,S4308+F1003,S1004"," -F4307,S4308+F1006,S1007"," -F1001,S1000+F1013,S1014"," -F1001,S1000+F1009,S1008"," -F998,S999+F1010,S1011"," -F1022,S1021+F1019,S1020"," -F4310,S4311+F995,S996"
[140.34],[15.22],[225.36],[233.83],[325.22],[117.18],[1.25],[282.85],[12.61]
6.16,14.77,111.55,120.94,378.17,137.64,1.45,331.39,11.51
3.59,14.79,104.26,113.88,365.75,134.35,1.55,320.72,11.33
4.97,14.42,104.88,114.28,363.16,134.16,1.43,315.68,11.01
6025.30,12.96,6111.50,6108.30,373.56,139.08,1.41,324.89,9.43
5644.50,12.41,5735.00,5732.90,342.03,124.92,1.42,299.07,9.07
2.56,13.75,98.46,107.30,347.41,127.21,1.45,303.21,10.85
1056.00,12.62,1154.70,1161.10,348.96,128.50,1.48,304.67,9.27
20.99,15.10,126.44,136.23,386.59,140.55,1.64,342.87,12.18
3.02,14.42,96.95,105.34,338.48,122.67,1.35,298.99,11.43
1.77,13.94,97.62,106.73,343.04,127.67,1.32,298.26,11.02
6.07,14.12,101.60,110.45,338.61,125.02,1.36,294.91,11.00
2.15,13.38,93.66,101.94,321.91,116.26,1.38,284.79,10.81
1.36,13.99,93.09,101.79,330.89,120.93,1.39,291.04,11.08
2.36,14.28,96.55,105.12,336.00,123.27,1.37,294.82,11.07
1.31,13.84,99.39,107.96,342.23,124.80,1.44,301.22,11.31
1.51,16.38,110.33,120.10,392.45,141.99,1.76,348.92,13.02
239.20,16.45,340.99,350.17,378.74,137.28,1.64,335.76,13.88
398.47,11.83,488.38,494.30,320.84,117.68,1.30,277.90,8.39
5.00,13.23,90.04,97.83,311.05,115.00,1.22,268.84,10.83
4.78,13.27,86.97,94.52,304.08,112.19,1.29,263.57,10.91
4.33,12.80,85.91,94.22,295.61,107.96,1.25,257.92,10.52
4.91,13.20,90.50,98.50,309.56,114.84,1.22,267.83,10.92
4.65,13.25,90.27,98.15,314.27,117.55,1.19,269.65,11.10
4.54,13.48,87.77,95.15,308.66,112.50,1.29,269.03,11.16
4.59,17.56,97.69,106.47,348.25,128.08,1.38,302.12,13.97
5.04,12.60,91.86,99.87,319.23,117.93,1.24,273.75,10.13
