" -F4181,S4182+F397,S398"," -F4181,S4182+F399,S400"," -F4181,S4182+F409,S410"," -F4181,S4182+F412,S413"," -F407,S406+F419,S420"," -F407,S406+F415,S414"," -F404,S405+F416,S417"," -F428,S427+F425,S426"," -F4184,S4185+F401,S402"
[216.12],[14.37],[301.26],[309.71],[323.05],[116.68],[1.24],[278.78],[12.73]
3.66,13.62,92.06,99.88,320.11,116.81,1.27,276.41,11.68
4.73,12.84,92.10,100.27,316.15,117.11,1.26,268.84,10.75
5.16,12.39,90.00,97.74,304.46,114.11,1.16,260.78,10.62
2.99,12.29,87.40,94.67,292.69,106.83,1.24,254.12,9.52
3.80,12.22,85.01,92.17,295.24,107.69,1.26,255.10,10.49
5.60,12.61,87.02,94.47,299.98,110.08,1.21,257.49,10.55
10.74,12.74,92.86,100.35,302.07,111.06,1.25,259.31,10.93
1614.50,10.42,1697.70,1701.20,309.87,111.82,1.24,270.85,6.67
6.67,12.63,94.73,102.88,327.45,122.65,1.18,280.38,11.05
6731.50,9.81,6790.80,6783.60,315.87,116.59,1.16,269.45,6.25
1039.50,10.08,1126.90,1131.00,308.02,112.40,1.23,266.62,7.02
241.12,12.41,329.41,337.38,315.66,117.82,1.20,268.46,10.48
128.55,12.82,215.17,223.06,316.25,117.63,1.24,270.19,11.11
5627.40,10.85,5719.00,5716.10,324.48,120.87,1.30,276.71,7.32
5903.10,10.94,5989.30,5984.60,335.10,124.90,1.27,285.92,7.24
12.74,14.07,115.58,124.55,374.68,137.96,1.40,318.50,11.96
2.82,13.33,104.61,113.35,367.18,135.96,1.34,312.37,11.14
2.74,12.18,92.66,100.97,328.01,122.67,1.23,279.59,13.11
2.81,12.07,90.45,98.07,317.35,118.44,1.22,270.02,9.75
3.45,11.61,88.11,95.70,307.99,114.61,1.06,263.97,9.89
2.93,11.45,89.05,96.80,309.29,115.70,1.18,261.58,9.68
2.92,11.86,84.62,91.85,300.11,110.39,1.18,259.78,9.73
2.70,11.44,86.03,93.55,306.99,113.72,1.13,262.57,9.65
2.88,11.71,88.67,96.48,318.59,119.29,1.09,271.56,9.86
3.89,12.05,85.69,92.70,300.10,108.82,1.26,262.56,10.04
3.06,11.81,83.30,90.36,293.53,107.58,1.10,252.24,9.89
2.80,11.43,83.14,90.45,294.46,108.43,1.17,252.90,9.61
3.92,11.33,84.13,91.24,290.14,105.91,1.13,249.86,9.66
0.50,11.30,83.40,90.21,288.57,105.55,1.09,250.28,8.27
2.85,11.43,86.75,94.18,299.59,112.43,1.06,255.74,9.65
2.82,11.95,89.87,97.43,312.84,116.60,1.17,266.27,10.22
2.67,12.70,91.03,98.56,317.62,116.47,1.34,274.53,10.62
5.26,13.96,92.53,99.80,319.86,117.08,1.32,276.91,11.73
4.74,13.08,91.50,99.07,313.70,116.72,1.20,267.46,11.27
4.86,12.81,88.14,95.14,300.59,112.68,1.10,257.00,11.04
5.10,12.84,83.58,90.64,289.71,105.41,1.17,251.39,10.62
4.86,12.26,83.93,90.65,289.89,106.10,1.13,250.59,10.59
5.03,12.73,84.50,91.72,294.50,108.70,1.14,252.73,10.88
4.36,13.06,84.49,91.61,294.84,108.75,1.11,252.36,10.89
4.40,12.96,85.34,92.69,300.27,109.40,1.20,261.73,11.11
4.86,12.80,89.45,96.94,316.26,118.62,1.17,270.46,10.81
4.10,12.64,87.43,94.93,307.02,114.00,1.18,261.93,10.73
4.03,12.79,85.51,92.92,301.05,110.26,1.22,260.10,10.84
4.46,12.86,89.95,97.11,307.87,115.68,1.15,260.16,10.63
3.72,12.55,88.59,96.18,309.03,115.11,1.18,262.48,10.40
4.86,12.90,91.03,98.49,316.93,118.17,1.07,269.46,10.69
4.51,13.29,92.98,101.10,327.60,122.70,1.18,279.08,11.03
4.31,14.90,105.38,114.71,366.02,135.59,1.38,309.74,12.28
5.00,14.86,105.76,114.95,368.99,136.06,1.38,311.11,12.16
5.04,13.62,94.05,101.85,329.96,122.88,1.26,280.56,11.26
4.94,12.93,92.50,99.96,320.08,119.02,1.20,272.20,10.67
5.06,12.62,89.63,96.63,311.09,115.76,1.16,264.52,10.62
4.49,12.44,91.61,99.28,312.54,117.45,1.09,262.46,10.42
4.87,12.83,86.40,93.75,304.15,111.09,1.10,262.12,10.59
4.45,12.79,88.19,95.49,312.15,115.34,1.15,265.59,10.50
4.58,13.04,90.91,98.64,320.24,120.04,1.14,273.12,11.17
4.60,13.33,87.23,94.07,304.83,111.57,1.13,264.91,11.22
4.52,13.02,85.97,93.34,298.55,109.84,1.17,255.60,10.73
4.92,13.03,85.50,92.74,297.66,109.69,1.16,255.25,10.89
4.42,12.71,85.07,91.81,293.78,107.04,1.10,253.60,10.85
4.40,12.88,84.10,91.14,293.37,106.66,1.10,253.42,10.76
4.44,12.95,88.76,96.10,304.55,114.10,1.04,258.99,11.29
4.63,13.10,93.42,101.05,320.00,119.04,1.16,272.20,11.09
4.92,13.92,92.53,100.05,321.41,116.91,1.24,278.93,11.74
5.25,14.36,95.70,103.37,333.36,121.49,1.28,287.68,12.03
7078.70,10.80,7172.40,7179.20,332.45,123.48,1.21,282.14,6.88
81.99,13.08,170.04,177.49,315.77,118.97,1.15,268.44,11.08
5.56,13.46,88.22,95.51,304.34,110.74,1.19,262.70,11.55
5.65,13.02,88.63,95.82,305.17,111.12,1.16,262.58,10.97
7.88,13.14,91.08,98.64,308.84,114.12,1.15,262.80,10.79
7.61,13.23,91.46,98.85,309.85,114.35,1.14,264.15,10.99
5.72,13.54,91.32,98.88,315.01,115.30,1.19,273.83,11.56
12.88,13.67,102.37,109.89,333.19,125.35,1.17,282.74,11.50
4.96,13.10,91.37,99.33,321.33,119.22,1.15,272.93,10.78
5.55,13.10,89.45,96.84,312.62,114.54,1.14,268.85,10.99
5.69,13.15,94.78,102.65,320.55,120.95,1.19,269.48,10.49
5.73,13.08,93.02,100.65,320.13,118.64,1.26,272.45,11.09
7671.50,11.70,7722.60,7703.10,328.50,121.54,1.19,279.73,7.78
6.11,14.19,97.30,105.37,338.06,126.38,1.18,287.53,11.59
5.15,14.94,107.50,116.79,375.34,138.35,1.39,317.90,12.14
4.07,15.78,109.35,118.81,389.19,142.70,1.40,330.43,13.20
4.74,14.94,100.72,109.08,357.10,132.83,1.27,303.89,11.94
5.01,14.87,100.73,109.41,352.35,131.30,1.33,297.68,12.06
3.78,14.19,95.94,104.01,340.81,126.49,1.22,289.83,11.98
3.76,13.63,98.47,106.36,340.41,127.69,1.28,287.31,11.62
3.89,13.73,93.49,101.06,333.59,122.82,1.20,286.03,11.82
3.92,14.09,95.99,104.35,342.86,127.12,1.18,291.21,11.53
3.68,14.48,99.39,108.11,357.74,134.83,1.22,302.41,12.13
5.02,14.78,97.27,105.01,339.19,124.47,1.31,293.00,12.43
4.86,14.29,94.85,102.38,331.16,122.88,1.19,281.35,11.57
3.94,13.81,93.58,101.52,332.10,123.03,1.13,283.48,11.51
4.81,13.67,94.54,102.01,327.29,119.83,1.23,280.81,17.84
5.32,14.44,93.55,101.44,325.47,118.49,1.21,279.43,11.87
4.90,14.16,98.84,106.84,337.63,127.48,1.18,286.48,11.85
3.88,14.23,101.92,110.40,355.00,132.78,1.19,300.55,12.02
4.90,14.98,101.42,109.83,355.18,130.75,1.31,304.90,12.70
2.75,16.58,117.89,127.06,412.09,153.33,1.49,347.03,13.50
2.77,16.32,122.78,132.66,423.23,160.19,1.41,350.18,13.17
3.63,16.29,118.44,128.05,403.53,153.97,1.42,336.03,13.14
2.70,15.94,109.81,118.79,386.07,142.12,1.49,326.70,12.61
2.86,15.55,112.44,121.49,389.07,144.06,1.49,327.83,12.64
2.88,16.19,112.83,122.18,394.79,147.60,1.54,330.21,12.82
3.06,16.26,112.05,120.85,392.37,146.53,1.46,328.43,12.92
2.67,16.62,114.33,123.49,401.67,148.32,1.54,342.61,13.29
2.80,16.25,119.55,129.51,422.00,160.02,1.45,353.73,13.09
2.87,15.76,114.74,124.25,404.40,150.92,1.46,337.54,12.56
2.88,15.80,114.17,123.74,399.34,148.14,1.44,335.72,12.57
2.69,15.41,116.27,125.64,398.89,149.51,1.61,331.37,12.39
2.80,15.66,113.23,122.40,441.72,148.05,1.46,334.15,12.48
2.84,16.14,118.79,128.21,418.07,156.16,1.59,347.53,12.66
2.72,16.37,117.92,127.59,449.14,155.45,1.61,351.61,12.75
2.86,17.19,124.19,134.34,441.86,162.22,1.59,371.58,13.48
