" -F4160,S4161+F298,S299"," -F4160,S4161+F300,S301"," -F4160,S4161+F310,S311"," -F4160,S4161+F313,S314"," -F308,S307+F320,S321"," -F308,S307+F316,S315"," -F305,S306+F317,S318"," -F329,S328+F326,S327"," -F4163,S4164+F302,S303"
[120.24],[13.75],[205.14],[213.51],[322.73],[116.50],[1.23],[279.96],[11.94]
4.96,15.45,113.65,123.72,394.54,145.14,1.53,342.18,12.60
4.90,14.31,102.68,112.00,359.13,132.93,1.38,309.90,11.59
5.34,14.29,100.85,109.99,359.34,131.40,1.32,305.19,11.77
5.16,13.67,98.55,107.64,346.57,129.50,1.31,299.36,11.52
5.51,13.30,100.39,109.34,348.29,129.12,1.35,298.44,10.98
4.96,13.30,94.77,103.15,333.58,122.68,1.32,289.09,11.00
4.97,13.43,93.54,102.22,332.00,122.18,1.22,287.03,10.96
5.10,13.90,97.78,106.81,346.21,129.04,1.33,299.69,11.39
4.90,14.03,96.24,104.74,334.06,121.79,1.24,292.30,11.59
5.19,13.28,92.12,100.44,318.10,116.43,1.30,275.56,11.05
5.77,13.54,93.35,101.81,320.74,117.65,1.26,278.69,11.20
4.90,13.74,91.90,100.21,316.91,115.61,1.36,275.98,11.33
5.07,13.66,91.03,99.27,312.94,114.20,1.37,273.77,11.24
5.23,13.76,95.01,103.70,327.02,121.49,1.32,282.15,11.42
5.48,13.88,98.07,106.50,334.35,124.08,1.30,288.33,11.40
5.38,14.79,95.55,103.88,329.27,121.10,1.41,287.48,12.03
3.11,12.77,90.08,98.40,315.55,116.43,1.31,272.81,10.56
3.08,12.29,91.67,99.83,320.36,119.04,1.17,273.63,10.07
3.03,11.82,88.48,96.63,309.11,115.39,1.24,265.57,9.77
3.12,11.94,84.91,92.61,,,,256.29,9.64
3.39,11.91,86.24,94.02,299.84,109.78,1.21,259.67,9.84
3.29,11.93,86.03,93.86,301.23,110.96,1.08,260.41,10.07
3.24,12.03,85.05,92.88,299.07,110.11,1.15,257.86,10.27
3.20,12.66,88.53,96.24,312.65,114.37,1.23,272.66,10.43
3.05,12.26,90.85,99.47,325.39,122.22,1.17,278.91,9.99
2.28,11.66,87.51,95.49,312.46,115.51,1.16,269.09,9.63
2.28,12.13,88.25,96.45,313.63,116.26,1.21,270.43,9.86
4.17,12.22,94.10,102.48,323.86,121.49,1.23,277.68,9.87
2.94,12.35,91.55,99.98,324.66,122.01,1.17,276.68,10.04
3.04,12.72,93.17,101.91,332.72,123.74,1.22,288.01,10.28
2.98,12.69,96.26,104.97,341.20,127.71,1.24,290.31,10.26
3.24,14.10,108.87,118.53,380.16,141.56,1.36,327.19,11.37
5.33,15.01,108.36,118.15,375.66,140.09,1.46,320.31,12.05
5.53,17.53,95.07,103.43,331.69,124.00,1.20,282.71,11.05
5.42,13.19,92.20,100.36,323.65,121.06,1.13,274.96,10.59
2.10,12.95,89.06,98.05,314.32,118.56,1.13,267.59,415.00
4.72,12.89,90.60,98.73,315.69,118.70,1.15,269.55,10.50
4.99,12.95,86.32,94.21,302.94,112.49,1.10,260.13,10.54
4.97,12.46,85.56,93.31,301.81,111.54,1.08,259.92,10.59
4.90,12.94,88.55,96.53,314.72,117.99,1.17,269.60,10.53
4.99,13.32,86.69,94.22,301.75,110.56,1.17,261.82,10.83
5.06,12.98,83.98,91.27,289.18,106.25,1.18,249.94,10.69
5.13,12.87,84.58,91.98,293.40,108.27,1.05,252.32,10.88
4.99,12.45,84.52,91.81,291.16,106.70,1.11,251.64,10.56
5.10,12.66,83.87,91.17,289.30,106.36,1.15,250.32,10.72
5.63,12.66,87.69,95.08,301.31,112.89,1.10,257.15,10.44
5.55,12.90,91.25,99.20,312.48,116.89,1.11,266.56,10.86
5.84,13.50,90.53,98.28,309.52,114.63,1.22,267.62,11.25
5.00,13.98,90.36,97.83,311.50,115.20,1.26,269.39,11.46
4.89,13.08,91.38,99.19,313.39,116.74,1.13,265.32,10.86
5.09,13.01,87.98,95.48,302.00,112.95,1.16,257.87,10.69
4.96,12.82,83.96,91.28,289.85,106.61,1.10,250.61,10.58
5.02,12.81,84.39,91.82,290.85,106.71,1.10,250.04,10.36
4.63,13.06,83.88,91.51,293.23,108.67,1.13,250.93,10.87
4.97,12.78,84.00,91.30,289.97,107.37,1.11,247.89,10.54
5.09,13.42,86.44,93.72,299.92,109.95,1.20,258.03,10.96
