" -F4209,S4210+F529,S530"," -F4209,S4210+F531,S532"," -F4209,S4210+F541,S542"," -F4209,S4210+F544,S545"," -F539,S538+F551,S552"," -F539,S538+F547,S546"," -F536,S537+F548,S549"," -F560,S559+F557,S558"," -F4212,S4213+F533,S534"
[593.73],[14.30],[678.31],[686.41],[321.03],[115.98],[1.27],[277.98],[12.41]
4.03,13.35,95.75,104.17,333.46,120.97,1.44,288.89,11.52
4.40,12.63,92.03,100.45,316.90,117.79,1.35,270.96,10.63
3.63,12.24,88.74,96.97,304.38,113.83,1.22,259.64,10.09
2.75,12.49,84.33,92.16,295.01,108.23,1.19,255.20,10.57
4.11,12.34,84.83,92.61,293.26,107.42,1.25,252.33,10.13
4.27,12.35,87.49,95.59,302.63,111.99,1.20,258.83,10.17
2.78,12.48,85.87,94.10,305.03,112.42,1.26,262.11,10.19
4.32,12.62,87.25,95.06,303.32,110.13,1.18,263.46,10.55
4.80,12.66,94.98,104.09,325.20,121.26,1.31,277.50,10.56
5924.10,10.67,6009.60,6001.20,320.51,118.47,1.22,274.41,7.52
10.93,12.26,95.22,103.27,309.52,113.93,1.20,267.04,10.05
65.95,12.44,151.37,159.53,311.88,114.05,1.23,270.32,10.61
4707.30,11.38,4793.80,4798.90,315.76,116.09,1.19,271.76,8.90
279.99,12.97,367.83,376.09,318.32,118.44,1.20,272.81,10.47
7.53,13.13,98.91,107.57,333.05,124.19,1.32,285.00,10.84
77.61,14.07,177.78,187.21,363.91,134.78,1.40,310.77,11.46
1.64,13.36,100.80,110.23,358.26,133.04,1.44,305.53,10.81
1.64,11.99,91.50,100.08,327.19,122.47,1.30,278.05,9.61
1.56,11.85,87.83,96.07,310.51,115.72,1.29,267.79,9.65
1.45,11.47,85.52,93.31,309.68,114.37,1.19,273.40,9.55
1.88,11.50,85.68,93.41,305.12,111.86,1.21,262.16,9.40
1.66,11.59,85.12,92.77,303.14,112.09,1.24,260.19,9.59
1.66,11.16,86.48,94.82,311.18,115.70,1.28,265.72,9.17
1.85,11.69,89.72,98.59,315.79,117.88,1.17,269.15,9.60
2.33,11.61,83.16,90.76,295.19,107.87,1.21,255.54,9.64
1.74,11.76,83.08,91.02,297.45,109.95,1.26,254.75,9.44
1.72,11.53,83.58,91.69,296.55,110.11,1.22,252.74,9.24
2.70,11.26,82.68,90.14,288.62,105.65,1.25,247.09,9.21
1.53,11.47,82.15,90.12,291.47,107.76,1.25,250.70,9.32
2.38,11.44,86.53,94.45,301.11,113.43,1.15,256.49,9.25
1.66,11.67,89.03,97.00,313.81,116.43,1.25,268.08,9.74
1.98,12.68,93.31,101.83,331.97,121.04,1.34,285.97,10.64
4.21,14.01,94.79,103.11,332.84,120.94,1.36,289.30,11.85
3.76,12.74,90.84,98.62,315.37,117.75,1.26,269.46,10.65
3.74,12.38,87.49,95.17,302.26,113.05,1.07,258.25,10.43
3.79,12.70,83.66,91.61,291.94,107.34,1.14,252.55,10.42
3.12,12.31,82.55,89.96,288.25,105.53,1.18,247.73,10.36
4.11,12.56,85.34,92.93,297.01,110.27,1.22,253.74,10.08
4.05,12.88,85.20,92.61,298.16,110.72,1.25,254.93,10.60
3.68,13.07,84.14,91.76,295.57,108.52,1.25,254.43,10.86
3.60,12.97,90.41,98.41,314.94,117.65,1.32,267.12,10.68
3.39,12.55,87.28,95.48,310.13,115.38,1.18,265.70,10.20
2.94,12.81,85.71,93.23,303.43,112.32,1.21,260.54,10.60
3.58,19.47,85.68,93.62,303.48,111.53,1.24,261.86,10.20
3.60,3229.70,85.63,94.24,310.54,115.26,1.16,266.22,11.32
3.55,12.66,88.79,96.89,311.75,116.25,1.25,266.25,10.70
3.76,26.77,92.35,100.90,324.65,121.03,1.29,277.70,10.44
3.79,14.71,101.12,110.57,354.80,131.51,1.39,302.52,14.78
4.13,14.75,102.44,111.66,356.55,131.84,1.28,302.95,11.57
3.71,13.26,93.09,101.30,326.58,121.64,1.33,278.55,10.96
3.82,12.78,89.27,97.77,313.95,116.49,1.26,267.84,10.27
3.84,12.60,87.65,95.64,314.58,116.51,1.12,268.72,10.30
3.44,12.41,86.93,94.74,307.99,113.05,1.18,264.16,10.05
3.23,13.07,86.51,94.18,306.96,113.57,1.21,262.55,10.42
3.18,12.57,88.34,96.39,315.67,117.16,1.19,269.90,10.53
3.74,12.98,91.92,100.19,318.69,119.47,1.24,270.42,10.69
3.36,12.84,85.07,92.83,299.48,110.32,1.22,257.29,10.54
3.12,12.89,85.36,93.31,303.40,112.36,1.22,258.53,10.19
3.66,12.75,86.03,93.78,299.63,111.12,1.20,255.78,10.25
3.52,12.66,83.45,90.81,293.26,107.38,1.14,250.57,10.50
3.92,12.59,84.89,92.51,294.44,108.32,1.16,253.70,10.39
3.63,12.67,88.15,95.99,305.44,114.39,1.14,259.14,10.24
3.55,12.89,92.08,99.95,321.98,119.64,1.28,274.71,10.81
3.82,14.39,95.24,103.51,335.25,120.87,1.32,290.49,12.06
4.37,14.55,99.28,107.81,346.16,125.67,1.41,297.25,11.94
110.62,13.29,202.67,211.22,334.88,124.38,1.23,285.18,10.78
5.70,12.88,93.78,101.91,316.41,118.70,1.22,269.04,10.66
6.52,13.32,90.60,98.33,305.87,112.61,1.12,263.04,10.97
4.29,13.09,87.14,94.90,303.70,111.02,1.19,259.61,10.68
4.37,12.99,89.51,97.74,310.97,115.69,1.19,264.82,10.68
9.63,13.01,96.55,104.46,313.27,116.37,1.23,266.89,10.56
4.56,13.26,89.32,97.18,310.35,114.10,1.17,267.84,10.91
4.27,13.54,95.67,104.67,331.77,125.09,1.20,279.94,11.10
3.87,13.23,92.03,100.37,326.68,121.46,1.28,276.68,10.56
4.93,13.37,90.49,98.78,315.91,116.70,1.22,269.98,10.70
4.16,12.89,89.29,97.45,314.87,115.61,1.28,271.12,10.58
8.28,13.21,94.39,102.26,322.80,119.32,1.30,277.19,10.90
3.82,13.55,92.48,100.96,323.86,120.17,1.24,275.38,11.01
4.32,13.63,95.06,103.74,334.96,125.08,1.34,284.16,11.27
2.54,14.85,102.44,111.69,364.81,134.87,1.41,309.00,11.46
4.59,15.58,107.78,117.37,380.95,140.98,1.42,324.32,12.04
8.68,14.56,104.73,113.60,353.70,131.97,1.26,300.69,11.57
4.08,14.45,98.22,106.99,344.56,127.62,1.40,294.36,11.78
3.12,73.16,94.00,103.37,343.97,126.22,1.28,295.98,11.10
3.52,13.51,94.45,103.08,335.28,122.87,1.25,289.00,11.19
2.94,13.85,94.29,102.84,337.17,124.67,1.27,287.87,11.17
