" -F4286,S4287+F892,S893"," -F4286,S4287+F894,S895"," -F4286,S4287+F904,S905"," -F4286,S4287+F907,S908"," -F902,S901+F914,S915"," -F902,S901+F910,S909"," -F899,S900+F911,S912"," -F923,S922+F920,S921"," -F4289,S4290+F896,S897"
[133.12],[15.00],[219.80],[228.29],[329.46],[118.12],[1.32],[287.34],[14.92]
0.01,14.92,110.88,121.62,403.85,145.58,1.77,360.96,11.31
0.17,14.53,108.44,118.86,383.56,139.31,1.70,342.42,11.06
39.53,14.30,145.72,156.49,386.89,141.02,1.69,342.74,10.45
95.08,14.27,203.67,214.78,395.10,145.88,1.68,349.23,9.90
0.01,14.02,102.86,113.17,372.48,134.35,1.67,332.90,10.48
2.87,12.56,103.06,113.52,368.20,132.88,1.61,329.44,10.03
0.01,14.12,103.96,114.67,378.68,138.17,1.62,335.35,10.64
0.01,14.88,110.13,121.23,398.85,145.86,1.80,355.06,11.22
0.01,14.47,100.44,110.70,360.62,130.13,1.70,322.42,10.34
0.14,14.15,103.52,113.92,367.61,134.63,1.56,327.33,10.51
2.61,12.90,102.14,112.57,366.22,133.37,1.59,326.32,10.70
0.01,13.82,96.67,106.38,345.25,124.33,1.64,310.93,10.26
2.74,12.35,97.72,107.82,346.32,125.24,1.63,310.98,10.35
0.01,13.96,98.48,108.36,353.97,126.31,1.57,317.84,10.61
0.01,14.31,103.61,113.87,362.29,131.44,1.69,324.20,10.69
0.01,15.71,110.44,121.19,392.50,142.40,1.85,349.55,12.18
1.32,15.86,103.60,113.20,359.82,131.03,1.62,314.31,12.34
0.87,13.88,95.05,104.09,325.22,120.44,1.43,280.70,10.18
1.24,13.40,89.62,98.39,314.67,114.24,1.36,273.60,10.08
1.28,13.11,89.19,97.86,305.16,112.67,1.29,264.23,9.85
1.20,13.41,88.12,96.53,304.78,111.31,1.37,265.44,7.89
0.72,13.67,91.39,100.28,319.02,118.03,1.34,274.65,10.27
1.40,13.65,92.61,101.75,321.40,119.68,1.34,275.78,9.66
1.40,13.70,91.01,99.90,316.76,115.72,1.34,273.73,10.12
1.30,24.56,98.76,108.69,348.16,128.93,1.47,301.56,10.49
0.84,30.25,93.17,102.61,330.52,122.08,1.35,283.71,10.22
1.22,13.25,93.28,102.53,321.93,117.60,1.30,278.80,43.87
0.84,13.53,92.67,101.86,328.65,120.78,1.35,283.14,8.40
1.49,97.49,94.06,106.23,346.64,129.62,1.41,295.78,10.05
3.54,13.49,93.82,103.73,337.74,124.13,1.34,290.39,9.53
1.60,14.10,97.57,107.29,337.46,123.86,1.44,292.98,80.23
0.91,14.71,101.77,112.01,360.15,132.01,1.49,311.89,10.32
1.22,13.69,98.73,108.37,344.28,126.76,1.51,295.14,10.27
5.24,13.20,97.46,106.70,321.91,118.61,1.42,276.16,9.62
1.00,12.87,89.99,99.00,319.97,118.24,1.35,272.72,9.46
8.16,12.50,98.64,108.11,325.94,122.33,1.23,277.30,9.20
0.01,12.31,86.37,95.06,309.04,113.24,1.23,265.46,9.30
0.93,12.55,88.05,96.56,305.05,111.76,1.24,262.11,9.16
0.87,12.61,88.52,97.41,312.10,115.14,1.25,266.15,9.46
0.85,13.37,92.92,102.42,326.13,120.92,1.37,279.85,9.76
0.65,12.98,85.61,94.05,296.85,108.41,1.25,255.14,9.60
0.29,12.52,87.38,95.80,304.85,113.50,1.24,259.16,9.22
0.64,12.64,84.32,95.05,301.50,111.57,1.22,258.41,9.78
0.57,12.44,83.14,91.37,289.00,105.88,1.25,249.42,8.76
0.82,12.39,84.58,92.98,289.94,106.93,1.25,249.17,7.50
0.80,12.52,85.70,93.90,300.18,109.46,1.31,258.18,9.42
0.46,13.21,91.48,99.92,311.66,115.45,1.34,268.18,9.71
0.69,15.41,100.53,110.01,349.11,127.38,1.57,304.60,11.70
0.93,14.68,101.33,110.74,351.84,128.92,1.55,305.24,10.39
0.01,12.76,90.69,99.41,310.19,115.39,1.34,265.01,9.52
3.97,12.35,88.98,97.22,299.12,109.21,1.27,256.34,9.37
3.14,12.43,86.43,94.61,287.05,105.89,1.21,246.83,9.15
6614.20,10.82,6698.20,6709.30,287.79,105.30,1.26,246.68,9.60
6.02,12.42,91.60,100.52,299.86,111.57,1.20,255.28,9.08
2.73,12.37,88.56,97.43,299.55,112.10,1.24,255.39,8.84
16.64,12.75,98.32,106.45,292.87,107.73,1.20,251.49,9.26
1.49,13.15,90.36,99.18,315.55,117.16,1.21,270.43,9.57
168.01,12.14,254.05,262.92,307.44,114.07,1.25,261.19,9.12
6.15,12.24,92.25,100.56,301.28,110.92,1.17,258.05,8.88
5791.00,10.79,5865.70,5865.40,304.41,112.00,1.21,261.45,9.61
6609.20,11.50,6694.50,6704.60,321.26,120.53,1.20,273.86,10.29
6830.90,11.59,6919.00,6913.20,314.07,116.55,1.19,268.37,10.24
2152.10,12.00,2241.70,2248.30,316.99,117.20,1.24,271.82,10.19
4.56,13.57,100.59,110.12,340.67,126.04,1.37,290.76,10.04
0.01,13.03,95.86,105.02,338.11,124.90,1.31,288.96,9.29
2.30,10.98,89.64,98.65,317.05,117.27,1.26,272.04,8.68
2.38,10.85,86.82,95.62,313.88,116.49,1.30,267.62,8.58
2.62,10.53,88.86,97.80,322.41,121.34,1.22,273.29,8.41
0.01,11.86,85.01,93.53,306.12,112.76,1.19,262.60,8.30
0.01,11.94,85.98,94.26,302.15,111.52,1.23,258.96,8.46
2.72,11.02,84.61,94.15,307.50,114.11,1.22,261.66,8.40
0.01,12.73,89.00,97.69,317.40,118.65,1.23,270.36,9.05
2.67,10.44,83.35,91.52,295.09,108.72,1.24,253.23,8.68
0.01,11.65,85.50,94.12,300.27,112.39,1.25,256.21,8.09
1.11,12.09,84.84,93.57,300.92,111.94,1.21,256.95,8.44
2.54,10.15,81.28,89.21,289.12,105.91,1.19,248.48,8.50
2.47,10.24,81.78,90.06,288.58,106.20,1.22,247.91,8.42
0.01,11.69,85.19,93.41,300.52,109.83,1.27,258.41,8.79
0.01,12.50,90.42,99.13,312.99,117.02,1.26,267.79,9.00
2.51,12.85,100.13,109.54,354.49,130.05,1.64,307.02,10.78
1.05,15.30,101.99,111.66,359.29,131.61,1.56,312.02,12.16
0.80,13.40,92.65,101.36,316.38,117.05,1.24,270.86,10.10
0.01,12.94,86.24,94.50,306.20,111.56,1.28,262.53,9.57
0.60,12.89,84.65,93.00,292.54,108.14,1.24,251.32,9.42
1.20,12.69,83.66,91.92,293.24,107.42,1.26,251.98,9.33
0.78,13.21,87.19,95.88,305.50,113.11,1.20,261.20,9.55
1.01,13.41,87.85,96.48,306.36,113.95,1.23,261.03,9.85
0.79,13.35,86.05,94.55,299.59,109.90,1.26,257.24,9.71
1.13,13.62,91.43,100.04,320.18,119.98,1.25,272.78,9.60
0.97,13.17,88.15,96.59,312.41,115.54,1.27,265.41,9.28
1.12,13.03,87.71,94.84,307.66,112.80,1.24,263.44,9.04
0.53,13.36,87.30,95.97,309.97,113.75,1.22,266.60,9.75
0.95,13.22,90.88,99.86,329.22,122.78,1.21,279.06,9.52
0.79,13.41,88.52,97.32,318.71,117.37,1.21,270.81,9.53
1.36,13.36,92.17,100.73,320.20,118.11,1.31,275.31,9.78
1.01,14.37,97.31,106.24,339.99,125.32,1.41,290.69,10.66
1.02,14.50,98.56,108.21,349.40,128.95,1.43,298.11,10.24
1.82,14.73,94.61,103.30,330.37,121.37,1.35,284.49,10.46
1.62,14.04,93.02,101.91,330.37,121.71,1.21,281.24,10.04
1.86,13.85,95.03,104.41,340.03,127.26,1.25,289.52,9.70
1.63,13.31,91.47,99.56,320.82,117.94,1.22,275.14,9.62
0.91,13.83,91.29,99.96,318.95,117.43,1.25,272.32,9.75
0.98,13.64,91.56,100.17,325.63,120.28,1.24,275.18,10.14
1.38,13.99,97.09,106.39,337.87,127.30,1.34,287.11,10.20
1.06,13.61,88.52,96.77,310.49,113.18,1.20,264.89,9.91
0.55,13.71,91.49,100.20,320.12,119.49,1.21,271.32,9.74
1.39,13.45,91.77,100.67,320.10,118.77,1.21,272.33,9.93
0.95,13.87,87.41,95.81,306.47,112.36,1.22,262.51,10.01
1.37,13.54,89.17,97.60,306.01,112.63,1.14,261.85,9.80
0.90,13.51,90.22,98.72,321.85,117.31,1.25,275.63,9.59
0.67,14.25,95.68,104.32,329.33,121.67,1.29,281.01,11.10
0.91,16.25,104.82,114.50,370.15,135.06,1.56,321.86,12.15
3.35,16.71,112.52,122.70,391.65,143.59,1.60,337.60,12.79
1.69,14.76,103.12,112.67,353.07,130.65,1.29,300.17,11.01
1.33,14.36,97.92,106.91,349.34,128.07,1.38,296.87,10.69
1.12,14.60,95.95,105.26,331.26,122.16,1.29,282.83,11.05
1.90,14.31,95.40,104.24,331.25,121.41,1.34,283.83,10.64
3.94,14.82,102.34,111.86,349.25,130.03,1.32,296.21,10.66
1.41,14.48,99.85,109.31,348.19,130.49,1.34,293.44,10.41
3.03,14.51,99.45,108.26,339.67,125.45,1.35,289.70,10.76
2.25,15.43,106.61,116.30,371.05,139.05,1.49,313.35,11.39
1.36,14.64,98.69,108.24,351.15,130.55,1.33,296.55,9.85
1.30,14.51,98.15,107.44,344.08,126.44,1.31,292.83,10.58
1.22,14.26,98.34,107.74,348.55,128.14,1.34,297.57,10.43
3.97,14.43,103.93,113.52,364.26,136.16,1.22,309.21,10.28
1.81,15.21,100.08,109.44,355.33,130.67,1.28,301.83,10.72
0.84,5311.20,97.88,109.42,353.33,129.74,1.36,302.71,31.62
2.72,16.57,106.02,116.00,369.89,136.10,1.41,315.73,11.14
