" -F4202,S4203+F496,S497"," -F4202,S4203+F498,S499"," -F4202,S4203+F508,S509"," -F4202,S4203+F511,S512"," -F506,S505+F518,S519"," -F506,S505+F514,S513"," -F503,S504+F515,S516"," -F527,S526+F524,S525"," -F4205,S4206+F500,S501"
[105.16],[14.48],[191.62],[200.24],[328.59],[118.34],[1.27],[286.31],[11.14]
0.83,15.76,118.29,129.30,427.70,153.93,1.74,377.54,12.63
0.96,14.38,108.81,118.81,393.41,143.54,1.56,348.37,11.59
0.17,14.19,109.13,119.40,392.38,143.95,1.52,348.45,11.42
0.76,13.73,105.41,115.14,379.69,138.71,1.60,335.58,11.22
9.46,13.66,116.14,126.03,379.35,139.65,1.55,332.20,11.06
0.85,14.14,102.17,111.60,368.18,132.42,1.58,329.90,11.29
0.82,14.03,104.12,113.91,378.85,137.68,1.44,334.11,10.99
3.39,14.25,110.34,120.63,394.21,145.70,1.57,349.39,11.41
0.79,14.64,103.23,112.68,371.76,132.88,1.59,335.23,11.55
0.80,14.11,100.26,109.75,361.00,129.76,1.48,321.50,11.44
1.24,14.18,100.43,109.67,361.22,130.36,1.56,322.49,11.13
0.76,13.82,99.82,108.99,352.13,126.54,1.43,316.03,11.10
1.97,14.03,98.69,107.59,346.97,123.95,1.47,313.23,11.34
0.79,13.82,102.88,112.59,361.64,133.33,1.43,320.85,11.34
0.62,14.11,104.34,114.03,368.34,134.53,1.45,326.08,11.25
0.96,14.69,103.86,113.12,369.15,132.81,1.57,329.68,11.82
4.58,14.75,95.30,103.45,329.63,119.90,1.34,287.43,12.23
4.16,13.39,94.93,103.18,328.64,121.44,1.24,280.95,11.09
4.47,13.26,92.75,101.23,317.71,118.98,1.20,272.92,10.94
4.72,13.53,88.66,96.77,305.36,111.07,1.11,266.93,11.21
4.13,13.12,88.62,97.81,309.14,112.71,1.29,267.53,11.02
4.36,13.75,89.71,97.54,313.62,115.10,1.21,271.14,11.28
4.27,13.30,90.04,98.20,316.10,115.72,1.33,272.25,11.28
4.62,13.86,92.64,100.62,324.82,117.53,1.31,285.01,11.44
2.92,13.46,95.55,105.72,343.13,127.51,1.35,295.44,50.77
4.54,13.36,93.63,102.15,329.29,120.94,1.26,282.51,11.09
2.06,338.21,90.17,99.37,322.58,117.36,1.35,280.52,10.63
4.00,13.29,96.30,104.91,331.26,123.45,1.31,282.04,13.21
5.23,182.03,93.76,103.71,331.36,122.39,1.37,283.80,8470.80
5.08,15.65,98.12,107.25,352.50,125.91,1.31,291.60,11.31
4.38,14.30,99.05,108.04,356.58,129.06,1.30,298.99,11.86
4.20,15.32,109.56,119.30,384.84,140.81,1.33,329.27,12.41
4.36,14.21,106.42,115.96,372.37,136.83,1.35,314.82,11.79
6.81,13.53,97.11,105.60,331.87,123.07,1.26,284.18,11.15
4.65,13.18,93.27,101.79,323.90,119.10,1.22,273.62,10.83
6.37,12.57,92.12,100.17,313.21,115.77,1.17,266.99,10.47
4.66,12.35,91.54,99.73,313.73,116.93,1.17,264.60,10.23
4.05,12.61,86.71,94.52,305.50,111.19,1.16,263.24,10.28
4.27,12.65,89.01,97.08,314.24,115.73,1.15,266.78,10.27
3.81,12.82,91.27,99.47,323.61,120.12,1.19,276.07,10.84
4.18,12.81,87.61,95.45,307.19,111.10,1.19,267.95,10.80
4.09,12.55,85.83,93.49,299.05,109.36,1.12,256.53,10.24
3.79,12.66,85.02,92.54,297.21,109.05,1.20,254.94,10.32
3.83,12.37,85.33,92.69,292.61,106.34,1.13,252.83,10.56
4.00,12.51,83.76,91.23,291.14,106.08,1.19,252.47,10.36
4.21,12.52,88.71,96.60,302.33,113.15,1.13,257.89,10.27
3.75,12.87,91.13,99.19,314.54,116.49,1.22,266.73,10.57
4.07,13.98,92.14,100.19,319.43,116.45,1.27,275.90,11.70
4.53,13.70,92.54,100.42,317.77,116.04,1.27,273.68,11.19
4.58,12.76,91.85,99.66,313.52,116.35,1.16,265.88,10.70
6.98,12.60,90.81,98.70,300.34,112.33,1.13,254.76,10.46
5.21,12.80,84.53,92.15,289.90,105.89,1.09,249.68,10.38
329.99,10.62,410.71,415.63,289.87,105.75,1.39,249.24,7.63
87.65,12.36,168.02,175.48,294.16,108.08,1.01,251.56,10.28
4.73,12.55,85.19,92.75,294.30,108.03,1.12,250.74,10.21
6.55,12.93,87.91,95.23,300.85,109.22,1.15,261.55,10.79
6.72,12.84,92.73,100.83,317.90,118.62,1.12,270.69,10.50
6.42,12.26,89.70,97.78,307.80,114.21,1.10,260.58,10.25
2373.90,10.57,2455.20,2460.10,300.99,110.39,1.18,258.34,7.36
4.98,12.39,91.34,99.34,309.10,115.81,1.14,260.62,10.33
7211.60,11.14,7288.60,7301.80,309.18,114.93,1.13,263.09,8.27
6.04,13.05,93.27,101.47,317.63,117.81,1.16,269.05,10.68
51.99,5189.50,142.53,152.18,328.39,122.24,1.23,278.44,10.45
182.33,14.45,283.32,292.87,366.47,135.51,1.36,311.12,11.71
2.29,13.93,104.42,113.52,366.51,135.58,1.36,310.37,10.98
1.98,12.52,92.10,100.58,327.59,122.27,1.15,279.03,10.08
2.17,12.40,90.06,98.02,318.65,118.72,1.17,270.61,9.97
