" -F4209,S4210+F529,S530"," -F4209,S4210+F531,S532"," -F4209,S4210+F541,S542"," -F4209,S4210+F544,S545"," -F539,S538+F551,S552"," -F539,S538+F547,S546"," -F536,S537+F548,S549"," -F560,S559+F557,S558"," -F4212,S4213+F533,S534"
[2.59],[14.37],[86.74],[95.44],[306.25],[109.40],[1.33],[267.09],[11.50]
2.87,13.99,93.28,102.28,331.17,120.11,1.41,286.72,12.46
3.01,13.02,89.41,98.36,314.74,116.94,1.39,268.94,11.43
2.87,12.78,86.73,95.72,302.35,113.01,1.26,257.68,11.18
2.6,12.99,83.3,91.82,293.01,107.47,1.19,253.28,11.36
2.69,12.81,82.66,90.91,291.32,106.67,1.26,250.58,10.89
2.7,12.86,84.64,93.46,300.63,111.24,1.23,256.94,11.05
2.98,13,85,93.47,302.97,111.51,1.23,260.17,11.02
2.63,13.32,84.55,93.22,301.25,109.29,1.35,261.51,11.4
2.74,13.42,91.95,101.57,322.98,120.32,1.4,275.42,11.25
2.8,12.68,87.98,97.02,318.36,117.66,1.34,272.43,10.73
2.93,12.76,86.51,94.91,307.42,112.96,1.3,265.08,11.01
3.07,12.9,87.33,96.03,309.72,113.15,1.31,268.21,11.18
2.95,13.18,86.89,95.68,313.53,115.24,1.29,269.72,11.49
2.91,13.55,89.38,98.5,316.06,117.48,1.23,270.74,11.34
2.82,13.51,93.22,102.4,330.62,123.23,1.41,282.83,11.48
3.13,14.46,101.95,112.07,361.39,133.71,1.44,308.42,12.4
2,13.81,99.86,109.84,355.66,131.98,1.43,303.35,11.63
1.67,12.45,90.8,99.51,325.03,121.62,1.3,276.07,10.26
1.71,12.41,87.08,95.65,308.45,114.78,1.27,264.04,10.19
1.73,12.08,84.6,93.06,307.59,113.53,1.22,264.05,10.19
1.98,12.1,84.63,93.22,303.11,111.02,1.24,260.33,10.04
2.12,12.11,84.18,92.48,301.08,111.29,1.26,258.35,10.35
1.95,11.76,85.49,94.68,309.03,114.85,1.22,263.75,9.85
1.55,12.34,89.14,98.43,313.71,117.04,1.25,267.34,9.83
1.92,12.4,82.15,90.12,293.28,106.98,1.24,253.84,10.23
1.89,12.2,82.46,90.7,295.62,109.2,1.22,252.95,10.05
1.89,12.02,82.94,91.25,294.73,109.32,1.17,251.15,10.02
