" -F4300,S4301+F958,S959"," -F4300,S4301+F960,S961"," -F4300,S4301+F970,S971"," -F4300,S4301+F973,S974"," -F968,S967+F980,S981"," -F968,S967+F976,S975"," -F965,S966+F977,S978"," -F989,S988+F986,S987"," -F4303,S4304+F962,S963"
[2.74],[15.02],[90.53],[99.69],[324.41],[115.39],[1.47],[285.08],[12.00]
3.03,15.4,101.52,112,364.16,132.75,1.55,315.82,12.54
3.13,15.22,96.63,106.82,349.24,128.41,1.51,303.07,12.75
3.25,14.54,96.32,106.24,345.94,128.15,1.38,298.58,12.04
3.37,14.44,98.11,108.22,355.49,131.91,1.46,306.24,11.76
2.8,13.53,92.04,101.29,325.61,119.11,1.46,282.93,11.39
2.99,14,91.79,101.32,331.21,120.76,1.36,286.52,11.49
2.89,14.23,93.49,103.07,332.29,122.16,1.5,286.94,11.87
3.08,15.13,101.35,111.5,369.11,134.48,1.69,323.8,12.68
3.02,14.4,90.36,99.41,321.86,117.08,1.4,281.61,11.77
3.14,14.15,92.42,101.63,326.59,121.81,1.44,281.08,11.57
2.73,14.63,91.92,101.17,322.58,119.3,1.4,278.05,11.83
2.86,14.21,87.65,96.4,306.56,111,1.4,268.81,11.61
3.1,14.11,88.72,97.64,315.52,115.17,1.45,274.43,11.86
3.01,14.64,91.03,100.01,321.46,118.43,1.47,279.58,11.62
3.01,14.17,94.83,103.93,328.8,120.78,1.48,285.51,11.95
2.96,16.82,106.05,116.25,382.92,138.43,1.82,339.51,14.36
1.81,15.38,103.43,113.63,375.24,135.78,1.71,330.05,12.68
1.81,12.99,90.21,98.88,314.98,115.58,1.45,271.91,10.43
1.89,12.99,86.24,94.84,304.89,112.83,1.29,263.52,10.02
1.87,12.72,83.15,91.64,297.58,109.43,1.23,256.9,9.99
1.81,12.2,82.62,91.12,289.96,105.84,1.26,251.93,9.51
2.09,12.25,86.31,95.12,302.98,112.56,1.31,261.01,10.31
1.88,12.67,86.92,95.61,307.52,115.19,1.24,263.26,9.54
1.81,12.89,84.15,92.45,301.61,109.1,1.32,263.4,9.96
2.08,13.21,93.62,103.17,338.17,124.18,1.56,292.64,10.76
1.9,12.54,87.49,96.33,311.32,114.79,1.32,268.62,10.18
2.02,12.75,86.45,95.35,310.48,113.82,1.22,267.18,9.96
2.09,12.88,86.9,95.56,305.82,112.5,1.34,263.76,10.19
1.8,12.71,91.71,101.12,331.8,123.58,1.25,284.38,10.17
1.74,13.12,90.05,99.2,324.71,121.26,1.28,276.8,10.36
1.74,13.2,90.64,100.09,329.39,121.48,1.34,283.51,10.34
2.06,13.64,96.75,106.04,343.95,126.25,1.46,296.09,10.97
3.19,14.6,94.18,103.37,334.94,122.53,1.38,286.82,11.63
3.13,14.03,89.12,97.98,319.94,118.87,1.35,274.95,10.91
2.87,13.38,87.37,96.02,314.18,117.04,1.28,267.35,10.67
2.74,13.8,89.04,98.08,322.67,120.5,1.19,274.83,10.61
2.56,13.36,84.06,92.4,296.26,109.35,1.15,255.29,10.16
2.68,13.41,83.68,92.03,301.02,110.13,1.23,258.87,10.54
2.85,13.23,85.24,93.59,301.97,111.81,1.19,259.25,10.4
2.77,13.95,89.53,98.51,322.98,118.45,1.36,278.83,11.05
2.66,13.56,81.51,89.58,293.05,106.65,1.26,254.33,10.77
2.85,13.44,84.73,93.12,298.3,111.73,1.23,254.41,10.72
2.8,13.36,84.43,92.54,295.51,109.88,1.25,254.13,10.35
2.97,12.99,81.08,89.16,283.59,104.08,1.25,245.35,10.48
2.78,13.2,81.41,89.45,290.72,106.92,1.19,250.75,10.24
2.87,13.83,85.06,93.53,298.76,110.93,1.24,256.99,11.02
2.9,13.8,88.93,97.18,309.38,113.93,1.34,266.3,11.1
3.27,16.37,103.48,113.54,373.77,135.89,1.82,329.55,13.56
3.03,17.05,104.49,114.41,375.5,136.3,1.7,330.95,13.74
2.56,14.03,89.07,97.23,309.7,114,1.31,266.59,10.95
2.69,13.91,85.18,93.29,300.03,111.13,1.29,257.87,10.76
2.73,13.48,81.73,89.82,291.84,107.38,1.22,250.82,10.36
2.57,13.15,80.81,88.72,284.33,103.48,1.28,245.5,10.18
2.56,13.68,83.94,92.26,296.98,110.48,1.26,254.74,10.67
2.52,13.13,84.49,92.64,298.4,111.96,1.17,253.87,10.25
2.6,13.68,81.34,89.67,292.04,106.55,1.21,252.8,10.52
2.73,13.78,87.76,96.34,316.65,116.89,1.36,271.09,11.06
2.74,13.46,84.65,93.13,301.51,112.08,1.22,257.02,10.54
2.53,13.13,83.34,91.9,300.48,110.36,1.23,258.21,10.36
2.65,13.26,83.91,92.18,297.31,109.96,1.14,253.4,10.29
2.79,13.36,88.83,97.99,323.22,121.17,1.21,273.84,10.37
2.84,13.56,87.3,96.23,315.64,117.64,1.18,267.19,10.1
2.77,14.16,88.47,97.42,318.22,117.5,1.25,274.43,10.88
3,14.76,94.05,102.9,334.04,122.03,1.29,285.58,11.59
2.56,14.58,94.34,103.54,334.33,122.51,1.32,285.77,11.14
2.78,14.25,88.63,97.62,321.05,118.5,1.29,275.08,10.99
2.82,13.73,87.86,96.8,316.62,117.25,1.26,267.95,10.44
3.14,13.47,90.37,99.55,325.78,121.88,1.19,277.09,10.32
2.66,13.54,84.82,92.99,300.01,110.77,1.15,256.01,10.1
2.57,13.26,84.25,92.81,303.08,111.37,1.1,258.68,10.17
2.65,13.32,85.36,93.86,303.24,112.45,1.23,257.86,10.28
2.66,14.32,88.39,96.79,317.94,117.21,1.3,271.32,11.13
2.76,13.56,82.68,90.79,295.94,108.37,1.2,255.32,10.35
2.53,13.52,85.57,93.8,301.02,113.08,1.26,255.29,10.26
2.67,13.49,85.09,93.58,300.62,111.89,1.26,256.11,10.65
