" -F4104,S4105+F34,S35"," -F4104,S4105+F36,S37"," -F4104,S4105+F46,S47"," -F4104,S4105+F49,S50"," -F44,S43+F56,S57"," -F44,S43+F52,S51"," -F41,S42+F53,S54"," -F65,S64+F62,S63"," -F4107,S4108+F38,S39"
[2.68],[14.47],[89.18],[98.11],[311.21],[111.46],[1.37],[270.57],[11.53]
2.59,17.62,119.49,131.25,411.34,149.59,1.74,356.59,13.57
2.6,15.02,100.73,111.02,361.74,131.37,1.48,312.89,12.1
2.63,14.67,97.28,107.42,352.84,130.45,1.37,302.02,11.61
2.89,13.91,96.69,106.52,347.04,128.63,1.36,298.29,11.36
2.6,14.01,97.96,108.31,349.29,129.16,1.38,299.84,11.2
2.58,13.87,91.02,100.5,331.37,121.13,1.39,286.11,11.3
2.54,13.74,92.31,101.84,329.79,120.55,1.33,284.13,10.66
2.45,13.93,92.75,102.26,335.04,122.5,1.32,288.69,11.02
2.9,15.24,101.26,111.04,345.29,126.18,1.48,297.82,12.03
2.83,13.9,90.95,100.24,322.21,117.45,1.31,280.33,11.06
2.83,13.67,92.39,101.75,325.77,120.95,1.41,279.08,10.86
2.55,14.09,91.2,100.41,319.69,117.66,1.28,275.75,11.07
2.41,13.79,87.96,96.72,313.5,112.83,1.34,274.38,11.29
2.33,14.03,90.15,99.11,318.72,116.84,1.26,276.03,10.93
2.56,14.15,92.32,101.25,327.25,120.24,1.31,282.95,11.15
2.35,14.25,95.43,104.91,333.07,121.76,1.38,288.97,11.41
2.33,12.97,91.09,99.93,319.79,117.19,1.25,276.05,11.2
2.25,12.44,87.03,95.43,311.04,114.81,1.18,266.77,10.76
2.14,12.36,84.55,93.41,301.13,110.89,1.17,259.03,10.84
2.16,12.13,82.85,91.27,295.51,107.68,1.19,256.33,10.59
2.22,12.17,85.88,94.29,299.87,110.79,1.22,258.29,10.53
2.27,12.14,86.93,95.58,306.38,114.37,1.24,261.55,10.6
2.2,12.79,84.62,93.12,300.26,109.86,1.16,260.7,11.15
2.27,13.09,91.95,101.3,317.6,116.25,1.33,273.58,11.32
2.36,12.51,86.98,95.94,313.47,115.52,1.29,268.62,10.89
2.31,11.99,86.87,95.79,310.59,114.53,1.2,266.04,10.72
2.43,12.6,85.79,94.59,310.38,114,1.25,267.53,10.94
2.2,12.75,91.68,100.82,326.73,121.73,1.22,278.65,11.03
2.17,12.6,90.45,99.58,325.32,121.2,1.32,277.47,10.85
2.2,12.8,91.51,101.08,330.65,123.08,1.25,282.44,11.16
2.37,13.37,95.48,105.14,341.88,125.65,1.36,293.52,11.61
2.32,15.87,117.1,128.06,400.76,147,1.68,345.76,13.4
3.76,17.4,116.71,128.24,398.98,146.63,1.63,340.39,14.38
3.7,14.16,93.6,102.92,332.73,122.25,1.32,286.35,12.17
3.71,13.54,89.98,98.93,322.24,120.85,1.2,273.79,11.71
3.31,13.19,87.97,96.76,314.17,117.37,1.16,267.35,11.54
3.2,13.6,88.86,97.97,317.5,118.81,1.19,269.82,11.72
3.23,13.36,83.19,91.73,301.11,111.08,1.13,258.49,11.84
3.58,12.89,83.59,91.86,299.69,110.51,1.08,257.04,11.69
3.6,13.06,84.73,93.12,304.21,112.32,1.13,259.57,11.79
3.58,13.88,87.26,96.3,302.76,110.53,1.27,261.36,12.08
3.47,13.36,82.94,91.07,292.54,107.53,1.15,252.34,11.86
3.31,13.16,84.5,92.93,297.71,111.36,1.19,253.09,11.66
3.67,13.15,83.79,91.88,292.46,108.4,1.2,251.08,11.61
3.52,13,81.1,89.31,287.74,105.22,1.16,249.74,11.62
3.53,12.97,82.85,91.19,294.21,108.85,1.14,252.35,11.72
3.46,13.4,85.64,94.04,304.55,112.89,1.1,259.73,11.9
3.77,13.56,89.03,97.57,312.74,115.15,1.27,270.29,12.28
3.18,13.61,89.26,97.68,312.02,114.75,1.23,269.21,12.02
3.28,13.59,86.41,94.51,306.51,113.51,1.14,261.3,11.85
3.47,13.28,83.25,91.33,295.01,109.38,1.12,252.44,11.54
3.2,13.26,80.96,89.02,288.8,105.25,1.1,249.77,11.61
3.45,13.13,83.3,91.53,291.85,108.04,1.08,249.96,11.74
3.13,13.06,84.48,92.91,297.26,111.63,1.1,251.87,11.81
3.2,13.19,82.76,90.85,291.98,107.5,1.14,251.96,11.44
3.4,14.57,85.97,94.49,298.67,109.47,1.27,255.32,12.29
3.31,13.38,84.53,93.1,302.8,111.5,1.12,258.15,11.61
3.51,12.95,83.82,92.11,299.75,110.73,1.15,256.47,11.8
3.52,13.12,83.4,91.76,301.49,111.36,1.18,256.48,11.45
3.26,13.2,88.94,97.79,317.45,119.53,1.18,267.88,11.05
3.43,13.3,87.75,96.43,313.36,116.61,1.13,266.02,11.35
3.46,13.77,89.5,98.52,322.43,120.26,1.18,273.68,11.91
3.54,14.29,93.38,102.45,332.29,121.61,1.25,283.36,12.5
3.67,17.31,116.37,127.46,397.75,146,1.59,339.33,14.08
3.67,16.77,117.19,128.29,399.83,146.53,1.6,343.33,14.38
3.56,14.36,93.94,102.9,334.38,122.84,1.26,283.68,12.34
3.49,13.81,90.26,99.03,322.93,120.51,1.18,274.93,11.97
3.89,13.43,88.54,97.19,315.3,117.56,1.21,267.24,11.75
3.78,13.21,90.57,99.61,321.36,119.97,1.1,271.37,11.65
3.4,13.2,84.3,92.35,303.85,112.43,1.18,257.77,11.41
3.19,12.82,84.64,93.03,302.7,111.81,1.16,256.98,11.38
3.16,13.37,84.85,93.24,305.25,112.64,1.15,259.04,11.8
3.32,14.78,86.65,94.97,300.85,110.54,1.17,256.88,12.53
3.39,13.18,84.62,92.56,297.98,110.07,1.18,253.97,11.63
3.28,13,85.68,94.08,300.82,113.02,1.07,253.79,11.44
3.34,12.88,83.85,92.43,295.75,109.21,1.08,252.34,11.83
3.21,13.15,81.1,89.27,290.85,105.72,1.15,250.57,11.65
3.46,13.17,84.1,92.59,297.22,110.05,1.16,253.39,11.89
3.14,13.41,86.91,95.06,308.4,114.24,1.12,261.89,11.62
3.29,13.78,89.64,98.19,315.4,116.14,1.22,271.15,12.17
