" -F4258,S4259+F760,S761"," -F4258,S4259+F762,S763"," -F4258,S4259+F772,S773"," -F4258,S4259+F775,S776"," -F770,S769+F782,S783"," -F770,S769+F778,S777"," -F767,S768+F779,S780"," -F791,S790+F788,S789"," -F4261,S4262+F764,S765"
[2.52],[14.62],[87.55],[96.56],[314.84],[111.74],[1.41],[276.63],[11.55]
0.57,15.59,112.35,123.38,407.78,148.11,1.72,360.89,10.99
0.69,14.53,106.55,117.05,384.4,139.99,1.7,342.41,10.42
0.55,14.33,104.28,115.13,381.54,138.74,1.62,338.68,10
0.46,14.63,103.97,114.72,387.84,141.44,1.61,344.48,10.08
0.62,14.15,102.6,112.48,369.16,133.3,1.65,328.39,9.9
0.6,14.5,101.93,112.46,371.61,135.23,1.51,331.86,9.94
0.69,14.23,105.99,116.64,372.19,137.09,1.57,329.35,10.03
0.61,15.1,107.71,118.5,393.28,143.74,1.68,348.83,10.47
0.52,14.73,99.95,109.87,361.4,129.89,1.6,324.09,10.32
0.53,14.3,101.37,111.26,367.3,133.89,1.55,325.76,9.72
0.75,14.82,100.34,110.59,361.82,130.46,1.6,323.13,10.57
0.69,14.29,95.69,105.4,339.53,122.43,1.55,304.87,9.76
0.8,14.25,97.45,107.31,346.12,124.94,1.48,311,10.05
0.51,14.31,100.24,109.98,348.18,126.34,1.56,309.66,9.91
0.68,14.2,103.52,113.72,364.75,133.56,1.66,323.88,10.33
0.63,15.37,107.83,118.21,382.59,139.15,1.74,342.03,11.05
3.15,15.6,98.39,107.54,344.58,126.28,1.45,300.47,13.4
2.82,13.91,94.51,103.52,327.79,121.68,1.33,281.41,11.91
3.32,13.7,89.91,98.73,307.93,114.53,1.39,264.51,12.03
3.19,13.63,86.88,95.63,304.76,111.87,1.24,264.76,11.77
3.09,13.99,85.34,93.85,300.5,109.81,1.24,261.06,11.87
3.08,13.81,88.54,97.59,316.26,116.19,1.29,272.67,11.64
3.03,13.72,90.3,99.13,320.25,118.89,1.26,275.16,11.66
2.77,14.06,88.57,97.31,315.47,114.7,1.27,275.42,11.51
3.19,14.47,95.15,104.81,343.07,127.04,1.39,296.36,12.07
3.29,13.65,94.31,103.79,326.98,121.72,1.25,280,11.78
3.18,14.03,90.83,100.12,326.43,120.27,1.31,282.15,11.97
3.27,13.7,91.21,100.46,323.43,118.3,1.31,279.62,11.66
3.15,13.9,91.9,101.24,336.59,124.23,1.32,291,11.5
3.55,13.76,92.35,101.86,331.83,122.05,1.29,285.16,11.87
2.95,14.05,95.58,105.1,338.23,124.34,1.38,292.26,12.01
3.2,15,101.8,111.62,361.47,133.72,1.53,312.33,12.75
3.19,14.46,98.62,108.16,348.41,129.02,1.37,297.41,12.3
2.87,13.58,91.74,100.97,325.36,120.33,1.28,277.47,11.3
3.06,13.07,87.87,96.66,315.57,115.79,1.26,269.47,11.09
3.16,12.85,87.85,96.76,319.51,118.02,1.22,273.64,10.82
3.12,12.81,86.76,95.25,306.71,112.29,1.23,262.84,10.72
2.97,12.72,85.79,94.48,307.22,113.45,1.24,264.14,10.79
