" -F4251,S4252+F727,S728"," -F4251,S4252+F729,S730"," -F4251,S4252+F739,S740"," -F4251,S4252+F742,S743"," -F737,S736+F749,S750"," -F737,S736+F745,S744"," -F734,S735+F746,S747"," -F758,S757+F755,S756"," -F4254,S4255+F731,S732"
[2.80],[14.66],[87.35],[96.22],[311.70],[111.31],[1.38],[272.71],[11.71]
1.14,15.21,107.65,117.99,383.6,140.65,1.63,334.19,9.74
1.19,14.8,101.43,111.71,362.21,132.56,1.55,316.39,9.49
0.72,15,98.81,108.72,356.91,130.79,1.5,311.12,9.02
1.03,15.11,98.67,109.04,362.65,133.23,1.55,316.77,9.26
1.07,14.79,97.47,107.35,344.71,125.56,1.51,302.48,8.91
1.28,14.59,97.4,107.24,348.54,127.83,1.47,306.23,8.97
0.77,14.29,100.23,110.15,348.97,129.05,1.48,302.39,8.55
0.81,15.27,101.98,112.59,369.7,135.96,1.66,322.5,9.3
0.92,14.88,94.7,104.45,338.51,122.81,1.55,298.94,9.46
1.25,14.2,96.18,106.21,343.27,126.64,1.46,299,8.71
1.03,14.52,94.72,104.78,338.54,123.55,1.46,295.6,9.08
0.77,14.29,90.46,99.82,318.96,115.95,1.48,280.85,8.57
1.09,14.69,92.61,102.01,324.71,118.34,1.38,285.86,9.13
1.09,14.43,95.32,104.99,327.04,120.39,1.49,285.9,9.07
1.27,14.47,99.36,108.93,345.21,127.67,1.49,299.09,9.21
0.64,16,103.36,113.27,362.83,132.63,1.65,317.93,10.59
3.34,15.33,97.65,106.88,341.34,125.39,1.53,296.65,12.78
3.16,14.05,92.56,101.62,322.15,119.7,1.35,276.69,11.36
3.03,13.4,87.77,96.35,301.63,111.69,1.32,259.76,11.08
3.05,13.64,85.3,93.72,299.16,109.87,1.23,259.28,11.02
2.86,13.41,83.65,92.06,294.43,107.76,1.33,255.85,10.95
2.88,13.91,87.05,96.02,310.75,114.32,1.25,267.39,11.52
2.97,13.5,88.15,97.45,315.1,116.91,1.35,269.57,11.12
2.86,13.93,86.22,95.04,309.28,112.5,1.33,269.3,11.42
3.05,14.03,92.96,102.73,336.15,124.66,1.36,288.51,11.7
2.92,13.43,92.71,102.09,320.78,119.72,1.28,273.19,10.15
2.84,13.96,88.74,97.62,318.82,117.48,1.34,277.36,11.42
2.8,13.92,89.64,98.48,317.15,116.48,1.26,273.56,11.03
3.03,13.82,90.43,99.59,329.27,121.76,1.26,283.15,10.96
3.05,13.57,90.19,99.33,325.13,119.62,1.29,279.19,11.16
3.44,14.02,94.23,103.62,332.68,122.84,1.36,286.27,11.58
3.02,14.94,100.4,110.27,357.77,132.37,1.52,307.29,12.11
2.77,14.49,98.31,108.11,346.9,128.24,1.4,295.78,11.75
2.85,13.49,91.19,100.1,322.37,120,1.25,275.87,10.66
2.68,13.08,87.54,96.47,314.22,116.14,1.28,268.25,10.26
2.45,13.42,87.05,95.77,318.12,117.93,1.2,272.02,10.04
2.52,13.01,85.61,94.53,304.92,111.93,1.16,262.08,10.03
2.42,13.06,85.04,93.71,307.19,113.62,1.19,264.78,10.12
2.54,13.39,89.36,98.52,308.07,114.76,1.19,261.59,10.41
2.86,13.59,89.36,98.36,320.77,118.72,1.25,274.79,10.89
2.34,13.39,83.12,91.33,294.43,107.46,1.21,255.1,10.45
2.43,13.34,84.91,93.63,301.55,112.31,1.22,257.33,10.34
2.34,13.48,83.74,92.37,298.23,109.93,1.17,257.19,10.46
2.75,13.01,81.22,89.52,284.76,104.87,1.2,245.55,10.36
2.53,13.18,82.66,90.82,291.43,107.38,1.2,250.68,10.3
2.43,13.14,85.5,93.58,293.59,109.55,1.24,250.36,10.18
2.37,13.62,90.56,98.85,313.88,117.19,1.35,268.62,10.88
2.52,15.13,95.95,104.89,335.41,122.78,1.49,292.06,12.14
2.5,15.16,96.24,105.42,336.29,123.91,1.56,291.54,12.06
2.37,13.36,90.18,98.97,311.37,116.28,1.35,265.39,10.47
2.71,12.99,85.46,93.92,293.17,109.76,1.19,249.16,10.18
2.59,12.87,82.42,90.65,288.9,106.11,1.16,248.15,10.06
2.37,13.07,80.19,88.05,284.26,104.31,1.13,244.18,10.27
2.29,13.12,83.52,91.97,295.9,109.31,1.11,252.85,10.23
2.52,12.98,84.78,93.27,298.46,111.48,1.21,253.73,10.26
2.53,13.11,82.35,90.75,293.37,107.51,1.29,252.72,10.37
2.53,13.77,87.62,96.55,313.92,116.74,1.26,267.26,10.62
2.61,13.17,88.09,96.99,302.8,112.97,1.18,256.52,10.3
2.59,12.92,84.76,93.31,303.83,112.18,1.23,260.6,9.93
2.8,12.64,85.08,93.63,301.81,110.99,1.23,257.37,9.91
2.84,12.89,86.6,95.29,314.48,116.61,1.23,268.8,10.28
2.9,13.2,87.05,95.74,309.66,114.27,1.22,264.08,10.47
3.04,13.93,90.7,99.62,319.47,118.11,1.4,272.74,10.64
2.55,14.3,97.43,106.85,343.38,127.14,1.39,292.01,10.91
2.49,14.58,97.1,106.67,335.11,121.9,1.39,290.38,11.19
2.16,13.76,90.11,98.81,319.01,118.27,1.29,272.58,10.7
2.43,13.75,86.95,95.55,311.9,115.04,1.21,265.63,10.9
2.7,13.28,87.08,95.87,315.52,117.08,1.21,270.43,10.54
2.74,13.17,85.89,94.54,303.24,111.55,1.25,259.12,10.33
2.75,13.03,85.4,93.87,306.18,113.38,1.22,262.3,10.01
2.38,13.03,88.47,97.21,305.98,114.5,1.26,258.69,9.96
2.42,13.73,87.66,96.53,315.93,117.77,1.29,268.94,10.64
2.48,13.52,83.35,91.57,294.15,108.14,1.26,253.72,10.51
2.75,13.16,85.43,94,300.74,112.39,1.11,255.51,10.01
2.42,12.69,84.12,92.52,297.5,109.97,1.19,255.29,9.92
2.38,13.05,80.92,88.86,285.43,104.87,1.19,245.4,10.03
2.36,13.26,82.44,90.74,289.57,106.27,1.19,248.68,10.07
2.53,13.01,85.48,94.09,294.72,110.12,1.18,250.78,10.35
2.58,13.52,91.51,100.23,314.44,117.76,1.26,267.88,10.61
2.67,15.04,96.92,106.03,338.04,123.8,1.5,292,11.86
1.68,14.55,97.61,107.12,345.07,126.81,1.48,298.14,11.3
1.69,13.02,93.31,102.16,322.2,120.71,1.27,273.39,10.23
1.47,12.57,86.58,95.32,300.57,112,1.19,255.34,9.82
1.4,12.68,83.74,92.3,295.86,108.73,1.12,253.72,9.67
1.56,12.68,82.46,90.64,293.69,107.98,1.2,251.38,9.59
1.61,12.78,85.5,93.69,305.59,112.87,1.17,262.09,9.72
1.48,12.7,86.34,94.77,308.57,114.91,1.24,262.37,9.61
1.55,12.95,84.33,92.49,302.29,111.07,1.24,260.01,9.82
1.61,13.35,89.32,98.45,323.97,121.46,1.2,274.53,10.07
1.69,12.6,89.77,98.63,310.84,115.9,1.2,263.87,9.63
1.64,12.74,86.33,94.79,311.98,115.19,1.2,267.22,9.86
1.64,12.84,86.26,94.54,307.72,112.63,1.17,265.35,9.68
1.65,12.88,87.94,96.69,322.61,119.46,1.22,276.16,9.58
1.43,12.85,87.31,95.87,315.89,115.91,1.18,268.55,9.9
1.62,13.08,90.81,99.67,324.53,120.26,1.22,276.51,10.01
1.55,13.82,97.95,107.37,346.83,128.75,1.38,295.82,10.62
3.12,15.53,100.01,109.51,355.81,131.35,1.46,302.06,11.9
3.32,14.45,94.01,102.96,335.9,123.24,1.32,286.17,11.21
3.13,14.46,91.49,100.26,331.03,121.61,1.25,281.23,11.07
2.88,14.15,91.4,100.27,336.1,123.79,1.31,288.19,10.79
2.5,14.25,89.27,97.98,321.04,117.74,1.3,274.16,10.88
2.97,13.99,90.04,98.76,325.11,119.87,1.2,278.21,11.08
2.75,14.15,93.26,102.26,325.64,121.7,1.32,274.39,10.95
2.93,14.87,94.83,103.84,341.52,127.47,1.35,290.28,11.27
2.6,14.42,88.9,97.38,316.89,116.48,1.26,270.84,11.34
2.45,14.49,90.81,99.55,322.58,120.72,1.21,272.88,11
2.49,14.41,89.77,98.43,320.09,118.69,1.21,274.96,11.12
2.98,14.09,86.57,94.95,306.36,112.48,1.27,262.22,11.1
