" -F4265,S4266+F793,S794"," -F4265,S4266+F795,S796"," -F4265,S4266+F805,S806"," -F4265,S4266+F808,S809"," -F803,S802+F815,S816"," -F803,S802+F811,S810"," -F800,S801+F812,S813"," -F824,S823+F821,S822"," -F4268,S4269+F797,S798"
[2.57],[14.62],[88.71],[97.65],[316.35],[112.51],[1.35],[276.40],[11.73]
2.78,14.94,98.96,108.71,350.05,127.74,1.49,304.06,13.06
2.55,13.14,90.63,99.31,311.61,115.02,1.22,266.94,11.02
2.61,12.68,84.52,93.1,299.87,109.33,1.17,258.56,11.07
2.54,12.77,83.07,91.5,290.27,106.95,1.16,249.62,10.99
2.63,12.5,82.11,90.46,289.54,105.87,1.16,250.13,10.22
2.43,12.85,85.64,94.5,302.9,112.17,1.15,259.42,10.58
2.93,12.62,86.68,95.64,306.33,114.38,1.2,260.61,11
2.91,12.94,84.51,93.04,297.82,108.48,1.14,256.9,10.97
2.75,13.48,92,101.48,327.12,120.91,1.23,282.24,11.43
2.79,12.58,87.07,96.09,313.75,116.03,1.26,266.98,10.68
2.74,12.63,87.04,95.57,306.78,112.34,1.13,264.15,10.57
2.86,12.79,86.9,95.91,309.26,113.29,1.21,267.51,10.91
2.93,13.09,90.25,99.59,325.88,122.09,1.2,278.47,11.12
2.29,13.59,88.54,97.72,319.62,117.83,1.19,273.95,10.94
2.47,13.63,91.63,101.02,321.95,119.16,1.27,277.02,11.11
2.72,13.65,97.69,106.88,345.56,127.88,1.34,296.74,11.38
1.83,12.8,95.63,104.8,338.46,125.02,1.29,289.48,10.61
1.52,12.28,89.3,98.19,315.2,116.96,1.19,270.87,9.98
1.51,12.28,86.43,95.15,313.1,116.11,1.21,266.99,9.82
1.58,12.08,87.89,96.99,319.25,119.96,1.21,271.68,9.89
1.89,11.98,84.37,92.89,302.69,111.38,1.14,260.58,9.86
1.61,11.86,84.33,92.96,299.85,110.52,1.14,257.51,9.6
1.57,12.08,84.38,93.04,304.89,112.96,1.19,259.96,9.5
1.67,12.54,88.24,97.15,316.01,117.19,1.17,271.3,9.87
1.8,12.2,82.61,90.64,290.92,106.62,1.15,250.9,9.83
1.82,11.87,84.46,92.88,299.21,111.65,1.19,255.11,9.66
1.65,11.96,84.31,92.81,297.78,110.92,1.14,254.51,9.57
1.73,11.64,80.43,88.42,285.9,104.71,1.13,245.99,9.44
1.78,11.9,81.83,89.88,285.82,105.28,1.08,245.98,9.58
1.63,11.85,83.19,91.3,297.27,108.55,1.14,255.17,9.89
1.7,12.44,89.15,97.99,308.5,114.46,1.21,264.57,10.01
1.85,13.83,98.34,107.96,349.34,127.96,1.53,303.23,11.83
3.05,15.43,99.21,108.66,351.3,128.59,1.52,305.96,13.03
2.81,13.54,89.71,98.15,309.44,114.96,1.19,265.99,11.12
2.98,12.98,83.7,91.99,299.6,109.48,1.17,257.82,10.89
2.96,12.93,81.6,89.86,285.71,104.9,1.18,246.9,10.73
2.88,12.73,80.7,88.58,286.58,104.95,1.11,246.9,10.47
2.76,13.19,84.22,92.6,298.08,110.78,1.18,255.27,10.85
2.8,13.3,84.92,92.99,298,111.35,1.09,254.39,10.87
2.53,13.41,82.68,90.82,291.58,107.33,1.24,250.4,10.99
2.86,13.66,88.2,96.9,314.93,117.34,1.18,269.18,11.17
2.72,12.85,84.75,93.45,305.09,113.39,1.09,260.42,10.73
2.81,13.08,84.84,93.35,300.22,110.36,1.2,257.53,10.88
2.54,13.08,83.85,92.13,302.83,111.48,1.18,260.38,10.81
2.75,13.08,88.04,96.85,319.11,120.17,1.17,271.42,10.8
2.68,13.39,86.48,95.24,312.74,116.23,1.15,265.85,10.74
2.63,13.47,89.03,97.78,314.49,116.28,1.19,270.14,10.82
3.07,14.14,95.27,104.45,335.65,124.02,1.37,287.15,11.6
2.73,14.47,95.22,104.34,337.44,124.14,1.29,287.87,11.45
2.9,13.99,89.71,98.71,317.29,116.9,1.26,271.74,11.22
2.8,13.41,86.69,95.15,314.85,116.1,1.15,267.97,10.44
2.85,13.23,89.17,97.89,324.41,121.65,1.16,275.63,10.68
2.37,13.11,84.89,93.29,307.44,113,1.12,263.14,10.33
2.41,13.4,85.31,93.52,303.53,111.54,1.13,259.94,10.85
2.46,13.36,85.78,94.34,308.41,113.91,1.09,262.36,10.65
2.82,13.86,89.27,97.96,315.82,117.95,1.19,270.49,11.44
2.64,13.28,83.9,91.88,295.88,108.74,1.1,253.91,10.95
2.52,13.13,85.55,94.05,302.2,112.59,1.16,257.7,10.46
2.54,13.02,84.7,93.27,301.71,111.67,1.16,259.34,10.85
2.78,13.1,81.4,89.61,289.61,105.87,1.2,249.23,10.67
2.49,13.12,82.82,90.65,289.36,106.64,1.11,248.21,10.49
2.51,13.1,84.2,92.27,301.62,109.9,1.15,259.54,10.93
2.53,13.77,91.06,99.45,313.67,116.19,1.23,268.47,11.33
2.42,15.79,99.36,108.44,353.65,129.16,1.51,308.83,12.98
2.86,16.19,102.22,111.84,364.68,132.86,1.54,316.22,13.24
2.72,13.73,93.03,101.99,322.78,119.13,1.27,275.19,11.1
2.93,13.56,88.07,96.41,314.14,114.69,1.13,268.86,11.04
2.77,13.48,86.55,94.63,300.31,110.97,1.08,256.81,11.3
2.64,13.56,84.51,92.76,300.81,110.28,1.12,258.45,10.95
2.67,13.67,88.11,97.12,314.05,116.65,1.14,267.92,10.79
2.7,13.77,89.11,97.43,314.42,117.2,1.18,266.6,10.73
2.7,13.65,86.11,94.68,304.61,111.7,1.18,261.61,11.07
2.83,14.25,93.15,102.24,331.31,124.59,1.18,280.66,11.67
2.69,13.68,88.32,97.25,318.48,117.95,1.15,269.7,11.16
2.55,13.64,88.3,96.97,312.82,115.01,1.14,267.77,10.74
2.82,13.56,87.94,96.63,315.88,116.42,1.19,270.73,10.88
3.02,13.87,91.7,101.04,335.64,126.19,1.16,284.78,10.97
2.69,14.18,89.47,98.3,324.76,119.44,1.14,277.56,11.18
2.52,14.15,91.62,100.6,325.67,119.93,1.24,279.12,11.39
2.61,14.25,96.88,106.17,344.35,127.2,1.27,293.7,11.63
2.46,15.13,100.86,110.43,361.16,133.11,1.31,309.82,12.38
2.63,15.08,96.06,105.16,343.6,126.36,1.3,295.58,11.96
2.54,15.27,94.6,103.62,345.26,127.29,1.23,293.12,12.1
2.79,14.76,97.65,107.06,355.16,133.34,1.15,301.57,12.07
2.69,14.11,93.94,102.83,337.6,124.39,1.24,288.93,11.47
2.59,14.31,94.58,103.32,333.87,123.13,1.24,284.37,11.42
2.59,14.43,94.08,103.41,341.12,126.78,1.16,288.24,11.72
2.55,15.3,101.04,110.29,357.75,134.68,1.27,302.58,12.17
2.79,14.9,93.25,102.21,329.28,121.54,1.23,280.4,12.2
2.95,14.45,95.03,104.04,337.58,126.87,1.21,284.66,11.53
2.64,14.44,94.32,103.97,337.06,125.67,1.21,286.19,11.73
2.66,14.2,90.19,98.78,320.77,117.68,1.26,274.13,11.37
2.53,14.34,91.68,100.63,321.25,119.07,1.16,273.79,11.52
2.68,14.46,93.33,102.19,337.74,123.81,1.17,288.16,11.88
2.57,14.95,98.36,107.52,342.64,127,1.22,291.32,12.07
2.8,16.52,106.63,116.54,382.8,140.47,1.45,331.55,13.85
1.64,17.77,122.5,133.38,429.89,159.98,1.53,365.2,14
1.67,16.84,117.86,128.02,404.38,152.16,1.49,337.42,12.97
1.73,16.16,112.99,123.19,406,149.83,1.41,338.86,13.15
1.78,16.47,111.41,121.93,385.57,143.94,1.34,323.11,12.99
1.84,15.7,105.97,115.68,371.5,137.24,1.35,315.4,12.27
1.63,16.65,115.07,125.74,401.87,151.12,1.45,334.95,12.81
1.75,16.65,114.88,125.32,400.89,152.36,1.45,332.38,12.44
1.62,16.54,111.43,121.55,388.23,143.67,1.49,326.65,13.16
1.76,16.91,119.67,130.34,423.61,160.34,1.58,355.2,13.21
1.64,16.13,113.09,123.41,403.17,151.11,1.52,335.66,12.51
1.66,16.64,112.95,123.15,392.88,145.29,1.44,330.17,12.77
1.71,16,114.92,125.3,407.05,151.13,1.49,340.78,12.45
1.74,15.76,112.89,123.44,404.58,151.06,1.47,342.76,12.31
