" -F4237,S4238+F661,S662"," -F4237,S4238+F663,S664"," -F4237,S4238+F673,S674"," -F4237,S4238+F676,S677"," -F671,S670+F683,S684"," -F671,S670+F679,S678"," -F668,S669+F680,S681"," -F692,S691+F689,S690"," -F4240,S4241+F665,S666"
[2.79],[14.63],[87.19],[95.99],[310.03],[110.78],[1.33],[271.15],[11.93]
3.16,14.83,96.82,105.95,337.27,123.74,1.54,291.95,13.01
2.78,13.57,91.03,99.85,316.35,117.69,1.35,269.92,11.62
3,13.1,86.32,94.52,294.75,109.48,1.26,252.54,11.53
3.09,13.29,83.4,92.12,291.84,107.17,1.19,252.24,11.71
3.05,13.02,81.64,89.98,287.65,105.46,1.2,247.4,11.25
2.84,13.2,84.93,93.79,302.27,111.02,1.23,260.13,11.38
3.46,12.84,86.65,95.4,308.01,114.46,1.32,262.98,11.36
3.4,13.38,84.3,93.07,301.1,109.4,1.3,261.03,12.39
3.07,13.85,90.53,99.91,327.05,120.82,1.32,280.91,12.11
3.01,12.98,90.17,99.42,311.73,116.19,1.24,264.98,11.3
3.2,13.14,86.6,95.45,309.93,114.27,1.28,268.09,11.18
3.47,12.79,87.8,96.71,308.25,113.29,1.19,265.74,11.37
3.15,13.59,88.41,97.49,320.42,118.16,1.25,276.19,11.79
3.17,13.7,88.57,97.68,318.54,117.33,1.21,272.92,11.99
3.12,13.67,92.81,101.98,326.17,120.9,1.38,280.25,11.96
3.13,14.38,99,108.9,351.5,130.59,1.47,299.99,12.44
2.42,13.81,97.36,106.79,344.75,128.27,1.34,294.81,11.86
1.81,12.63,90.25,99.31,320.03,119.01,1.24,274.33,10.47
1.9,12.42,86.14,94.7,311.01,115.22,1.24,265.61,10.31
1.82,12.48,85.91,95.02,315.12,117.06,1.21,270.28,10.28
1.68,12.29,84.94,93.4,301.58,111.25,1.21,258.54,9.59
2.01,12.31,83.95,92.89,302.96,111.76,1.2,262.05,9.98
2.11,12.04,87.43,96.33,303.97,113.72,1.19,258.36,9.93
1.97,12.77,87.33,96.4,316.21,117.39,1.22,270.36,10.24
1.93,12.57,81.96,90.3,293.55,107.18,1.18,253.73,10.52
1.9,12.4,84.28,92.54,300.18,111.99,1.2,255.66,10.05
2.01,12.3,83.67,92.05,296.98,109.6,1.17,254.9,10.2
1.84,12.04,79.85,87.85,284.08,104.47,1.2,243.08,9.66
1.9,12.18,81.87,89.96,288.51,106.36,1.17,248.72,9.89
1.99,12.25,84.94,93.44,292.14,108.81,1.21,248.48,9.95
2.04,12.5,89.5,98.15,312.11,116.51,1.22,266.3,10.44
1.93,14,95.36,104.76,334.59,122.84,1.49,289.71,11.54
3.29,15.32,96.6,106.07,337.69,124.44,1.51,293.33,12.82
2.92,13.64,90.53,99.02,313.7,117.1,1.31,269.12,11.26
3.02,13.38,85.04,93.06,294.46,109.81,1.18,251.43,10.8
3.13,13.39,81.98,90.08,290.14,106.3,1.21,249.68,11.19
3.34,13.09,80.14,87.74,284.75,104.67,1.18,244.99,11.04
3.04,13.28,83.29,91.78,297.21,109.4,1.13,256.14,11.19
3.04,13.41,84.53,92.76,299.39,111.86,1.18,255.25,11.3
2.9,13.85,82.6,90.53,292.91,107.2,1.22,253.56,11.2
3,13.84,87.49,95.86,314.21,117.06,1.2,269.03,11.28
3.16,13.22,87.63,96.25,303.66,113.31,1.19,257.2,10.86
2.9,13.62,84.58,92.92,304.01,112.64,1.26,262.02,11.05
2.97,13.5,84.63,92.5,302.01,111.08,1.25,257.8,11.29
2.99,13.42,86.17,94.92,316.44,117.82,1.18,269.72,11.19
2.8,13.44,86.35,94.9,311.48,115.45,1.22,264.5,10.92
2.93,13.89,89.75,98.51,318.89,118.24,1.28,273.2,11.26
3.11,15.03,97.04,106.6,342.09,126.49,1.43,292.71,11.98
2.88,14.92,97.4,106.79,344.63,127.7,1.38,293.04,12.39
3.04,13.9,90.09,99.03,320.64,118.74,1.35,274.06,11.25
3,13.72,86.75,95.16,313.21,116.03,1.25,266.1,10.97
3.21,13.43,86.85,95.58,319.47,118.19,1.23,272.71,10.88
2.86,13.31,85.76,93.89,305.97,112.41,1.21,261.91,10.71
2.85,13.7,85.28,93.81,307.16,113.12,1.15,264.33,11.32
2.85,13.68,88.42,97.76,308.16,114.83,1.21,261.23,11.05
3,14.13,88.4,97.17,318.35,118.52,1.2,271.58,11.56
2.99,13.78,84.09,92.32,298.18,109.55,1.22,256.05,11.32
2.64,13.74,85.86,94.1,303.99,113.57,1.21,258.62,11
2.97,13.69,84.26,92.76,300.5,110.86,1.21,258.88,11.26
2.6,13.71,81.13,88.95,288.33,105.67,1.2,247.65,10.84
2.77,13.27,82.87,90.77,292.33,107.25,1.19,251.42,10.97
3.06,13.59,85.53,94.06,296.82,110.29,1.18,252.73,11.16
2.72,13.86,91.6,100.43,318.13,118.85,1.2,270.44,11.46
2.93,15.7,96.34,105.55,339.28,124.37,1.44,294.93,13.02
3.11,15.74,99.41,108.86,349.48,128.15,1.42,302.1,13.04
3.11,14.18,95.98,105.08,328.72,122.89,1.29,278.87,11.6
2.98,14.1,89.1,98.05,308.48,115.04,1.23,261.04,11.26
3.09,14.29,86.48,94.85,303.72,111.76,1.2,261.04,11.2
2.91,14,84.24,92.44,299.05,110.02,1.17,256.32,11.35
2.97,13.75,87.1,95.96,311.82,115.76,1.22,266.73,11.27
3.12,13.73,88.94,97.64,314.25,117.28,1.19,265.5,11.12
3.25,14.39,86.47,94.82,307.04,112.57,1.2,264.83,11.4
