" -F4146,S4147+F232,S233"," -F4146,S4147+F234,S235"," -F4146,S4147+F244,S245"," -F4146,S4147+F247,S248"," -F242,S241+F254,S255"," -F242,S241+F250,S249"," -F239,S240+F251,S252"," -F263,S262+F260,S261"," -F4149,S4150+F236,S237"
[2.51],[14.43],[88.31],[97.21],[312.81],[111.57],[1.35],[274.40],[11.35]
0.9,16.67,119.48,131.41,433.43,155.91,1.77,385.11,12.34
0.73,15.1,109.16,120.24,396.32,143.69,1.12,351.31,10.84
0.88,14.7,106.7,117.93,392.59,143.07,1.6,348.45,10.6
0.84,14.61,106.09,116.92,387.2,142.31,1.57,342.47,10.44
0.57,14.6,107.02,118.54,390.56,143.29,1.62,343.44,10.27
0.68,14.52,100.96,110.9,368.38,133.11,1.54,326.96,10.18
0.74,14.28,101.15,111.5,370.97,134.69,1.54,324.54,10.41
0.86,14.42,103.05,113.6,374.4,136.52,1.5,334.03,10.17
0.78,15.17,102.9,112.83,375.35,133.86,1.57,334.45,10.79
0.53,14.28,99.1,109.29,356.78,128.79,1.53,317.4,10.45
0.76,14.33,99.92,109.87,357.64,130.09,1.52,316.57,10.4
0.78,14.42,99.35,109.21,353.93,127.11,1.52,315.96,10.3
0.79,13.87,96.68,106.49,346.69,123.61,1.49,311.8,10.28
0.81,14.37,100.05,110.2,360.35,131.43,1.48,319.41,10.45
0.73,14.1,101.69,111.8,368.76,133.9,1.38,326.06,10.43
0.72,15.01,101.79,111.57,356.84,128.9,1.57,317.88,10.59
3.18,14.7,91.43,100.17,318.05,116.29,1.35,275.13,12.88
3.24,14.13,91.36,100.26,328.18,120.79,1.33,282.17,12.35
3.26,13.76,89.41,98.32,317.29,117.57,1.31,272.13,12.12
3.28,13.63,86.38,94.92,304.1,110.18,1.33,264.95,12.07
3.35,14.1,87.95,96.5,308.65,112.51,1.3,266.9,12.39
3.43,13.86,88.29,97.13,311.6,115.08,1.19,267.8,12.12
3.25,13.73,87.8,96.67,311.63,114.31,1.37,268.76,12.2
3.5,14.29,91.71,100.1,329.24,118.54,1.29,285.48,12.53
3.25,13.8,90.49,99.75,324.87,119.61,1.31,281.12,12.29
3.35,13.82,89.7,98.51,324.74,119.23,1.24,275.8,12.23
3.16,13.81,89.43,98.32,320.99,117.73,1.25,277.09,12.07
3.45,13.7,94.85,104.62,341.38,126.8,1.28,289.69,12.03
3.5,13.89,93.35,103.13,335.86,125.12,1.24,288.01,12.1
3.87,14.31,95.16,104.87,343.29,126.7,1.38,296,12.66
3.63,14.93,98.24,107.87,352.23,129.5,1.33,301.91,13.02
3.45,16.48,111.94,122.83,395.17,144.29,1.62,340.74,14.18
3.38,15.91,109.68,120.22,385.48,141.77,1.48,328.87,13.53
3.17,13.93,94.58,104.25,336.05,123.9,1.22,285.33,11.66
3.15,13.8,91.09,100.31,326.64,120.69,1.26,279.64,11.84
3.33,13.14,89.06,98.31,318.02,118.55,1.22,270.75,11.31
3.13,12.92,90.32,99.72,323.51,120.47,1.18,273.02,10.85
2.91,12.74,85.28,93.6,303.22,110.84,1.15,260.31,10.92
2.77,12.64,84.86,93.47,307.66,113.01,1.17,258.8,10.92
3.02,12.96,85.87,94.63,308.81,113.31,1.12,265.23,11.27
3.14,13.65,85.71,94.09,307.02,110.33,1.24,265.66,11.45
3.03,12.99,83.22,91.26,293.82,107.64,1.17,252.03,11.19
2.81,12.82,83.49,91.62,295.32,109.07,1.19,252.42,10.94
2.89,13.12,83.59,91.82,293.45,107.1,1.19,252.25,11.2
2.74,12.8,82.72,91.02,291.9,106.12,1.2,251.83,11.32
2.85,13.01,85.39,93.83,300.7,110.94,1.19,256.6,11
2.96,13.18,87.72,96.38,314.09,115.86,1.22,267.54,11.29
2.87,14.15,88.33,96.77,306.4,112.23,1.25,262.86,11.81
3.09,13.84,88.21,96.61,305.29,112.05,1.24,260.14,11.53
2.93,12.99,87.48,96.17,310.91,114.99,1.17,265.5,11.09
2.92,13.02,84.58,92.99,298.33,110.7,1.14,254.01,11.29
3.11,12.92,81.77,89.99,287.65,104.78,1.14,248.07,11.04
2.88,12.65,82.94,91.13,291.15,106.61,1.09,249.2,10.84
3.02,12.53,83.08,91.26,291.26,107.66,1.17,247.92,10.77
3.01,12.8,83.08,91.33,290.88,106.84,1.19,248.68,11.05
3.21,13.94,82.86,91.25,298.86,107.62,1.19,258.09,11.74
2.94,13.27,84.63,93.05,303.51,111.87,1.18,259.67,11.01
2.88,12.44,83.98,92.8,303.78,112.1,1.2,253.55,11.08
3.12,12.72,84.54,92.79,300,110.23,1.16,256.4,10.75
3.21,12.86,89.45,98.42,318.81,119.29,1.19,268.97,10.9
3,13.34,88.21,96.79,313.61,117.19,1.22,265.78,11.23
3.02,13.67,89.71,98.76,321.27,119.7,1.22,273.38,11.6
2.97,13.71,93.49,102.79,330.83,122.23,1.3,281.56,11.78
3.42,15.69,109.21,119.95,380.65,141.09,1.47,324.42,13.14
2.35,15.24,108.83,119.49,383.59,141.54,1.49,327.41,12.56
2.05,13.05,93.09,101.9,330.94,122.78,1.17,281.48,11.03
1.94,12.88,88.79,97.69,323.21,120.08,1.19,276.04,10.92
2.08,12.37,87.44,96.04,314.32,118.22,1.18,266.69,10.66
2.11,12.35,88.86,97.84,322,120.67,1.14,271.66,10.42
2.08,12.5,83.74,91.99,300.51,110.46,1.15,258.04,10.45
2.16,12.12,84.15,92.55,304.11,112.27,1.13,255.02,10.31
2.22,12.49,84.47,92.75,304.79,112.96,1.1,260.61,10.49
2.18,13.55,82.71,90.93,300.3,109.07,1.17,257.99,11.26
