" -F4188,S4189+F430,S431"," -F4188,S4189+F432,S433"," -F4188,S4189+F442,S443"," -F4188,S4189+F445,S446"," -F440,S439+F452,S453"," -F440,S439+F448,S447"," -F437,S438+F449,S450"," -F461,S460+F458,S459"," -F4191,S4192+F434,S435"
[2.59],[14.25],[86.90],[95.67],[308.24],[110.37],[1.36],[268.37],[11.34]
3.31,15.67,108.67,119.6,391.06,143.06,1.58,334.76,13.42
3.31,15.01,98.24,108.59,354.28,130.83,1.48,306.61,12.65
3.37,14.41,97.75,108.11,349.45,129.15,1.42,300.31,12.55
3.28,13.86,95.3,104.86,337.65,124.69,1.42,291.17,11.87
3.52,14.05,96.53,106.03,337.46,125.57,1.38,288.74,12.06
3.11,13.74,91.27,100.66,330.04,119.63,1.4,288.11,11.99
3.37,13.82,93.55,103.3,337.33,124.16,1.36,289.41,11.95
3.12,14.46,96.51,106.65,350.43,130.27,1.41,302.92,12.51
3.34,14.68,93.01,102.07,331.6,120.09,1.41,291.42,12.35
3.25,14.06,90.11,99.55,323.16,118.18,1.44,278.54,11.96
2.81,13.85,89.47,98.58,319.86,116.96,1.39,276.53,11.89
2.98,14.19,89.4,98.36,315.07,114.63,1.36,273.4,12.09
3.13,14.25,88.19,96.83,311.63,113.13,1.41,272.79,11.97
2.83,13.94,92.64,102.14,323.86,121.02,1.32,279.2,11.76
3.2,13.86,94.46,103.77,332.94,123.02,1.39,285.41,12.12
2.9,15.52,94.52,103.89,333.94,121.47,1.51,290.81,12.86
2.31,13.34,90.56,99.47,319.25,116.67,1.43,276.85,11.67
2.1,12.75,90.07,99.08,316.99,117.56,1.33,270.35,10.97
2.33,12.18,87.59,96.48,306.11,114.73,1.26,262.21,10.89
2.08,12.3,83.06,91.62,293.53,107.17,1.3,255.66,10.67
2.41,12.22,84.5,92.47,298.01,108.99,1.39,257.06,10.47
2.43,12.61,84.44,93.09,300.49,110.55,1.29,258.95,10.78
2.15,12.81,84.75,93.54,304.16,111.65,1.29,261.5,11.05
2.32,12.98,86.43,95.04,310.84,112.32,1.45,272.84,11.34
2.24,12.77,90.66,100.01,330.62,123.83,1.38,281.22,11.09
2.06,12.35,88.31,97.23,318.43,117.61,1.3,270.74,10.8
2.37,12.74,85.7,94.28,309.84,113.17,1.26,268.71,11.07
2.09,12.63,90.66,99.57,317.88,119.09,1.25,269.78,11.1
2.17,12.61,88.43,97.24,316.58,117.78,1.29,270.41,10.76
2.12,13.11,91.23,100.55,325.94,121.04,1.31,278.12,10.86
2.28,13.02,93.24,102.79,337,125.94,1.37,287.26,11.13
2.29,14.39,104.78,115.07,375.27,138.58,1.5,317.92,12.21
3.37,15.27,102.58,113.04,366.06,135.08,1.47,310.54,12.73
3.39,13.77,91.29,100.28,327.1,121.94,1.38,278.23,11.33
3.22,13.65,89.53,98.31,316.29,117.97,1.27,268.04,11.24
3.08,13.28,86.4,95.02,306.84,113.98,1.22,260.27,10.98
3.03,13.18,87.94,96.57,307.81,115.87,1.31,259.46,11.39
3.15,13.2,83.38,91.7,298.91,109.21,1.25,257.87,11.4
3.22,13,85.06,93.78,306.17,113.26,1.16,261.92,11.04
3.45,13.46,87.8,96.54,317.85,118.53,1.28,271.93,11.41
2.86,13.59,83.47,91.87,300.96,109.14,1.3,262.22,11.38
2.95,13.11,82.14,90.49,293.17,107.49,1.28,251.87,11.5
3.04,13.22,82.15,90.39,293.36,107.75,1.23,252.13,11.38
3.22,12.86,82.15,90.34,288.55,105.15,1.2,249.26,11.35
2.93,12.96,81.38,89.37,286.83,104.86,1.25,248.96,10.89
3.38,13.13,85.13,93.76,297.61,111.45,1.23,254.53,11.15
3.1,13.34,88.62,97.02,310.79,115.79,1.27,264.79,11.63
3.15,14.13,89.52,98.03,315.16,115.39,1.33,273.29,12.25
3.12,14.75,89.92,98.28,317.89,115.91,1.39,275.28,12.47
2.82,13.53,88.72,97.22,312.32,116.4,1.3,265.39,11.59
3.2,13.25,85.93,94.39,300.11,112.44,1.18,254.61,11.15
2.73,13.28,81.4,89.1,288.35,104.98,1.2,249.53,11.1
2.74,13.09,81.45,89.5,288.24,105.02,1.19,248.23,11.31
2.82,13.54,81.89,90.19,293.72,108.27,1.21,250.52,11.35
2.8,13.43,82.31,90.48,292.61,107.67,1.16,250.02,11.19
3.12,13.78,83.59,91.63,299.18,109.21,1.23,259.01,11.44
3.01,13.42,87.42,96.24,316.11,118.5,1.23,269.45,11.67
2.81,13.11,84.96,93.48,305.69,113,1.17,259.88,10.88
2.83,13.22,82.96,91.06,300.77,110.12,1.19,257.53,10.97
3.07,12.94,87.34,96.28,306.76,115.14,1.21,258.82,10.76
3.28,13.12,86.73,95.31,307.91,114.65,1.27,260.34,10.9
3.19,13.51,89.32,97.92,315.56,117.77,1.15,266.8,11.17
3.02,14.09,90.97,100.11,326.38,121.26,1.26,277.4,11.65
3.13,15.33,102.94,113.05,365.18,134.67,1.4,308.1,12.66
3.07,15.04,103.61,113.57,365.78,134.89,1.47,308.29,12.34
3.17,14.23,91.47,100.23,327.7,122.09,1.23,277.74,11.78
3.07,13.61,89.89,98.78,317.95,118.36,1.24,269.88,11.6
3.43,13.17,86.95,95.58,308.57,114.52,1.22,262.08,11.07
3.28,12.92,89.18,98,309.53,116.13,1.2,259.28,10.81
2.94,12.87,83.84,92.22,302.52,110.77,1.21,258.7,11
2.98,13.31,85.67,94.54,309.45,114.36,1.18,261.57,10.92
2.91,13.7,87.96,96.9,318.59,119.46,1.23,269.85,11.57
3.27,13.37,84.7,92.77,302.31,110.6,1.19,260.48,11.5
2.99,13.05,83.31,91.62,296.69,109.29,1.22,251.52,11.05
2.9,13.12,82.63,90.88,294.88,108.58,1.2,251.38,11.04
2.7,13.15,82.23,90.66,291.01,106.05,1.19,249.8,11.18
3.02,13.48,81.82,89.84,291.37,105.67,1.2,251.35,11.13
2.95,13.32,86.4,95.02,302.05,113.16,1.26,255.64,11.19
