" -F4097,S4098+F1,S2"," -F4097,S4098+F3,S4"," -F4097,S4098+F13,S14"," -F4097,S4098+F16,S17"," -F11,S10+F23,S24"," -F11,S10+F19,S18"," -F8,S9+F20,S21"," -F32,S31+F29,S30"," -F4100,S4101+F5,S6"
[2.67],[14.55],[89.22],[98.16],[311.13],[111.45],[1.36],[270.16],[11.56]
2.32,13.33,90.31,99.2,316.97,116.27,1.31,272.08,10.68
2.59,13.31,86.99,95.54,308.93,113.71,1.21,263.34,10.64
2.57,12.71,84.27,92.87,298.67,109.79,1.19,256.39,10.6
2.33,12.7,82.37,90.73,292.01,106.25,1.22,252.86,10.51
2.55,12.77,85.19,93.71,297.66,109.73,1.1,255.03,10.34
2.79,12.64,86.31,94.74,303.74,112.99,1.17,258.31,10.33
2.67,13.27,84.72,92.94,299.13,109.27,1.22,257.56,10.77
2.69,13.72,91.5,100.43,314.05,114.23,1.2,269.92,11.16
2.47,12.86,86.33,95.09,311.46,114.25,1.22,265.73,10.45
2.67,12.75,86.32,95.08,307.22,112.53,1.23,262.99,10.47
2.64,13.11,85.67,94.36,308.12,113.03,1.25,264,10.39
2.82,13.22,91.92,100.94,325.77,121.24,1.22,276.53,10.56
2.35,13.31,89.97,99.09,321.85,119.58,1.2,275.16,10.76
2.5,13.73,91.14,100.35,327.84,121.91,1.25,279.57,10.81
2.45,13.97,95.09,104.64,338.63,124.32,1.44,291.25,10.9
2.86,17.17,116.92,127.91,400.83,146.7,1.58,343.87,13.11
1.8,15.85,116.23,127.51,396.91,146.42,1.61,340.34,12.01
1.61,13.24,93.34,102.6,332.58,122.14,1.29,284.47,10.21
1.63,12.55,89.49,98.37,322.2,120.44,1.23,273.13,9.65
1.52,12.44,87.94,96.62,314.79,117.16,1.13,268.11,9.79
1.52,12.34,88.79,97.68,317.68,118.91,1.23,269.24,9.7
1.7,12.28,83.35,91.8,301.19,110.86,1.13,258.06,9.32
1.6,12.02,83.75,92.1,300.25,110.36,1.13,256.79,9.14
1.69,11.96,84.17,92.62,303.97,111.89,1.19,258.55,9.44
1.69,13.06,84.64,93.36,299.43,108.75,1.24,257.88,10.06
1.56,12.28,82.21,90.48,292.16,107.04,1.16,251.99,9.66
1.78,11.93,84.51,92.73,297.92,111.2,1.14,252.35,9.41
1.75,11.86,83.49,91.54,293.07,108.66,1.18,249.93,9.55
1.63,11.69,80.45,88.58,288.05,104.74,1.18,248.07,9.38
1.59,12.11,82.64,91.02,295.59,109.38,1.06,252.41,9.64
1.79,12.44,85.41,93.86,305.35,113.33,1.12,259.33,9.69
1.82,12.53,89.13,97.42,313.81,115.36,1.27,269.5,10.01
2.69,13.7,89.5,98.02,314.71,115.46,1.23,270.84,11.24
2.65,13.35,86.01,94.17,307.88,113.79,1.1,262.49,10.82
2.74,13.24,82.61,90.66,294.43,108.95,1.08,252.46,10.61
2.88,12.97,80.8,88.91,289.7,105.31,1.11,250.62,10.47
2.78,13.03,83.34,91.42,292.83,108.2,1.16,251.04,10.62
2.87,12.97,84.65,92.71,297.9,111.81,1.13,252.72,10.69
2.64,13.51,82.92,90.99,293.04,108.02,1.16,251.71,10.86
2.71,14.55,86.44,94.74,299.21,110.12,1.19,255.7,11.5
2.71,13.19,84.42,92.9,302.94,111.74,1.16,258.58,10.67
2.58,13.23,83.79,91.74,299.73,110.5,1.17,256.47,10.55
2.78,13.41,83.22,91.44,302.54,111.46,1.09,258.09,10.62
2.47,13.39,89.08,97.6,318.59,119.23,1.18,269.26,10.54
2.93,13.37,87.79,96.53,314.05,117.38,1.16,266.28,10.3
2.73,13.66,89.34,98.07,322.73,120.52,1.15,273.46,10.74
2.9,14.43,93.34,102.49,331.37,121.56,1.27,283.32,11.3
2.89,17.38,116.47,127.26,399.02,147.28,1.59,340.08,13.5
2.94,17.58,117.2,127.91,400.19,146.76,1.6,342.89,13.41
2.62,14.37,93.45,102.43,334.94,122.97,1.32,284.65,11.2
2.85,13.75,90.24,99.04,325.11,120.75,1.22,275.88,10.77
2.8,13.28,88.43,97.02,318.1,117.93,1.29,268.2,10.29
2.49,13.41,90.47,99.1,323.87,120.83,1.2,273,10.32
2.67,13.56,84.01,92.17,305.78,112.64,1.11,259.36,10.41
2.53,13.3,84.96,93.29,303.88,111.62,1.11,258.96,10.44
2.37,13.31,84.98,93.1,306.19,112.54,1.16,260.62,10.62
2.79,14.46,86.13,94.71,300.41,110.36,1.23,257.26,11.39
2.65,13.45,84.68,92.87,298.67,109.78,1.09,256.24,10.57
2.38,13.3,85.4,93.64,301.7,112.78,1.15,255.8,10.47
2.69,13.48,84.46,92.65,296.93,109.41,1.16,253.79,10.7
2.57,13.26,81.52,89.7,292.02,105.67,1.14,252.49,10.53
2.57,13.18,84,92.22,299.57,110.78,1.12,254.8,10.61
2.51,13.35,86.88,95.31,310.71,114.76,1.23,264.42,10.61
2.42,14.11,90.16,98.71,317.47,116.58,1.3,272.95,11.29
2.6,13.93,92.56,101.4,325.76,119.17,1.21,279.46,11.14
2.97,14.01,90.58,99.27,322.03,119.31,1.12,273.73,10.93
