" -F4307,S4308+F991,S992"," -F4307,S4308+F993,S994"," -F4307,S4308+F1003,S1004"," -F4307,S4308+F1006,S1007"," -F1001,S1000+F1013,S1014"," -F1001,S1000+F1009,S1008"," -F998,S999+F1010,S1011"," -F1022,S1021+F1019,S1020"," -F4310,S4311+F995,S996"
[2.75],[15.01],[90.65],[99.78],[325.13],[115.60],[1.44],[286.25],[12.09]
1.58,15.72,104.99,115.38,375.81,136.68,1.63,329.16,10.86
1.76,15.26,100.34,110.68,363.48,133.31,1.47,318.46,10.6
1.5,15.05,99.35,109.5,360.81,133.21,1.48,313.54,10.37
1.63,14.95,101.87,112.46,371.07,137.98,1.51,322.56,10.46
1.86,14.81,96.08,105.64,339.9,124.03,1.41,297.03,10.44
1.82,14.37,95.56,105.53,345.07,126.22,1.38,301.1,9.97
1.64,14.4,97.18,107.05,346.69,127.58,1.44,302.66,10.29
1.76,15.63,105.03,116,384.04,139.48,1.72,340.4,11.47
1.95,15.29,93.71,103.23,336.08,121.69,1.44,296.83,10.68
2.12,14.48,96.51,105.92,340.73,126.74,1.29,295.99,10.24
1.85,14.6,95.43,105.2,336.33,124.08,1.45,292.7,10.3
1.71,14.04,91.31,100.51,319.83,115.49,1.34,282.69,10.22
1.7,14.88,91.51,101.06,328.65,119.94,1.41,288.82,10.32
1.86,14.87,94.57,103.71,333.6,122.42,1.42,292.57,10.19
2.01,14.59,97.62,107.09,339.73,123.78,1.42,298.84,10.5
2.14,16.94,108.62,119.22,389.57,140.96,1.68,345.95,12.53
3.88,17.04,104.41,114.43,376.04,136.29,1.7,333.08,14.72
3,13.88,91.2,99,317.99,116.77,1.29,275.83,11.32
3.06,13.92,86.98,95.8,308.87,114.16,1.27,266.78,11.69
3.45,13.85,84.71,92.92,302.12,111.4,1.22,261.68,11.86
3.32,13.07,84,92.03,293.57,107.11,1.25,256.11,11.46
3.32,13.71,87.58,96.42,307.45,113.92,1.23,265.9,11.76
3,13.67,87.67,96.56,312.11,116.7,1.22,267.77,12.02
3.36,14.06,85,93.95,306.57,111.62,1.24,267.23,12.15
3.59,14.49,95.61,105.17,345.78,127.12,1.41,299.84,12.69
3.84,13.7,89.66,98.68,317.06,117.1,1.2,271.88,12.03
3.2,13.86,87.42,96.21,314.97,115.31,1.24,272.04,12.02
3.41,13.8,88.05,96.47,310.51,114.13,1.25,267.96,12.16
3.48,13.91,92.5,102.37,337.76,125.76,1.2,289.25,12.18
3.88,13.73,91.55,101.04,329.78,122.46,1.26,281.99,12.11
3.7,14.23,93.07,102.26,334.28,123.37,1.33,288.86,12
3.62,14.59,97.75,107.1,347.42,126.34,1.49,301.77,12.46
3.5,14.76,94.79,103.89,337.11,123.5,1.38,290.01,12.44
3.35,13.94,89.41,98.72,322.99,119.41,1.3,277.78,11.45
3.23,13.28,88.21,97.14,317.03,118.13,1.15,269.88,10.88
3.05,13.28,90.2,99.29,325.95,122.11,1.27,277.32,11.3
2.94,13.23,84.55,93.21,298.73,110.42,1.2,256.63,10.98
2.87,13.36,84.33,92.82,303.75,111.29,1.21,260.4,11.09
3,13.32,85.67,94.29,304.61,112.8,1.26,260.18,11.36
3.36,13.83,91.23,100.1,325.53,120,1.37,280.83,11.68
2.8,13.34,82.03,89.9,294.6,107.45,1.2,255.75,11.59
2.73,12.97,84.91,93.32,300.18,112.74,1.24,255.88,10.6
2.94,13.48,84.84,93.48,298.49,110.92,1.21,255.65,11.4
3.16,13.07,81.67,89.64,284.78,104.47,1.22,245.44,11.19
3.06,13.24,82.07,89.78,291.62,107.39,1.23,250.73,11.22
