" -F4195,S4196+F463,S464"," -F4195,S4196+F465,S466"," -F4195,S4196+F475,S476"," -F4195,S4196+F478,S479"," -F473,S472+F485,S486"," -F473,S472+F481,S480"," -F470,S471+F482,S483"," -F494,S493+F491,S492"," -F4198,S4199+F467,S468"
[2.68],[14.35],[87.37],[96.21],[310.22],[111.00],[1.39],[270.72],[11.50]
1.46,16.14,111.95,123.02,401.75,146.71,1.7,347.01,11.27
1.09,15.26,102.09,112.49,368.17,135.74,1.63,320.24,10.44
1.07,15.25,102.14,112.53,362.49,133.75,1.51,314.56,10.13
1.09,14.73,98.7,108.55,350.7,128.89,1.51,306.18,10.05
1.06,14.48,100.48,110.58,352.49,130.83,1.53,305.09,9.88
1.17,14.56,95.38,105.2,343.1,124.37,1.5,302.2,9.72
1.34,14.4,97.39,107.62,351.84,129.47,1.48,304.44,9.76
1.08,15.13,100.78,111.17,365.65,136,1.51,318.96,9.96
0.98,15.39,96.18,106.05,344.71,124.2,1.51,306.98,10.26
1.09,14.74,93.59,103.03,334.87,122.23,1.44,294.27,10.17
1.36,14.72,93.22,102.89,333.37,121.52,1.5,292.2,10.33
0.98,14.35,93.38,103.01,328.11,119.19,1.51,287.71,9.82
1.23,14.6,91.25,100.69,323.37,116.91,1.41,286.51,10.02
1.16,14.35,96.73,106.27,335.6,125.31,1.44,293.58,9.9
1.07,14.24,97.86,108,344.07,126.86,1.53,298.18,10
1.11,15.39,97.85,107.45,346.67,126.14,1.67,303.46,10.62
3.62,14.96,91.77,100.63,322.18,117.47,1.48,281.35,12.29
3.33,13.89,91.25,100.06,320.6,118.79,1.37,274.05,12.17
3.25,13.82,88.92,97.75,308.84,115.85,1.39,266.27,11.7
3.04,13.23,84.51,92.97,298.1,108.79,1.33,259.79,11.43
3.28,13.13,86.18,94.78,300.49,109.83,1.37,260.16,11.72
2.93,13.69,85.52,93.82,304.95,111.88,1.37,263.21,11.67
2.99,13.8,85.88,94.56,306.58,112.65,1.32,264.76,12.07
3.25,14.08,88.25,97.03,316.47,114.83,1.37,277.7,12.33
3.24,13.88,92.33,101.71,333.59,124.88,1.4,286.38,11.82
3.32,13.6,89.31,98.31,321.35,118.58,1.38,275.26,11.66
2.92,14.17,87.47,96.28,313.93,114.74,1.4,272.41,11.96
3.12,13.82,91.89,101.1,321.94,120.35,1.33,274.53,11.36
3.17,13.77,89.81,99.18,320.53,118.69,1.4,274.76,11.75
3.37,14.1,93.02,102.55,330.94,122.87,1.4,283.13,11.76
3.86,14.53,95.04,104.41,340.04,126.49,1.48,291.13,12.38
3.23,15.69,105.43,115.8,377.65,138.76,1.56,320.98,13.23
3.46,14.99,103.77,114.05,367.21,134.92,1.52,313.21,12.56
2.99,13.46,91.06,100.66,327.31,121.6,1.33,279.08,11.2
3.13,13.46,90.07,98.9,317.11,118.3,1.3,270.07,10.84
3.04,12.91,86.69,95.68,307.78,113.94,1.28,262.9,10.63
2.83,12.93,88.55,97.34,309.62,116.13,1.28,261.49,10.64
2.96,13.22,83.7,92.14,299.71,109.35,1.32,260.19,11
2.91,13.34,85.55,94.57,308.97,114.42,1.25,263.32,11
2.87,13.39,88.81,97.74,320.08,119.7,1.31,274.31,11.17
2.9,13.55,84.8,93.37,302.84,110.18,1.34,263.39,11.02
2.77,13.3,82.71,91.02,293.88,107.79,1.28,252.28,11.01
2.77,13.42,82.02,90.24,293.59,108.02,1.2,253,11.01
2.92,13.35,82.61,90.77,288.91,105.47,1.27,250.71,11.06
2.91,13.15,81.73,89.7,287.6,105.08,1.32,249.69,10.96
2.8,12.96,85.78,94.41,299.25,112.11,1.26,255.87,11.06
2.84,13.67,89.02,97.43,311.62,115.85,1.24,265.6,11.25
2.53,14.58,89.27,97.87,315.44,115.18,1.37,274.1,11.82
2.6,14.25,89.73,98.16,316.38,115.22,1.38,273.43,11.79
2.87,13.08,88.91,97.4,310.88,115.88,1.3,264.38,11.13
3.03,13.04,85.93,94.46,297.42,111.97,1.22,252.81,10.93
2.79,13.43,81.21,89.36,287.11,104.55,1.25,248.33,10.98
2.74,12.87,81.59,89.82,287.21,104.92,1.29,247.73,10.85
2.67,12.94,81.61,89.75,292.01,107.93,1.21,250.29,10.71
2.68,13.32,81.84,89.89,291.07,106.93,1.19,249.33,10.7
2.84,13.32,83.44,91.57,298.14,108.56,1.23,258.84,11.08
2.96,13.48,87.42,96.44,315.72,118.31,1.19,268.09,11.29
3.07,12.9,84.95,93.56,303.91,112.41,1.2,258.61,10.65
2.83,12.97,82.87,91.28,298.84,109.31,1.25,257.24,10.6
3.27,12.74,88.02,96.75,307.35,115.17,1.27,257.84,10.53
3.28,12.78,86.95,95.54,306.86,114,1.22,260.05,10.63
3.15,13.64,89.53,98.23,315.05,117.02,1.25,267.06,11.22
3.15,13.77,90.89,100.16,324.81,121.3,1.36,276.16,11.22
3.27,14.88,103.26,113.51,363.33,134.24,1.48,307.59,12.05
2.76,15.28,103.34,113.65,365.09,134.65,1.45,309.38,12.29
2.92,14.01,91.05,100.22,325.09,120.67,1.36,277.72,11.49
2.51,13.93,89.2,98.14,316.41,117.63,1.28,269.02,11.57
3.04,13.61,86.63,95.2,307.64,114.03,1.3,261.76,11.15
3.18,13.13,88.84,97.63,308.11,115.82,1.21,260.18,11.17
2.94,13.16,83.86,92.32,300.01,109.62,1.21,259.08,10.85
2.84,12.83,85.87,94.45,307.22,113.88,1.2,261.4,10.64
2.87,13.35,87.42,96.73,314.88,118.05,1.26,268.42,11.2
3.05,13.35,84.24,92.8,300.1,109.94,1.23,260.68,11.28
2.92,13.15,82.97,91.4,294.27,108.53,1.21,251.17,10.81
2.96,13.12,82.53,90.86,294.7,108.82,1.16,251.58,10.83
2.73,12.75,82.01,90.24,289.88,105.83,1.23,249.3,10.85
2.89,13.3,81.84,89.98,290.26,105.65,1.22,250.9,10.96
2.89,13.43,86.33,94.98,300.03,112.98,1.19,255.74,10.99
3.26,13.44,90.37,99.23,314.66,117.33,1.29,266.5,11.16
3.02,14.43,90.21,98.83,318.33,116.24,1.46,274.76,11.81
2.01,14.14,90.71,99.77,324.52,118.58,1.37,280.06,11.16
1.88,13.06,92.22,101.13,323.32,120.39,1.29,274.27,10.54
1.88,12.71,87.54,96.14,307.03,115.46,1.23,260.33,10.2
1.98,12.91,82.63,90.84,295.81,107.82,1.3,255.09,10.21
1.81,12.58,83.71,91.82,297.38,108.43,1.15,256.08,10.12
2.06,12.81,83.61,92.04,300.69,110.87,1.23,257.28,10.33
1.97,12.98,83.9,92.48,300.79,110.97,1.22,256.8,10.42
1.78,13.2,85.25,93.5,307.38,112.53,1.24,266.14,10.48
1.92,13.05,89.32,98.18,322.37,121.82,1.28,273.66,10.56
1.85,12.81,86.95,95.58,314.76,116.65,1.17,267.17,10.07
2.01,12.9,84.97,93.18,306.9,112.14,1.21,264,10.43
1.86,12.46,90.08,98.7,313,117.52,1.22,263.53,10.25
1.85,12.57,87.15,95.76,313.39,116.23,1.27,266.36,10.15
2.02,12.94,89.82,98.65,321.82,119.67,1.35,273.25,10.33
1.92,13.38,91.89,100.93,329.95,122.56,1.31,282.74,10.48
1.93,14.87,103.72,113.64,369.8,136.95,1.48,312.19,11.67
3.51,16.22,105.84,116.01,378.46,138.79,1.48,319.34,13.01
3.63,14.93,95.09,104.21,343.63,127.4,1.3,292.44,11.98
3.4,14.48,94.46,103.49,336.85,125.07,1.28,284.94,11.53
3.43,13.78,91.4,100.08,327.13,121.01,1.27,277.49,11.35
3.18,14.16,93.4,102.07,327.16,122.99,1.37,274.5,11.34
2.89,14.26,87.96,96.58,319.51,117.34,1.34,273.92,11.69
3.14,14.18,90.56,99.53,327.76,121.26,1.26,277.22,11.27
3.17,14.39,93.83,102.79,338.37,127.46,1.26,287.6,11.61
3.12,15,89.98,98.81,322.2,118.2,1.36,277.55,11.91
3.04,14.55,87.61,96.26,315.18,116.58,1.27,267.86,11.67
3.13,14.32,88.01,97.04,316.93,116.97,1.28,269.12,11.88
3.11,14.19,87.87,96.33,311.6,113.76,1.26,267.24,11.66
3.25,14.42,86.9,95.15,310.02,113.19,1.25,265.74,11.54
2.98,13.93,91.86,100.74,321.93,121.69,1.27,272.76,11.66
2.99,14.75,96,105.19,338.91,126.5,1.28,287.26,11.95
3.36,15.86,94.9,103.9,339.19,124.53,1.45,291.82,12.99
3.02,16.64,103.29,112.92,370.16,136.83,1.49,315.91,13.45
3.28,16.19,105.83,115.57,374.03,140.65,1.46,312.87,12.65
