" -F4230,S4231+F628,S629"," -F4230,S4231+F630,S631"," -F4230,S4231+F640,S641"," -F4230,S4231+F643,S644"," -F638,S637+F650,S651"," -F638,S637+F646,S645"," -F635,S636+F647,S648"," -F659,S658+F656,S657"," -F4233,S4234+F632,S633"
[2.71],[14.58],[88.01],[96.51],[311.21],[110.54],[1.39],[273.46],[11.72]
0.01,15.98,114.68,126.07,417.28,150.32,1.79,370.01,9.6
0.01,14.92,107.1,117.82,390.09,142.62,1.67,344.71,8.63
0.01,14.52,106.48,117.45,383.08,140.33,1.66,339.17,8.5
2.7,12.32,102.76,113.93,378.51,137.05,1.64,336.43,8.19
2.84,12.7,102.42,113.03,372.69,134.39,1.63,330.78,8
0.01,14.74,101.87,112.29,371.35,134.37,1.58,327.94,8.14
0.01,14.39,104.34,115.32,381.3,139.09,1.58,337.72,8.32
0.01,14.82,109.41,120.52,389.34,143.1,1.69,343.85,8.38
0.01,14.94,99.99,110.02,363.65,130.9,1.61,323.63,8.44
2.81,12.53,99.45,109.89,362.64,131.22,1.6,322.4,8.4
2.85,12.6,99.76,110.11,360.88,131.01,1.61,320.81,8.49
0.01,14.5,97.17,106.74,345.08,124.05,1.57,307.72,8.07
2.71,12.16,96.57,106.41,348.33,125.56,1.56,312.09,8.1
2.34,12.32,101.04,111.23,359.32,131.91,1.57,318.81,8.32
2.61,12.43,102.22,111.98,365.18,132.73,1.68,324.31,8.13
0.01,14.97,105.04,114.84,380.28,135.68,1.72,340.08,9.65
2.94,15.55,96.16,105.21,342.75,124.17,1.55,296.54,13.62
3.09,14.39,92.75,101.85,329.28,121.82,1.39,281.32,12.58
3.05,14.08,90.26,99.38,316.58,118.44,1.24,271.62,13.35
3.2,14.12,87.54,95.8,306.26,112.28,1.32,265.55,12.15
2.84,14.22,86.14,94.61,304.85,111.09,1.3,262.03,13.68
2.85,14.34,88.69,97.61,314.55,116.04,1.39,270.02,11.97
3.11,13.76,88.54,97.44,317.2,116.44,1.33,273.18,12.16
3.37,14.13,89.05,97.74,317.56,115.33,1.33,276.31,12.36
3.2,14.18,96.56,106.65,339.79,126.78,1.32,290.15,12.44
3.01,13.97,92.22,101.73,333.05,122.45,1.33,285.94,12.15
3.3,13.87,90.31,99.43,322.86,118.3,1.36,279.57,11.89
