" -F4153,S4154+F265,S266"," -F4153,S4154+F267,S268"," -F4153,S4154+F277,S278"," -F4153,S4154+F280,S281"," -F275,S274+F287,S288"," -F275,S274+F283,S282"," -F272,S273+F284,S285"," -F296,S295+F293,S294"," -F4156,S4157+F269,S270"
[2.59],[14.23],[86.71],[95.40],[306.24],[109.48],[1.33],[267.22],[11.42]
2.82,13.66,88.32,97.09,310.94,114.04,1.22,268.33,11.99
3.03,13.04,90.01,98.7,314.86,116.86,1.26,268.11,11.32
3.07,13.17,87.14,95.92,303.92,112.93,1.18,260.27,11.37
2.9,12.89,83.24,91.62,291.71,106.86,1.2,251.35,11.15
2.7,12.81,83.69,92.24,294.48,107.4,1.22,254.3,11.18
3.07,12.97,84.04,92.47,296.78,108.76,1.14,254.9,10.96
3.17,12.77,83.59,92.03,293.3,107.19,1.21,253.01,11.41
3.02,13.59,87.12,95.68,307.09,111.33,1.23,267.22,11.76
2.84,13.03,88.69,97.36,319.23,119.1,1.23,273.3,11.27
3.04,12.78,85.68,94.54,307.9,113.22,1.2,264.14,11.13
3.02,12.63,86.32,95.11,307.67,113.44,1.2,264.48,11.25
3.2,12.88,91.19,100.34,319.25,119.67,1.19,272.86,11.14
3.03,13.46,89.96,98.88,320.57,120.03,1.18,272.42,11.88
2.82,14,91.48,100.87,327.64,121.96,1.23,278.83,11.78
2.83,13.57,94.33,103.78,334.94,124.38,1.29,285.8,12.14
3.11,15.09,107.28,117.87,375.99,139.05,1.47,322.46,12.8
2.09,14.4,105.35,115.75,371.29,138.59,1.47,317.79,12.14
2.02,12.6,92.37,101.79,328.62,122.28,1.32,279.67,10.48
1.85,12.4,89.27,98.22,321.6,119.58,1.11,273.41,10.28
1.88,12.27,87,95.95,312.14,117.52,1.18,265.6,10.37
1.89,12.22,88.26,97.05,313.77,117.62,1.19,267.28,10.15
1.92,11.99,83.54,92.27,301.11,111.17,1.16,258,10.01
1.86,11.92,82.97,91.34,299.17,110.24,1.14,256.54,9.91
1.98,12.14,85.43,94.33,312.42,116.87,1.16,266.28,9.94
1.82,12.63,83.03,91.25,298.02,108.43,1.18,258.04,10.05
2,12.13,81.29,89.5,287.35,105.14,1.17,247.22,10.14
2.15,12.1,82.09,90.34,291.83,107.81,1.12,249.42,10.22
1.92,11.76,82.33,90.54,289.18,105.9,1.18,248.32,9.94
1.92,11.79,81.25,89.28,287.68,105.63,1.15,248.43,9.93
2,11.95,84.68,92.99,300.16,111.79,1.2,255.33,10.01
1.84,12.03,88.48,97.27,311.37,116.07,1.18,264.07,10.09
2.04,12.82,87.39,95.78,308.32,113.62,1.21,265.23,10.69
3.51,14.2,87.89,96.29,310.39,114.25,1.24,268.93,12.18
2.82,13.35,89.02,97.65,312.9,116.52,1.08,266.8,11.35
3.04,13.12,84.95,93.42,299.34,111.62,1.16,255.98,11.02
2.91,12.94,81.98,90.01,289.1,105.95,1.05,249.44,11.45
3.25,12.85,82.03,90.03,288.58,105.53,1.16,248.94,10.75
3.01,13.19,82.42,90.31,291.76,107.6,1.13,249.58,11.13
2.86,13.29,81.83,89.82,288.61,106.24,1.1,247.53,11.27
2.77,13.87,83.59,91.47,298.01,108.98,1.14,256.81,11.28
3.1,13.45,86.14,94.53,310.71,116.51,1.13,265.11,11.1
3.01,13.1,83.2,91.38,299.05,110.31,1.16,256.07,11.21
2.8,13.16,83.73,92.28,300.81,111.58,1.13,258.25,11.3
2.9,13.32,88.36,96.94,314.1,117.73,1.14,266.54,11.19
3.01,13.2,87.47,96.2,313.09,117.81,1.14,265.28,10.94
2.82,13.37,89.13,98.07,320.84,119.14,1.2,272.5,11.19
3.06,13.72,92.69,101.47,327.06,122.11,1.2,277.23,11.42
3.04,15.89,106.29,116.42,371.55,138.25,1.31,316.24,12.82
3.25,15.74,106.16,116.75,373.88,138.64,1.42,317.57,13.03
2.92,13.81,92.56,101.72,329.86,122.76,1.19,279.21,11.69
3.15,13.87,90.33,99.27,323.4,120.17,1.13,275.92,11.16
3.23,13.49,87.84,96.5,314.4,117.18,1.2,266.45,10.93
2.7,13.18,89.62,98.5,318.54,118.77,1.16,270.92,10.58
2.75,13.2,84.82,92.99,304.6,112.53,1.16,260.64,10.82
2.83,13.26,84.21,92.42,303.87,111.76,1.13,260.35,10.86
3.02,13.55,87.26,95.89,314.75,117.66,1.16,268.27,11.13
3.11,13.88,84.9,93.07,301.3,110.48,1.14,259.48,11.51
2.56,13.17,83.01,91.19,293.91,108.09,1.1,251.17,11.09
2.76,13.55,83.12,91.43,295.7,109.1,1.11,252.11,11.2
2.79,13.23,82.81,90.99,293.22,106.84,1.08,252.22,11.13
2.92,13.24,82.62,90.7,291.89,106.51,1.17,252.06,11.07
2.83,13.44,85.96,94.39,304.82,113.85,1.2,259.03,10.81
2.76,13.62,90.52,99.25,317.88,118.37,1.15,270.19,11.18
2.67,14.42,88.59,96.97,312.86,115.12,1.2,270.49,12.06
3.17,14.83,91.45,100.2,323.1,119,1.3,278.04,11.82
3.17,14.05,94.8,103.68,331.04,123.09,1.17,280.33,11.51
3.27,13.82,89.89,98.73,315.88,117.42,1.21,268.3,11.63
2.85,13.89,85.43,93.84,302.64,110.89,1.22,260.97,11.64
3,13.82,85.66,93.93,303.05,109.99,1.16,261.14,11.36
2.95,13.86,86.3,94.81,306.08,113.32,1.18,260.53,11.22
3.12,13.52,86.16,94.36,302.73,111.4,1.25,259.01,11.28
3.28,14.17,88.36,96.81,312.36,114.85,1.16,268.69,11.77
2.78,14.4,90.25,99.24,324.67,122.25,1.19,277.08,11.66
2.88,13.5,86.69,95.31,312.02,114.76,1.17,266.2,11.23
3.01,13.17,87.8,96.31,313.81,117.29,1.08,267.12,11.38
3.26,13.6,92.12,101.12,327.62,122.21,1.2,277.88,11.06
3.07,13.78,90.76,99.57,324.86,121.59,1.21,276.34,11.44
2.69,14.26,92.65,101.61,330.34,122.63,1.21,278.55,11.71
2.64,14.21,94.2,103.43,337.74,125.66,1.21,286.39,11.91
2.98,15.79,107.42,117.81,378.89,140.75,1.43,323.22,13.03
2.94,16.57,110.15,121.01,392.95,145.34,1.44,335.28,13.59
2.92,15.04,99.03,108.87,356.98,132.52,1.27,303.29,12.39
2.61,15.27,98.15,107.44,355.13,131.42,1.3,301.65,12.34
2.6,14.83,95.07,104.31,343.63,127.63,1.2,293.01,12.25
2.77,14.21,97.41,106.26,345.39,129.12,1.23,293.73,11.96
2.7,14.17,93.44,102.37,335.22,125.22,1.22,284.83,11.87
2.8,14.22,91.91,100.94,334.39,123.05,1.21,284.91,11.91
3.05,14.85,95.94,105.42,348.14,130.86,1.16,296.26,12.17
2.74,15.19,94.55,103.61,337.07,124.44,1.19,288.16,12.54
2.99,14.38,91.52,100.19,321.77,118.85,1.22,274.61,12.39
2.88,14.62,92.77,101.67,328.99,122.32,1.18,279.12,12.09
2.71,14.36,92.26,101.03,326.47,119.27,1.18,278.16,11.85
2.96,14.44,90.97,99.65,323.86,118.65,1.16,277.16,12.09
2.82,14.79,95.55,104.87,336.65,126.12,1.2,283.7,12.28
2.71,14.58,99.39,109.26,351.86,131.56,1.19,297.35,12.18
3.16,15.21,96.69,106.07,344.63,127.74,1.28,294.58,12.78
1.97,17.13,114.18,124.27,404.35,151.6,1.38,338.78,13.6
2.08,17.02,120.18,130.93,418.82,157.75,1.48,347.51,13.34
1.72,16.98,114.77,125.26,403.38,152.56,1.41,333.97,13.21
2.06,16.17,108.64,118.48,379.31,140.26,1.48,320.72,12.94
2.02,16.34,111.67,121.79,388.02,143.4,1.41,326.13,13.18
1.89,16.41,112.61,122.81,392.94,147.2,1.48,329.05,13.16
1.82,16.38,109.31,119.35,381.83,142.53,1.44,319.67,13.03
1.74,16.96,112.87,123.19,398.48,147.78,1.51,335.96,13.29
1.86,16.38,114.79,125.58,410.79,154.61,1.5,345.39,13.07
2.07,16.04,109.82,120.11,392.67,146.07,1.47,329.84,12.97
2.09,16,114.65,125.4,402.12,151.85,1.44,335.03,12.79
1.91,15.46,114.05,124.17,400.42,149.31,1.54,337.93,12.61
1.81,16.53,113.32,123.78,404.07,151.22,1.48,337.42,12.74
2,16.73,117.35,127.77,420.56,156.72,1.47,351.74,12.96
2.07,16.67,117.27,128.02,417.39,155.4,1.57,349.09,13.35
2.08,18,123.28,134.59,438.5,162.5,1.7,370.92,13.92
