" -F4202,S4203+F496,S497"," -F4202,S4203+F498,S499"," -F4202,S4203+F508,S509"," -F4202,S4203+F511,S512"," -F506,S505+F518,S519"," -F506,S505+F514,S513"," -F503,S504+F515,S516"," -F527,S526+F524,S525"," -F4205,S4206+F500,S501"
[2.56],[14.41],[88.02],[96.99],[313.49],[111.60],[1.36],[274.69],[11.32]
0.85,16.23,116.66,128.23,425.08,152.99,1.69,374.72,11.73
0.91,14.99,106.99,117.83,390.97,142.73,1.67,345.86,10.73
1.03,14.78,107.44,118.63,390.09,143.02,1.59,344.01,10.58
0.88,14.34,104.15,114.57,377.49,137.88,1.52,333.03,10.31
0.81,14.53,106.01,116.85,376.94,138.74,1.62,329.76,10.24
0.83,14.79,100.65,111.06,365.92,131.68,1.55,327.4,10.61
1.01,14.56,102.37,113.36,376.45,136.86,1.56,331.54,10.35
1.1,14.93,106.51,117.38,391.71,144.71,1.63,346.83,10.8
0.99,15.09,101.75,111.76,369.34,132.02,1.58,332.64,10.77
0.92,14.65,99.01,109.1,358.69,128.84,1.52,319.01,10.86
0.82,14.87,98.36,108.69,358.8,129.48,1.51,320.1,10.59
0.9,14.55,98.37,108.14,349.69,125.73,1.57,313.31,10.37
1,14.77,96.16,105.66,344.67,123.17,1.53,310.71,10.59
0.81,14.46,101.24,111.76,359.21,132.36,1.52,318.1,10.59
0.75,14.67,102.81,113.16,365.7,133.49,1.51,323.51,10.42
0.73,15.49,102.41,112.4,366.49,131.78,1.6,326.88,11.1
3.42,15.41,92.57,101.69,327.35,119.01,1.42,285.25,13.48
3.38,13.96,92.52,101.67,326.47,120.59,1.36,278.84,12.41
3.38,13.77,90.29,99.48,315.55,118.18,1.24,270.88,12.06
3.53,13.97,86.1,94.97,303.42,110.29,1.31,264.93,12.28
3.32,13.77,87.24,96.24,307.15,111.93,1.25,265.49,12.51
3.35,14.3,87.02,95.71,311.61,114.36,1.32,269.12,12.46
3.18,13.96,87.53,96.69,313.93,114.97,1.23,270.34,12.37
3.59,14.16,90.34,99.19,322.76,116.79,1.25,282.65,12.67
3.57,14.11,94.43,104.04,340.91,126.68,1.31,293.13,12.63
3.33,13.8,90.91,100.36,327.21,120.03,1.33,280.39,12.13
3.53,14.17,89,98.11,320.38,116.57,1.35,278.56,12.16
3.29,13.87,93.75,103.25,328.86,122.52,1.28,279.73,12.12
3.66,13.71,91.95,101.05,329.1,121.62,1.34,281.67,12.13
3.81,14.34,95.28,104.99,337.8,124.96,1.33,289.31,12.45
3.71,14.53,96.37,106.13,346.07,128.19,1.43,296.61,12.73
3.62,15.77,107.1,117.53,382.27,139.81,1.49,326.57,13.65
3.33,14.98,103.74,114.06,369.82,135.85,1.5,312.32,12.88
3.23,13.25,92.1,101.42,329.74,122.2,1.29,282.05,11.85
3.4,13.6,90.67,99.62,319.35,118.31,1.18,271.62,11.69
3.63,13.1,87.67,96.73,311.28,114.95,1.18,265.03,11.37
3.19,12.78,88.99,98.02,311.71,116.18,1.21,262.52,11.06
3.2,13.01,84.4,93.06,303.38,110.37,1.11,261.35,11.16
3.23,13.3,86.41,95.36,312.2,114.94,1.17,264.77,11.16
3.13,13.48,89.04,98.12,321.53,119.38,1.21,273.99,11.79
