" -F4279,S4280+F859,S860"," -F4279,S4280+F861,S862"," -F4279,S4280+F871,S872"," -F4279,S4280+F874,S875"," -F869,S868+F881,S882"," -F869,S868+F877,S876"," -F866,S867+F878,S879"," -F890,S889+F887,S888"," -F4282,S4283+F863,S864"
[3.06],[15.02],[88.94],[97.93],[317.09],[112.68],[1.40],[277.83],[12.07]
3.5,15.43,105.52,115.96,378.69,137.49,1.62,331.98,12.84
3.55,15.5,101.03,111.27,357.8,130.99,1.55,314.07,12.76
3.61,15.17,98.85,109.49,360.1,131.84,1.47,312.82,12.37
3.54,15.25,100.95,111.76,366.76,136.08,1.41,317.81,12.78
3.69,14.56,96.74,106.53,346.33,125.57,1.46,303.78,12.06
3.53,14.76,97.38,107.27,343.55,125.27,1.5,301.47,12.22
3.25,14.52,97.26,107.35,352.06,129.32,1.43,306.21,12.04
3.45,15.46,103.64,113.96,373.12,137.46,1.63,325.04,12.96
3.47,15.06,95.25,104.9,336.22,122.38,1.5,294.66,12.34
3.86,14.21,96.53,106.27,341.58,126.59,1.42,297.14,12.07
3.58,14.61,95.84,105.75,338.57,124.36,1.4,296.53,12.32
3.24,14.27,91.26,100.28,322.79,117.24,1.39,284.27,11.47
3.41,14.5,92.41,101.65,323.17,118.34,1.42,282.42,12.52
3.68,14.44,93.06,102.51,329.96,118.74,1.46,291.53,12.44
3.48,14.81,98.34,108.03,338.71,124.52,1.45,297.5,12.18
3.42,16.34,105.48,115.83,371.37,135.18,1.6,326.06,13.3
3.49,16.11,99.96,109.36,353.15,128.71,1.52,308.99,14.17
3.5,14.08,92.32,100.9,317.76,117.66,1.28,274.36,12.42
3.2,13.63,85.86,94.61,305.84,110.96,1.29,266.54,11.97
3.24,13.32,84.95,93.36,296.77,109.35,1.24,256.48,11.64
3.4,13.63,84.45,92.73,296.13,108.22,1.27,257.9,11.76
3.36,13.59,87.95,97.1,310.01,114.74,1.26,266.95,12.34
3.13,13.76,88.6,97.64,313.48,116.82,1.24,268.46,12.23
