" -F4125,S4126+F133,S134"," -F4125,S4126+F135,S136"," -F4125,S4126+F145,S146"," -F4125,S4126+F148,S149"," -F143,S142+F155,S156"," -F143,S142+F151,S150"," -F140,S141+F152,S153"," -F164,S163+F161,S162"," -F4128,S4129+F137,S138"
[2.87],[14.59],[87.65],[96.35],[307.59],[109.53],[1.31],[267.78],[11.76]
3.25,13.72,88.78,97.22,307.27,112.71,1.35,263.65,12.2
3.15,13.3,88.21,97.21,315.63,116.75,1.23,270.37,11.7
3.14,13.22,86.35,94.82,303.36,112.12,1.14,259.72,11.67
3.12,13.18,83.14,91.31,291.5,106.26,1.25,252.21,11.91
3.18,13.17,84.67,93.12,294.71,107.45,1.26,254.99,11.48
3.13,12.88,84.78,93.16,297.34,109.97,1.24,254.99,11.44
3.73,13.12,84.59,92.87,296.15,108.7,1.15,254.64,12.31
3.73,14.25,87.01,95.61,310.55,111.32,1.27,270.33,12.38
3.28,13.41,87.25,96.12,311.74,115.18,1.2,268.02,12.17
3.48,13.03,86.25,95.37,310.79,114.44,1.1,262.14,11.72
4.07,13.5,86.19,94.86,305.72,112.47,1.21,264.67,11.88
3.55,13.5,91.62,100.73,323.95,121.11,1.24,276.17,11.96
3.4,13.67,89.75,98.99,320.38,120.2,1.26,273.6,12.31
3.33,13.73,91.23,100.57,328.24,122.26,1.27,281.28,12.67
3.3,13.83,94.69,104.23,337.04,124.96,1.32,288.82,12.41
3.76,16,110.09,121.08,385,141.99,1.51,331.38,14.26
2.78,15.46,108.55,119.22,379.04,139.68,1.58,327.37,13.38
2.14,13.11,92.85,102.17,330.61,122.34,1.27,282.52,10.91
2.29,12.79,88.96,97.73,321.16,119.56,1.16,274.57,10.72
2.06,12.56,87.22,96.04,312.83,117.61,1.15,266.75,10.72
2.29,12.56,88.72,97.75,318.48,119.39,1.22,271.02,10.54
2.34,12.22,83.96,92.16,300.17,110.65,1.16,258.06,10.53
2.34,12.22,83.61,91.95,302.71,112.12,1.19,255.08,10.37
2.39,12.49,84.53,92.84,304.15,112.42,1.17,261.01,10.3
2.34,13.21,82.63,90.9,299.5,107.98,1.17,260.37,10.83
2.53,12.37,82.32,90.58,289.67,106.5,1.22,249.77,10.51
2.36,12.24,82.98,90.95,291.92,108.52,1.13,248.68,10.35
2.36,12.18,82.58,90.9,291.26,106.9,1.1,250.27,10.21
2.34,12.13,81.03,89,287.86,105.26,1.2,248.35,10.29
2.24,12.23,83.85,92.3,298,110.99,1.2,254.89,10.5
2.34,12.45,86.89,95.82,311.82,115.48,1.19,266.31,10.73
2.56,13.05,87.34,96.12,305.11,112.16,1.29,261.54,10.94
3.58,14.41,88.17,96.89,307.17,113.23,1.19,264.29,12.41
3.36,13.61,88.06,96.3,313.59,116.11,1.16,268.4,11.89
3.52,13.31,84.29,92.37,299.07,111.41,1.14,255.68,11.85
3.52,13.14,81.43,89.42,288.91,105.46,1.16,250.58,11.52
3.61,13.43,82.81,90.9,290.69,106.39,1.16,250.36,11.36
3.23,13.22,83.06,91.28,292.36,108.65,1.13,250.44,11.47
3.28,13.29,82.75,90.82,291.22,107.56,1.1,249.68,11.82
3.31,14.36,83.31,91.11,298.35,108.55,1.2,258.5,12.05
3.46,13.26,84.47,92.88,302.55,111.88,1.17,260.6,11.43
3.23,13.29,83.34,92.08,302.71,112.01,1.07,254.9,11.73
3.28,13.6,83.59,91.85,300.36,111.06,1.21,258.01,11.73
3.36,13.53,89.12,97.85,319.75,120.29,1.2,270.74,11.57
3.16,13.7,87.67,96.46,312.65,117.57,1.23,265.73,11.47
3.27,13.71,89.53,98.17,321.65,120.01,1.23,274.44,11.59
3.61,14.32,93.33,102.39,330.53,122.45,1.29,281.59,12.01
3.65,16.82,109.14,119.6,383.21,141.88,1.48,327.97,13.71
3.41,16.66,109.32,120.17,384.42,141.29,1.51,327.67,13.76
3.33,14.35,93.81,103.12,333.76,124.12,1.23,283.17,12.22
3.67,13.74,89.69,98.83,324.67,120.83,1.17,277.72,11.82
3.55,13.68,87.73,96.64,315.37,118.12,1.12,268.26,11.36
3.37,13.46,89.67,98.34,324.35,121.25,1.19,273.76,11.22
3.19,13.51,84.84,92.92,302.24,111.21,1.17,259.08,11.41
3.28,13.37,85.08,93.23,307.52,113.68,1.2,257.94,11.53
3.29,13.78,85.31,93.89,306.14,113.12,1.15,262.28,11.81
3.41,14.36,83.85,91.62,301.6,109.62,1.16,261.04,11.82
3.15,13.42,84.19,92.22,296.49,109.54,1.13,253.76,11.31
3.21,13.4,83.75,91.77,294.51,109.36,1.21,251.14,11.56
3.02,13.62,83.32,91.7,294.93,107.69,1.16,253.62,11.75
3.45,13.44,82.51,90.61,291.44,106.04,1.15,253.19,11.82
3.59,13.45,85.5,94.08,303.32,113,1.15,257.61,11.55
3.39,13.82,88.86,97.41,316.39,117.24,1.2,270.16,11.86
3.13,14.36,88.62,96.64,308.62,113.22,1.18,266.19,12.13
3.37,14.65,91.4,99.97,320.6,117.71,1.28,274.07,12.21
3.52,14.17,92.65,101.73,330.74,122.82,1.25,280.64,11.93
3.4,14.15,89.41,97.83,314.5,117.22,1.17,268,11.92
3.29,14.03,85.34,93.35,301.89,109.68,1.22,260.66,11.96
3.34,14.05,86.27,94.98,304.29,111.22,1.16,261.86,11.77
3.44,13.61,87.18,95.5,308.25,114.74,1.15,261.33,11.57
3.62,13.79,86.83,95.53,305.32,112.9,1.15,261.76,11.87
3.53,14.78,88.21,96.72,314.9,114.98,1.22,270.71,12.37
3.09,14.37,88.13,96.65,316.02,116.8,1.24,271.26,12.01
3.32,13.93,87.9,96.47,316.14,117.32,1.22,264.22,11.77
3.28,13.54,86.98,95.69,313.09,115.59,1.17,268.4,11.56
3.58,13.56,92.63,101.84,334.13,125.52,1.15,282.01,11.81
3.26,14.05,90.47,99.48,324.71,121.32,1.14,277.56,11.93
3.18,14.72,92.7,101.64,334.25,124.67,1.22,285.14,12.13
3.27,14.51,95.08,104.43,339.81,126.16,1.26,288.96,12.3
3.34,16.8,110.36,120.98,390.39,143.28,1.52,334.67,13.46
3.16,17.63,112.79,123.62,401.7,147.1,1.56,344.59,14.61
3.19,15.59,99.94,109.37,358.4,132.53,1.26,304.57,13.11
3.16,15.59,97.75,107.11,355.5,132.12,1.27,303.48,12.77
2.95,15.26,95.46,104.58,343.35,127.66,1.23,294.1,12.77
