" -F4286,S4287+F892,S893"," -F4286,S4287+F894,S895"," -F4286,S4287+F904,S905"," -F4286,S4287+F907,S908"," -F902,S901+F914,S915"," -F902,S901+F910,S909"," -F899,S900+F911,S912"," -F923,S922+F920,S921"," -F4289,S4290+F896,S897"
[2.74],[14.96],[89.16],[98.12],[320.07],[113.53],[1.43],[281.64],[12.14]
0.01,14.92,110.22,121,401.4,144.68,1.81,358.41,11.44
0.01,14.62,106.47,117.08,381.19,138.37,1.76,339.93,11.12
0.01,14.49,104.65,115.51,384.36,140.08,1.68,340.15,10.64
0.01,14.57,106.93,117.96,392.66,144.89,1.72,346.62,10.34
0.01,14.28,101.97,112.53,370.2,133.46,1.64,330.51,10.7
0.01,14.38,102.41,112.6,365.81,131.97,1.66,327,10.53
0.01,14.05,103.35,114.09,376.32,137.29,1.63,332.87,10.64
0.01,15.05,109.38,120.51,396.21,144.76,1.79,352.31,11.55
0.01,14.41,99.87,109.98,358.26,129.18,1.59,320.03,10.57
0.01,14.16,101.93,112.27,365.22,133.65,1.61,324.94,10.68
0.01,14.71,101.39,111.89,363.72,132.46,1.54,323.89,10.78
0.01,13.74,95.91,105.76,342.82,123.35,1.7,308.31,10.46
0.01,14.02,97.03,107.15,343.94,124.34,1.56,308.49,10.66
0.01,13.79,97.81,107.62,351.41,125.31,1.64,315.15,10.82
0.01,14.25,103.03,113.07,359.63,130.39,1.72,321.52,10.87
0.01,15.55,109.38,120.1,389.52,141.31,1.95,346.64,12.42
0.45,15.87,101.25,110.58,357.28,130.1,1.72,311.86,12.55
0.62,13.84,93.54,102.45,323.05,119.51,1.52,278.56,10.17
0.68,13.4,87.93,96.68,312.5,113.4,1.41,271.67,10.3
0.8,13.27,87.14,95.94,303.07,111.93,1.34,262.33,10.1
1.27,13.12,85.87,94.49,302.75,110.53,1.46,263.65,9.99
0.45,13.85,89.34,98.47,317.02,117.14,1.24,272.66,10.3
0.26,13.66,90.48,99.71,319.35,118.85,1.36,273.77,10.47
0.68,13.78,89.07,97.88,314.71,114.98,1.44,271.73,10.71
0.72,13.97,96.59,106.53,345.64,128.01,1.57,299.16,10.74
1.55,13.58,91.28,100.71,328.43,121.18,1.44,281.56,10.21
0.47,13.63,91.29,100.16,319.8,116.84,1.34,276.87,9.97
0.41,13.71,90.65,100.11,326.24,119.87,1.38,280.86,9.8
1.06,13.66,94.32,104.2,344.17,128.65,1.47,293.59,10.05
0.59,13.48,92.57,101.8,335.38,123.26,1.35,288.3,9.73
1.37,14.29,95.73,105.22,335.09,123.05,1.43,290.67,10.67
0.63,14.55,100.06,109.92,357.6,131.06,1.49,309.55,11.03
0.31,13.61,96.77,106.36,341.87,125.9,1.49,292.88,10.24
0.26,13.31,91.11,100.38,319.76,117.82,1.33,274.28,9.71
0.54,12.88,88.24,97.48,317.96,117.43,1.27,270.82,9.97
0.68,12.69,89.73,99.23,323.72,121.49,1.3,275.34,9.45
0.43,12.63,86.4,95.1,307.09,112.48,1.21,263.58,9.41
0.37,12.75,86.33,94.91,303.09,110.9,1.25,260.39,9.37
0.38,12.73,86.44,95.33,310.1,114.32,1.27,264.33,9.49
0.34,13.49,91.09,100.38,324.01,120.07,1.35,277.91,9.91
0.58,13,84.24,92.62,294.97,107.64,1.33,253.45,9.56
0.43,12.68,85.86,94.31,302.96,112.71,1.23,257.46,9.55
0.08,12.9,84.88,93.51,299.66,110.79,1.28,256.62,9.4
