" -F4111,S4112+F67,S68"," -F4111,S4112+F69,S70"," -F4111,S4112+F79,S80"," -F4111,S4112+F82,S83"," -F77,S76+F89,S90"," -F77,S76+F85,S84"," -F74,S75+F86,S87"," -F98,S97+F95,S96"," -F4114,S4115+F71,S72"
[3.01],[14.83],[89.65],[98.63],[312.27],[111.80],[1.36],[272.11],[11.82]
0.95,17.8,121.3,133.1,418.8,152.09,1.82,366.11,11.64
0.57,15.55,104.48,115.1,373.55,136.1,1.59,326.66,9.83
0.22,15.33,101.1,111.72,365.55,135.04,1.54,316.78,9.68
0.55,15.42,100.33,110.5,360.5,133.37,1.53,314.76,9.61
0.54,15.02,102.47,112.91,364.55,135.18,1.56,315.88,9.59
0.75,14.93,95.15,105.02,344.36,125.76,1.54,301.49,9.41
0.38,14.32,96.31,106.34,343.93,125.71,1.46,299.6,8.86
0.28,14.48,96.52,106.48,347.11,126.92,1.6,304.05,9.06
0.37,16.36,105.89,116.23,358.79,131.74,1.61,312.51,10.45
0.64,14.89,94.67,104.67,334.9,121.78,1.55,294.07,9.54
0.46,14.51,96.42,106.29,339.16,125.82,1.51,294.69,8.89
0.31,14.73,94.89,104.36,332.94,122.31,1.5,290.53,9.18
0.07,14.24,90.99,100.69,325.58,117.05,1.44,288.27,9.16
0.58,14.79,93.55,103.39,332.41,121.53,1.52,291.38,9.43
0.19,14.8,95.42,105.23,339.55,124.58,1.46,295.78,9.2
0.42,14.72,98.05,108.32,345.09,125.92,1.6,302.94,9.5
3.71,14.05,91.8,100.62,322.68,118.16,1.44,279.87,13.1
3.73,14.24,88.57,97.23,314.45,115.92,1.35,271.3,12.48
3.64,13.74,86.36,95.3,305.47,113.02,1.31,264.01,12.53
3.73,13.32,84.19,92.9,298.3,108.59,1.31,260.73,12.22
3.76,13.7,87.18,95.55,304.15,112.6,1.28,262.04,12.96
3.71,13.96,88.34,97.15,310.11,115.55,1.31,266.11,12.43
2.79,14.06,86.29,95.11,307.2,,1.4,265.82,11.05
2.78,14.73,93.82,103.2,323.51,,1.44,280.03,11.51
2.88,13.86,88.86,97.77,318.6,,1.35,273.34,10.64
2.79,14.07,88.04,96.78,314.93,,1.33,270.4,11.12
2.62,14.39,87.35,95.95,316.31,,1.3,271.27,10.8
2.98,14.23,93.05,102.81,332.05,,1.26,283.13,10.81
3.09,13.63,91.93,100.83,330.81,,1.34,282.02,10.76
2.73,14.38,93.33,102.93,335.7,,1.4,286.7,10.84
3,14.91,97.09,106.51,346.78,,1.51,298.78,11.45
3.04,17.47,117.58,128.42,404.89,,1.75,349.08,13.5
3.08,16.78,116.89,128.11,399.22,146.65,1.72,341.81,12.43
3.64,14.36,94.6,103.77,335.88,123.15,1.31,288.12,12.28
3.91,13.79,90.43,99.5,324.87,121.38,1.3,276.98,12.09
3.35,13.5,88.64,97.62,316.65,118.16,1.26,269.35,11.55
3.42,13.52,89.97,98.91,319.91,119.53,1.2,272.13,11.19
3.16,13.45,83.81,92.24,303.28,111.94,1.19,259.53,11.28
3.36,13.25,84.39,92.9,301.77,111.15,1.22,258.67,11.57
3.46,13.43,85.66,94.23,306,112.65,1.22,261.39,11.7
3.43,13.91,89.16,97.78,308.01,112.87,1.23,264.35,12.15
3.28,13.68,83.11,91.38,293.46,108.01,1.2,253.46,11.51
3.17,13.32,84.93,93.13,298.71,111.93,1.25,254.16,11.77
3.08,13.24,84.43,92.82,293.05,108.24,1.2,252.14,11.81
3.45,13.35,81.84,90.19,289.04,105.85,1.2,250.75,11.64
3.07,13.29,83.35,91.68,294.18,108.68,1.14,252.85,11.58
3.53,13.71,86.12,94.37,304.91,113.53,1.2,260.18,11.91
3.21,13.88,89.78,98.58,313.86,115.28,1.26,272.04,12.04
3.12,13.74,89.53,98.34,312.51,115.13,1.2,268.89,11.96
3.25,13.51,86.25,94.6,304.36,113.22,1.13,259.05,11.65
3.31,13.14,82.96,91.4,293.93,108.94,1.14,251.56,11.64
3.42,13.22,80.97,89.09,287.31,104.92,1.22,248.88,11.66
3.39,13.22,83.59,91.89,291.3,107.77,1.28,249.94,11.31
3.14,12.79,84.66,93.03,296.78,111.08,1.14,251.51,11.29
3.14,13.27,82.91,91.05,291.73,107.43,1.18,250.97,11.46
3.45,14.77,85.86,94.35,297.37,108.92,1.18,254.4,12.05
3.13,13.41,84.31,92.74,301.89,111.26,1.2,257.4,11.48
3.08,12.9,84.26,92.68,298.75,109.87,1.17,255.6,11.27
3.42,12.93,83.14,91.69,301.15,111.03,1.17,256.24,11.15
3.61,13.26,89.19,98.11,317.49,118.76,1.22,268.94,11.34
3.61,13.18,88.15,96.98,313.43,116.74,1.22,266.39,11.65
3.64,13.62,89.95,98.85,322.11,120.34,1.15,272.79,12.16
3.58,14.37,93.66,102.94,331.71,121.35,1.33,282.76,11.86
3.77,17.23,116.77,128.12,397.63,146.43,1.56,339.99,13.98
3.68,17.49,117.91,128.88,399.17,146.62,1.65,341.36,14.49
3.19,14.61,93.55,102.63,332.15,122.19,1.27,284.33,12.52
3.15,14.16,89.52,98.89,321.96,120.12,1.29,274.06,12.06
3.26,13.9,88.19,97,314.65,116.92,1.27,267.37,11.87
3.65,13.63,90.14,99.17,320.59,119.76,1.18,271.2,11.7
3.43,13.36,84.04,92.71,303.5,112.25,1.14,258.26,11.7
3.4,12.92,84.66,92.95,301.2,111.3,1.2,256.74,11.47
3.35,13.32,84.99,93.2,303.66,111.98,1.23,259.03,11.47
3.39,14.53,86.94,95.43,299.94,110.07,1.13,256.39,12.21
3.16,13.51,83.87,92.05,293.69,108.3,1.19,252.12,11.66
3.31,13.07,85.63,94.33,299.14,112.42,1.09,253.04,11.13
3.46,13.23,84.03,92.64,294.38,109.23,1.13,251.49,11.46
3.16,13.45,81.43,89.62,289.9,105.49,1.17,250.64,11.76
3.19,13.41,83.6,91.84,295.56,109.17,1.18,253.48,11.55
3.52,13.81,86.93,95.65,308.48,114.31,1.22,262.25,11.89
3.26,13.88,89.93,98.66,315.1,115.98,1.2,270.87,11.9
2.5,13.72,90.68,99.44,320.03,117.54,1.25,275.71,11.61
2.39,13.36,87.85,96.56,313.83,115.99,1.23,268.1,11.23
2.36,12.92,85.12,93.48,304.65,113.02,1.13,258.99,11.09
2.42,12.94,82.25,90.41,294.01,106.64,1.23,254.8,10.95
2.52,12.85,85.4,94.01,300.2,111.14,1.2,257.84,11.32
2.16,13.45,85.08,93.4,303.03,111.97,1.2,259.88,11.06
2.48,14.05,87.82,96.32,303.58,112.07,1.21,258.63,11.59
2.59,13.21,85.95,94.55,309.87,114.2,1.21,263.62,11.16
2.52,13,85.56,94.05,307.08,113.22,1.18,262.43,11.24
2.32,13.11,85.09,93.56,309.43,113.82,1.19,264,10.93
2.4,12.98,90.76,99.58,326.62,121.44,1.17,276.41,11.05
2.49,13.13,88.86,97.63,320.31,119.14,1.23,270.9,11.23
2.37,13.28,90.11,99.31,328.05,122.35,1.2,279,11.2
2.63,13.97,94.4,103.54,335.77,123.26,1.37,288.21,11.71
2.54,16.97,117.96,128.95,401.85,146.64,1.67,345.44,13.95
3.96,18.56,118.36,129.23,407.2,148.2,1.63,351.46,14.98
4,15.29,96.79,106.05,347.28,127.18,1.4,296.51,12.85
4.1,14.8,94.14,103.32,341.89,126.84,1.3,290.42,12.32
3.99,14.5,93,101.88,333.74,124.04,1.21,283.4,11.96
3.45,14.28,94.27,103.46,340.86,127.33,1.21,288.56,12.44
3.75,14.31,89.12,97.47,322.16,118.44,1.18,274.03,12.21
3.43,14.47,89.19,97.85,320.08,117.54,1.2,272.09,12.4
3.62,14.68,90.15,98.88,325.11,119.97,1.25,275.24,12.09
3.61,15.44,94.56,103.56,325.58,120.92,1.39,275.85,12.63
3.41,14.8,88.73,97.22,316.36,116.77,1.23,270.45,12.37
3.45,14.69,91.67,100.49,322.66,121.42,1.22,272.34,12.34
3.38,14.61,90.04,98.44,315.06,116.92,1.29,267.59,12.25
3.4,14.01,86.67,95.16,309.59,112.38,1.18,266.96,12.18
3.47,14.5,88.87,97.62,317.01,117.36,1.15,270.15,12.46
3.52,14.88,92.95,101.85,332.4,123.42,1.23,281.33,12.74
3.61,15.11,94.51,103.55,332.95,122.18,1.22,286.63,13.14
3.61,16.2,104.28,113.95,370.34,137.25,1.29,314.5,13.91
3.73,16.19,102.33,111.96,367.96,137.12,1.34,309.5,13.7
3.97,16.25,98.57,108.06,352.01,130.61,1.34,298.32,13.65
3.82,15.63,96.23,105.25,342.14,124.5,1.29,294.3,13.7
3.57,16,99.26,108.7,349.4,130.19,1.32,296.63,13.47
3.57,15.69,101.52,110.88,359.06,136.07,1.34,300.11,13.32
