" -F4293,S4294+F925,S926"," -F4293,S4294+F927,S928"," -F4293,S4294+F937,S938"," -F4293,S4294+F940,S941"," -F935,S934+F947,S948"," -F935,S934+F943,S942"," -F932,S933+F944,S945"," -F956,S955+F953,S954"," -F4296,S4297+F929,S930"
[2.83],[15.08],[90.87],[99.99],[324.79],[115.54],[1.45],[285.00],[12.29]
3.53,16.28,103.05,113.56,373.28,134.58,1.76,329.85,14.84
3.41,13.56,89.85,98.55,312.53,114.96,1.27,268.9,12.55
3.56,13.82,85.78,94.29,302.33,111.86,1.3,260.1,12.15
3.59,13.34,82.84,91.58,293.94,107.79,1.26,253.96,12.07
3.38,13.11,82.47,90.77,287.45,104.77,1.23,248.19,11.87
3.42,13.1,85.56,94.31,300.38,111.38,1.28,257.95,11.87
1.03,12.93,86.06,95.08,303.06,113.51,1.31,258.9,8.36
0.92,13.6,83.33,91.88,298.06,108.12,1.21,259.7,9.05
3.5,14.13,93.09,102.78,333.51,121.89,1.44,288.39,12.61
3.45,13.29,87.38,95.87,309.4,114.22,1.27,264.57,11.9
3.53,13.33,85.91,94.59,308.06,112.87,1.27,264.75,11.9
3.83,13.18,86.47,95.11,302.2,110.89,1.22,260.08,11.81
3.37,13.91,90.97,100.78,330.17,123,1.27,281.58,12.26
3.48,14.07,89.58,98.93,321.79,119.81,1.27,274.69,12.52
3.52,14.16,90.18,99.74,325.39,120.04,1.28,279.63,12.42
3.37,14.49,96.13,105.47,340.25,124.8,1.49,292.5,12.59
2.61,13.66,94.14,103.59,334.96,123.28,1.31,287.49,12.08
2.08,12.93,88.49,97.54,320.03,118.71,1.29,274.08,10.86
2.15,12.91,86.52,95.38,314.6,117.52,1.26,267.88,10.74
2.22,12.51,88.77,97.8,323.28,120.83,1.17,274.76,10.64
2.46,12.13,82.76,92.22,296.94,109.55,1.16,254.44,10.59
2.53,12.32,83.2,91.69,301.37,111.03,1.18,257.62,10.4
2.15,12.35,84.42,93.17,302.19,112.19,1.18,257.86,10.43
2.51,12.94,88.43,96.76,319.48,117.21,1.36,275.58,11.14
2.21,12.87,81.5,89.31,292.24,106.17,1.18,253.77,10.84
2.46,11.89,83.89,92.4,297.65,111.46,1.18,253.62,10.75
2.48,12.2,83.75,92.45,295.6,110.26,1.2,252.8,10.37
1.99,11.98,80.29,88.47,284.18,104.06,1.22,244.57,10.1
2.35,12.31,80.77,89.39,290.71,107.25,1.29,249.43,10.64
2.48,12.73,84.24,92.99,299.24,110.98,1.22,255.98,10.76
2.04,12.5,88.31,96.46,309.02,113.89,1.33,265.17,10.15
2.48,15.16,103.8,113.67,374.79,136.91,1.71,328.51,13.45
3.7,16.66,104.47,113.97,376.32,136.83,1.7,332.56,14.73
3.32,14.07,88.82,97.28,310.47,114.51,1.22,266.68,12.09
3.47,13.87,84.89,92.84,300.79,111.2,1.22,258.9,11.68
3.55,13.64,81.07,89.09,290.84,106.73,1.13,250.55,11.91
3.44,13.02,80.77,88.73,284.45,103.99,1.23,245.64,11.22
3.66,13.77,83.84,92.26,296.84,110.3,1.22,254.91,12.19
3.7,13.58,84.58,92.74,297.64,111.87,1.17,254.02,11.68
3.46,13.73,81.59,89.64,292.18,106.63,1.24,252.97,11.76
3.46,14.2,87.41,96.04,317.19,116.81,1.3,271.17,11.97
3.47,13.33,84.45,92.96,300.29,111.45,1.17,257.38,11.36
3.39,13.6,83.28,91.67,301.24,110.51,1.19,258.05,11.8
3.39,13.79,83.65,92.08,297.3,109.91,1.16,254.57,11.64
3.28,13.79,88.78,97.85,324.18,121.56,1.18,275.15,11.9
3.44,13.97,86.73,95.42,313.25,116.66,1.19,265.62,11.58
3.55,14.34,88.6,97.32,319.09,118.63,1.29,273.46,11.82
3.34,14.91,93.55,102.71,333.72,122.25,1.36,285.89,12.57
3.31,14.95,93.92,103.06,335.67,123.18,1.34,287.11,12.54
3.55,14.32,88.9,97.88,322.01,118.81,1.14,275.1,12.12
3.36,13.89,87.31,96,317.22,117.52,1.25,269.33,11.55
3.14,13.84,89.51,98.36,327.4,122.03,1.23,278.33,11.43
3.21,13.63,84.33,92.98,300.16,110.31,1.23,256.7,11.24
3.22,13.52,84.49,92.69,304.26,111.81,1.22,260.62,11.57
3.04,13.47,85.55,93.93,303.9,112.18,1.18,259.98,11.66
3.25,14.35,88.43,97.15,317.74,117.33,1.32,271.73,12.23
3.33,13.93,83.12,91.08,298.06,108.71,1.17,258.17,11.78
3,13.74,85.11,93.58,301.43,113.03,1.16,257.47,11.14
3.18,13.69,85.03,93.35,301.04,111.78,1.21,257.11,11.93
3.36,13.46,81.65,89.57,287.91,105.04,1.21,247.88,11.71
3.18,13.77,82.26,90.11,294.67,108.26,1.14,252.67,11.26
3.33,13.91,85.72,94.12,303.09,112.23,1.27,259.82,11.77
3.17,14.37,90,98.42,313.66,115.33,1.28,268.67,12.22
3.4,17.11,105.15,115.04,378.48,136.86,1.77,334.84,14.83
3.3,17.48,107.51,117.63,391.49,141.82,1.74,343.96,15.07
3.45,14.12,91.99,100.88,321.58,117.62,1.31,275.98,12.22
3.46,14.12,89.61,98.43,316.04,116.91,1.23,269.77,12.17
3.5,14.27,85.39,94.17,305.41,111.96,1.21,262,12.18
3.15,14.11,84.43,92.78,297.42,108.54,1.23,256.56,12.18
3.45,13.74,88.43,97.23,314.31,117.54,1.21,266.72,11.91
3.57,14.06,88.88,97.64,315.18,118.78,1.2,267.37,11.65
3.58,14.17,85.98,93.74,306.27,111.64,1.24,265.11,12.17
3.04,14.85,93.68,102.57,334.7,124.51,1.27,284.78,12.17
3.17,14.19,88.29,97.03,314.36,116.64,1.2,267.38,12.02
3.3,14.01,86.52,95.12,313.52,114.88,1.13,268.28,11.71
3.61,14.08,87.62,95.93,309.81,113.97,1.23,264.95,11.43
3.65,14.31,93.2,100.91,339.53,127.55,1.25,287.89,11.8
3.49,14.67,89.92,99.08,327.69,121.73,1.21,278.49,11.8
3.05,14.76,90.8,99.97,331.42,122.31,1.23,283.38,11.92
3.09,14.98,95.6,104.65,342.81,125.07,1.4,293.52,12.54
3.14,15.95,99.72,109.04,360.29,131.82,1.4,306.89,13.09
3.13,15.45,95.41,104.61,351.38,129.54,1.28,300.57,13.05
3.16,15.56,95.4,104.44,346.99,129.08,1.23,295.22,13.15
2.99,14.68,98.19,107.58,359.21,134.19,1.25,304.52,12.87
3.48,14.27,93.09,101.88,330.08,121.96,1.29,282.04,12.22
3.27,14.51,92.22,101.56,334.81,122.6,1.22,285.45,12.45
3.23,14.93,93.72,102.66,335.7,124.42,1.22,284.64,12.38
3.32,16.04,101.31,110.66,364.15,136.1,1.37,308.01,13.51
3.34,15.4,91.87,100.52,329.69,120.79,1.35,284.47,13.04
3.33,14.69,95.39,104.47,339.07,128.46,1.3,284.97,12.54
3.39,14.55,94.66,103.88,334.02,124.89,1.28,283.22,12.63
3.18,14.37,89.57,98.51,318.15,116.08,1.29,273.19,12.2
3.16,15.07,90.55,99.46,326.07,120.05,1.19,277.87,12.71
3.21,15.44,94.95,104,337.23,125.2,1.25,288.41,12.88
3.44,15.07,97.42,106.42,341.6,125.62,1.34,293.14,13.16
3.45,17.75,112.05,122.42,411.51,149.91,1.72,360.8,15.04
2.4,18.65,124,134.91,450.54,165.52,1.76,390.68,15.37
2.49,17.16,116.62,127.33,407.85,152.22,1.58,343.39,14.06
2.23,17.26,116.17,126.85,406.27,153.14,1.5,339.31,13.99
2.01,17.24,110.47,120.79,392.41,145.87,1.51,327.41,13.46
2.39,15.74,105.29,114.99,368.01,135.63,1.53,314.34,12.88
2.58,16.93,114.82,125.64,399.41,151.48,1.52,331.8,13.73
2.43,16.77,114.72,125.17,401.32,153.39,1.5,332.87,13.54
2.4,17.34,110.15,119.62,389.8,143.44,1.45,330.35,13.92
2.39,17.54,120.97,131.79,438.02,162.55,1.75,371.14,14.74
2.4,16.58,112.97,123.12,396.4,148.56,1.55,330.82,13.27
2.28,16.72,111.44,121.41,395.2,145.67,1.58,332.43,13.55
2.53,16.82,114.54,124.7,395.8,147.25,1.55,332.62,13.32
2.38,16.3,113.64,123.93,408.3,151.89,1.55,344.77,12.91
