" -F4272,S4273+F826,S827"," -F4272,S4273+F828,S829"," -F4272,S4273+F838,S839"," -F4272,S4273+F841,S842"," -F836,S835+F848,S849"," -F836,S835+F844,S843"," -F833,S834+F845,S846"," -F857,S856+F854,S855"," -F4275,S4276+F830,S831"
[2.60],[14.56],[88.43],[97.40],[316.18],[112.87],[1.40],[276.60],[11.63]
3.05,14.73,102.13,111.94,367.26,134.61,1.61,318.59,12.95
3.32,14.52,97.96,107.46,344.68,126.65,1.56,300.69,12.59
3.25,14.31,95.14,105.11,345.24,127.05,1.53,298.15,12.55
3.1,13.9,97.2,107.23,351.67,130.74,1.57,303.34,12.06
3.1,13.44,93.43,102.78,333.09,121.72,1.47,289.19,11.24
2.95,13.56,93.18,102.36,330.09,120.45,1.38,286.31,11.73
2.93,13.67,93.88,103.26,337.37,124.29,1.51,291.17,11.94
3.08,14.49,99.4,109.42,356.85,131.06,1.61,311.05,12.91
3.26,14.01,91.56,100.68,322.62,117.37,1.43,280.53,12.05
3.25,13.65,92.89,102.06,327.07,121.32,1.4,281.62,12.03
2.88,14.21,91.62,101.14,325.07,119.98,1.42,280.29,12.14
2.99,13.72,87.56,96.26,309.75,112.24,1.39,270.7,11.94
3.16,13.65,89.2,97.99,310.21,113.59,1.39,269.65,12.01
3.16,13.73,89.87,98.84,318.2,115.23,1.44,278.21,11.92
2.94,14.03,95.48,104.78,328.86,121.41,1.49,285.68,11.86
2.99,16,102.28,112.09,361.52,131.3,1.71,316.69,13.87
2.47,14.4,99.79,109.3,349.42,127.42,1.68,304.76,12.83
2.23,12.51,91.02,99.84,314.05,116.09,1.37,271.16,11.06
2.15,11.96,84.64,92.93,301.62,109.71,1.37,262.32,10.75
2.42,11.97,83.43,92.02,293.37,108.2,1.21,252.53,10.75
2.13,11.82,82.71,91.16,292.65,107.07,1.31,252.72,10.51
2.31,12.3,86.48,95.29,305.32,113.05,1.33,262.62,10.41
2.54,12.23,87.9,96.52,308.96,115.31,1.27,263.98,10.64
2.25,12.49,84.82,93.47,301.09,109.99,1.31,260.9,10.97
2.25,12.67,93.1,102.29,331.53,123.19,1.29,285.46,11.15
2.36,12.16,88.01,96.89,316.94,117,1.31,271.63,10.78
2.29,12.2,87.21,96.2,310.47,114.16,1.27,266.48,10.65
2.34,12.34,87.41,96.37,312.55,114.55,1.3,270.51,10.76
2.4,12.48,91.07,100.54,327.71,122.37,1.31,280.17,10.94
